LGA_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
LGA58400,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,6,0,3,0,7,3,4,0,0,32,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4,7,3,3,5,4,3,0,60
LGA58470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,5,0,0,0,5,0,36
LGA58510,119,206,129,96,99,42,44,47,4,781,203,230,228,307,221,98,54,100,17,1464,298,212,981,428,347,181,215,213,44,2923,23,16,34,62,54,55,17,31,0,284,32,24,29,47,63,19,17,22,6,259,20,51,17,16,21,8,16,14,4,164,25,40,26,52,36,18,21,28,37,284,2123,6058,1930,1717,1728,737,576,810,224,15899
LGA58540,8,0,0,0,5,6,0,0,0,17,3,0,3,0,9,0,0,0,0,20,21,4,21,12,0,0,13,10,0,79,0,0,0,0,0,0,0,3,0,4,6,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,10,71,26,30,15,15,12,19,17,0,198
LGA58570,191,278,125,113,123,42,11,26,9,921,222,229,193,244,172,92,32,88,17,1288,285,196,795,351,272,135,124,137,37,2332,21,10,13,42,42,26,5,19,0,182,43,31,24,49,63,28,12,20,0,268,23,55,15,22,22,5,7,13,0,164,32,62,25,25,35,23,20,19,41,272,2898,8386,1591,1505,1732,683,296,551,212,17862
LGA58610,9,0,0,0,5,0,0,0,0,26,4,4,3,4,0,3,4,3,0,26,32,8,55,18,9,9,13,23,5,176,0,0,0,0,0,0,0,3,0,7,3,0,0,3,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,11,76,70,65,39,38,20,24,48,5,377
LGA58680,3,0,0,0,0,0,0,0,0,7,5,0,0,0,3,0,0,3,0,19,11,0,19,4,5,3,11,9,0,60,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,39,14,19,3,16,3,15,16,3,120
LGA58760,657,945,553,679,724,231,186,235,43,4256,1126,1216,1025,2080,1320,575,369,427,122,8266,2115,1214,10121,3885,2713,1320,2119,2171,397,26051,142,77,209,386,371,335,171,374,22,2087,195,146,238,410,447,226,149,241,30,2077,105,153,117,127,140,69,70,85,14,886,146,185,228,276,235,138,141,219,276,1845,7660,15760,13742,10119,8414,3847,3758,4490,1111,68902
LGA58820,13,10,5,13,10,0,0,5,0,64,15,12,20,11,7,4,10,3,0,79,43,11,257,65,42,17,77,47,15,567,4,0,15,0,4,0,10,5,0,44,3,0,5,8,5,3,6,7,0,38,4,0,3,0,0,0,0,4,0,12,13,4,5,5,4,4,7,8,12,60,121,137,311,126,89,36,113,81,27,1041
LGA58890,4,4,0,0,0,0,0,0,0,6,11,0,0,0,0,0,6,0,0,20,33,4,20,3,4,0,4,15,0,88,7,0,0,4,3,0,0,0,0,11,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,89,28,27,14,11,5,11,19,0,198
LGA59030,0,0,0,0,0,5,0,0,0,3,6,0,0,0,0,0,0,0,0,9,5,0,11,0,8,0,4,7,0,32,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,8,0,11,5,6,8,0,64
LGA59100,6,3,0,0,0,0,0,0,0,17,7,0,0,0,0,0,0,0,0,8,20,0,12,9,3,4,4,10,0,58,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,58,19,13,17,8,7,9,15,3,142
LGA59170,10,3,6,0,0,0,0,4,0,22,9,3,3,6,3,4,8,3,0,39,26,5,21,8,9,3,20,22,0,113,0,0,0,0,0,0,3,4,0,10,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,4,0,0,22,96,56,30,20,20,15,24,37,3,305
LGA59250,5,0,0,0,0,0,0,0,0,7,0,4,0,3,0,0,0,4,0,12,6,0,24,6,3,0,9,8,0,62,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,16,19,33,12,6,5,14,21,4,129
LGA59310,0,0,0,0,0,3,0,0,0,19,8,0,6,6,0,3,4,0,0,26,28,6,58,16,12,6,11,24,3,166,3,6,0,0,8,6,6,3,0,21,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,10,65,61,69,34,33,13,28,32,4,334
LGA59320,6,0,0,0,0,0,0,0,0,9,3,0,0,4,3,0,0,0,0,12,11,0,8,4,8,4,7,3,0,42,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,11,40,18,10,10,12,8,9,11,3,121
LGA59330,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,10,6,0,9,5,3,0,0,10,5,46,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22,20,20,3,12,0,4,11,5,101
LGA59340,24,30,4,34,18,3,3,8,0,126,41,40,13,52,33,8,6,11,0,196,130,48,236,99,78,17,69,68,18,769,6,11,5,11,6,7,4,3,0,58,5,4,5,15,9,4,0,7,0,49,3,0,0,0,0,0,0,5,0,24,6,14,13,25,9,9,6,16,16,114,359,581,298,311,239,73,96,156,45,2162
LGA59350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,18,4,0,0,14,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,14,7,24,4,6,0,17,4,0,77
LGA59360,4,4,4,0,4,4,5,0,0,21,6,0,5,8,4,0,3,0,0,31,23,0,58,4,10,9,29,13,5,146,0,0,5,0,4,0,5,0,0,12,0,0,3,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,7,0,14,60,27,84,28,28,10,57,31,9,322
LGA59370,12,19,6,17,13,5,0,4,0,66,14,11,3,15,14,6,0,9,0,73,41,14,116,46,28,24,34,25,0,322,0,0,0,9,6,6,3,5,0,30,10,0,8,4,6,7,0,5,0,32,0,4,0,0,3,0,0,0,0,11,14,4,8,0,0,3,4,0,8,43,137,182,156,110,76,47,51,51,12,833
LGA59499,10,12,4,12,3,0,3,13,0,52,10,17,20,27,17,4,7,21,0,121,13,26,164,51,33,19,49,63,5,421,0,0,4,7,0,5,6,17,0,43,0,0,0,3,4,0,5,5,0,21,0,0,0,0,4,0,0,0,0,13,6,0,3,0,4,0,3,6,3,32,80,233,220,161,97,42,89,176,23,1126
LGA59799,0,4,7,0,0,0,0,0,0,11,0,0,5,0,0,0,0,4,0,17,4,6,50,0,0,0,15,15,3,100,0,0,0,0,0,0,0,6,0,5,0,0,4,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,3,4,33,67,9,3,0,18,60,6,199
LGA60210,21,20,9,11,13,10,0,9,0,94,22,19,8,34,11,9,3,16,0,131,97,19,212,106,66,36,59,83,12,684,4,5,9,6,8,16,0,16,0,62,10,0,8,6,7,5,4,8,0,49,3,5,3,10,0,0,0,0,0,24,11,3,4,6,0,3,5,10,5,57,241,296,275,228,141,96,86,164,24,1551
LGA60410,29,40,17,33,38,5,5,5,0,177,87,87,36,138,109,28,10,20,9,523,234,92,879,504,312,118,180,198,53,2584,16,6,18,26,49,38,19,37,5,217,13,6,10,36,35,16,14,14,0,145,0,5,4,10,0,0,0,0,5,31,15,14,19,31,16,14,15,35,19,172,522,780,1033,907,654,264,264,350,100,4880
LGA60610,45,47,18,43,30,7,8,10,0,207,85,87,43,155,86,42,12,25,3,533,243,97,762,453,284,161,247,226,41,2517,14,8,20,41,23,57,21,40,0,215,16,5,14,43,30,16,13,21,0,159,6,7,12,10,7,6,4,3,0,63,18,21,18,25,26,25,24,19,21,191,567,1304,942,945,576,336,337,381,89,5486
LGA60810,51,74,18,71,47,13,3,8,4,285,118,103,57,149,105,29,19,17,5,611,402,140,998,474,295,147,277,271,43,3042,15,4,19,43,30,31,18,42,3,193,19,11,20,49,43,14,11,25,4,200,4,6,6,5,5,0,3,8,4,37,26,19,14,33,17,10,20,41,17,184,895,1583,1193,986,641,273,380,484,103,6535
LGA61010,14,0,0,4,7,0,0,6,0,26,10,11,6,4,4,3,0,4,0,41,45,3,66,37,12,9,29,34,6,248,0,0,0,9,3,0,0,11,0,32,0,0,8,4,6,0,0,5,0,20,0,0,0,0,0,0,0,0,0,7,3,0,5,4,3,0,0,10,0,22,148,64,89,76,37,15,36,74,11,552
LGA61210,32,6,9,15,8,0,4,9,0,86,57,25,19,43,29,9,4,10,4,191,196,46,260,134,81,46,92,161,11,1030,18,0,4,15,7,17,9,31,0,101,9,4,0,9,7,5,3,7,0,38,3,0,0,4,0,0,0,4,0,19,10,6,10,16,14,11,15,28,9,117,417,314,313,253,166,90,138,344,34,2072
LGA61410,190,247,100,184,192,44,11,35,5,1021,365,335,225,420,365,109,37,75,40,1968,828,363,2281,1034,867,338,269,408,109,6494,31,25,47,82,101,62,25,57,7,439,48,45,44,112,115,39,15,41,8,466,12,38,17,31,16,11,0,11,0,141,50,60,36,71,49,30,15,37,36,390,3008,6433,3186,2872,2550,952,523,1019,295,20837
LGA61510,17,28,10,27,11,10,5,9,0,107,36,35,36,66,47,7,3,9,8,258,128,68,474,273,142,68,110,130,27,1422,3,0,12,31,17,15,7,28,0,117,7,0,3,17,17,7,8,8,0,74,0,9,3,9,0,3,0,0,0,33,12,10,10,24,15,5,13,11,13,101,313,430,574,480,305,135,159,216,61,2670
LGA61610,52,83,30,37,41,8,8,18,4,276,94,118,73,210,117,40,27,40,9,733,348,144,1064,582,349,219,231,307,38,3293,18,12,28,57,50,44,26,58,0,288,17,9,13,67,34,25,15,29,0,220,4,4,6,16,14,8,3,8,0,53,15,13,18,44,14,16,17,60,35,232,799,1504,1324,1263,730,403,349,718,105,7200
LGA61810,27,12,4,22,9,5,0,0,0,76,33,12,15,32,17,10,4,7,4,135,167,13,225,90,53,34,82,105,10,781,15,0,4,9,12,11,4,19,0,79,7,3,3,10,8,0,5,8,0,45,3,0,0,3,3,0,0,7,0,18,9,0,0,6,9,9,3,11,6,51,340,247,275,191,133,70,109,206,23,1597
LGA62010,7,6,0,0,3,0,0,0,0,18,7,3,0,3,5,3,0,7,0,28,26,0,36,9,5,0,10,15,3,106,3,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,5,3,0,4,0,0,0,0,6,0,14,66,53,43,25,31,10,11,29,4,275
LGA62210,13,21,12,9,7,0,0,4,0,67,15,18,15,20,22,10,3,9,4,126,77,34,253,130,59,40,88,74,21,773,3,0,0,14,7,0,5,16,0,54,5,0,10,16,9,4,8,5,0,47,0,0,0,0,0,3,0,5,4,14,7,0,6,3,4,4,12,18,10,73,161,268,312,221,140,65,122,145,40,1484
LGA62410,22,13,11,4,18,0,0,11,0,82,28,12,16,25,18,13,0,16,0,124,89,20,128,57,26,22,25,74,7,452,6,0,0,10,3,0,4,9,0,29,8,3,0,6,5,0,0,12,0,47,0,3,0,0,6,0,0,7,0,16,13,7,0,10,9,0,3,10,8,54,259,216,195,174,119,59,36,192,20,1265
LGA62610,83,122,90,137,93,30,13,26,16,604,186,198,192,398,288,92,53,81,19,1505,480,297,1821,1045,702,307,307,443,95,5508,33,21,48,102,78,59,22,61,4,427,30,21,30,108,62,32,19,34,3,341,13,14,5,21,18,14,4,25,6,115,28,38,42,82,41,30,37,70,55,424,1526,3412,2779,3102,1931,1051,803,1416,320,16332
LGA62810,163,240,107,150,141,44,16,33,12,910,256,250,205,266,239,97,27,78,23,1447,406,218,869,475,345,167,74,199,33,2784,16,11,25,53,42,40,10,37,0,239,43,35,28,50,57,26,9,28,4,284,21,52,18,34,12,15,8,13,3,186,44,66,34,40,32,30,12,34,42,331,3448,10091,2060,2626,2238,1085,403,1061,315,23328
LGA63010,63,79,33,37,41,6,8,14,6,282,87,83,47,93,75,25,7,26,8,450,303,113,689,274,225,99,146,239,31,2117,20,9,17,27,19,20,9,30,6,145,21,11,12,31,22,6,8,16,4,126,7,8,5,11,8,6,0,5,0,50,28,16,21,18,14,18,19,40,29,188,841,1344,930,664,545,219,216,467,109,5331
LGA63210,18,28,17,14,6,0,4,5,0,97,28,22,25,56,20,15,4,13,0,194,107,32,288,99,82,36,90,89,14,834,5,0,11,8,12,8,4,19,0,68,7,3,0,13,7,4,5,9,0,53,0,0,0,0,5,0,0,0,0,9,11,4,6,8,7,6,5,12,12,70,259,316,382,247,175,72,127,182,29,1784
LGA63410,15,3,3,3,0,0,0,4,0,28,15,0,9,9,5,0,0,7,3,51,54,8,68,17,15,3,13,45,4,233,0,0,0,7,3,3,0,0,0,14,3,0,0,4,0,0,0,13,0,28,0,0,0,0,0,0,0,0,0,3,5,0,0,0,6,0,0,3,0,22,129,76,86,45,48,13,21,88,6,512
LGA63610,143,154,79,97,114,44,7,24,9,673,216,203,159,273,211,83,20,52,27,1252,503,248,1316,542,452,207,164,251,63,3748,23,11,23,49,40,44,5,32,3,232,42,26,24,58,63,27,12,30,8,288,15,24,10,19,14,3,10,12,5,121,28,57,32,31,30,20,12,24,27,267,2249,5158,2017,1754,1617,670,311,695,231,14706
LGA63810,32,37,13,23,16,4,3,5,3,134,56,43,31,101,49,12,9,19,6,324,221,70,575,289,167,115,134,153,17,1739,10,0,14,24,18,19,7,27,0,122,11,9,10,29,15,12,12,11,3,108,6,3,3,4,0,0,0,3,0,20,19,3,3,16,12,7,14,4,5,98,515,723,674,555,330,185,180,256,50,3462
LGA64010,159,215,100,169,123,40,20,49,8,895,296,284,186,506,312,115,61,112,23,1889,885,358,2265,1322,856,480,510,615,110,7399,43,20,62,118,102,90,50,137,7,627,47,39,47,120,108,68,37,50,8,519,19,45,18,29,32,14,4,30,4,194,43,62,51,82,58,48,45,97,63,550,2647,6309,3181,3418,2202,1190,1028,1575,319,21881
LGA64210,86,65,22,47,37,10,3,23,8,303,132,94,46,134,112,30,7,22,14,582,379,99,812,362,303,118,214,214,43,2554,14,8,23,43,55,39,23,26,3,226,25,6,10,27,40,11,13,26,3,161,0,5,4,12,5,6,0,6,0,41,28,26,14,26,30,18,14,24,16,201,976,1357,1003,800,713,271,300,433,97,5950
LGA64610,82,35,18,21,21,16,7,4,0,210,75,48,36,86,65,22,10,19,0,364,265,49,569,265,173,93,137,179,28,1762,18,0,15,20,16,20,12,32,4,133,17,3,7,24,22,17,10,7,0,96,3,7,0,3,5,3,0,10,0,24,19,9,6,20,7,12,15,29,10,135,701,736,687,508,409,204,215,302,59,3817
LGA64810,42,64,25,50,45,17,4,10,3,254,89,91,44,119,112,34,10,17,6,525,284,101,838,388,309,131,148,192,46,2436,17,5,15,28,42,20,12,18,3,157,18,8,11,34,26,12,3,17,0,127,5,7,10,7,10,5,0,6,0,48,16,13,22,22,20,11,7,20,14,156,707,1126,1039,800,704,275,200,338,94,5281
LGA65010,21,14,5,13,21,0,0,3,0,68,34,18,12,44,31,15,0,5,3,158,120,37,279,133,78,45,91,90,20,888,3,0,8,11,15,9,6,6,0,67,6,0,9,10,7,5,0,9,0,52,5,0,3,0,3,0,0,3,0,14,8,3,17,10,8,3,10,13,7,75,263,248,347,260,195,81,116,140,36,1681
LGA65210,9,11,7,7,3,0,0,0,0,36,4,12,8,7,8,0,0,0,0,44,36,6,76,31,21,3,15,38,8,229,0,4,0,3,5,0,0,6,0,16,5,0,0,10,3,3,0,0,0,26,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,3,9,27,99,132,111,89,53,20,17,60,14,594
LGA65410,35,48,10,33,25,11,3,6,0,170,57,73,34,88,60,21,13,14,3,365,203,57,608,289,155,102,174,173,41,1795,9,7,12,25,24,16,4,22,5,122,17,7,7,23,20,7,6,12,0,106,0,4,4,9,3,0,5,4,0,33,18,0,10,16,11,14,16,27,14,122,484,841,711,580,354,180,233,271,77,3733
LGA65610,11,7,4,15,4,3,0,4,0,45,5,7,7,14,14,5,4,5,0,63,48,15,147,60,31,14,82,61,4,477,0,0,0,5,6,4,7,15,0,40,0,0,0,4,0,3,3,0,0,21,0,0,0,0,0,0,0,0,0,0,8,7,7,8,0,7,9,14,4,57,110,144,190,142,75,38,109,115,19,940
LGA65810,71,118,41,69,71,18,23,12,0,425,127,141,91,202,142,46,16,42,12,810,413,139,995,427,330,175,215,222,39,2965,13,8,17,40,36,36,10,26,6,195,18,18,20,54,28,19,8,15,0,183,3,23,4,5,9,7,0,8,0,61,21,26,20,22,15,28,16,24,23,185,1072,2310,1310,1089,832,412,330,436,110,7904
LGA69499,0,5,0,0,0,0,0,0,0,8,0,3,0,0,6,0,0,0,0,12,3,3,30,8,10,5,7,11,0,79,0,0,0,0,0,0,0,3,0,7,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,7,12,45,34,22,20,10,7,28,5,181
LGA69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9
LGA70200,61,95,33,84,62,23,3,11,8,379,180,154,127,331,160,48,18,30,17,1072,325,199,905,502,412,141,145,185,54,2868,15,15,16,42,44,19,10,14,0,180,18,29,16,68,39,12,12,18,6,211,10,27,13,12,12,5,3,10,4,88,19,43,28,61,22,13,12,29,55,275,1313,3214,1329,1750,1133,378,239,424,231,10006
LGA70420,17,19,0,18,10,0,0,3,0,60,31,16,3,36,16,4,0,13,0,129,58,29,111,58,31,5,16,94,10,408,0,11,4,15,3,0,0,22,0,57,5,5,11,8,7,3,0,3,0,37,0,0,0,0,0,0,0,0,0,0,3,9,8,24,9,5,4,11,15,83,195,297,148,222,118,24,37,156,23,1226
LGA70540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5
LGA70620,11,6,0,3,0,0,0,4,0,20,8,4,0,15,3,0,0,5,0,34,26,14,28,25,11,6,13,29,0,148,0,0,0,10,6,0,0,4,0,22,0,0,0,6,4,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,7,5,4,14,3,0,3,9,3,46,90,107,34,84,32,12,23,52,3,436
LGA70700,5,3,0,4,0,0,0,0,0,14,3,3,3,3,9,0,0,0,0,34,19,13,14,12,6,6,12,19,0,99,0,0,0,0,5,0,3,3,0,8,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,3,16,48,60,33,30,24,11,19,34,4,258
LGA71000,266,314,167,215,201,62,45,74,18,1357,579,529,400,731,527,176,100,175,55,3273,847,539,2573,1174,1023,331,381,466,115,7449,49,40,51,108,121,71,33,79,7,553,81,67,80,106,135,61,24,58,11,619,33,105,34,73,41,16,15,22,4,340,69,104,75,120,98,62,38,76,112,756,4737,10942,4233,4613,3918,1508,977,1599,535,33056
LGA71150,3,3,0,3,5,0,0,0,0,16,6,6,0,0,0,0,0,0,0,12,8,0,3,8,4,0,0,0,0,32,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,69,7,21,15,4,0,0,0,177
LGA71300,0,12,0,7,6,0,0,0,0,31,3,14,0,10,11,0,4,0,0,47,29,37,49,45,12,15,15,12,5,209,4,11,3,18,8,8,4,10,0,64,4,23,7,20,0,4,6,3,0,71,0,5,0,0,0,0,0,0,0,5,4,13,6,15,5,5,4,5,11,68,104,253,68,152,55,33,29,34,25,760
LGA72200,26,33,18,39,17,3,0,5,5,143,68,52,18,116,69,11,4,20,0,370,141,67,480,214,135,43,50,68,21,1218,9,8,8,16,20,6,5,9,3,79,16,10,11,21,18,8,0,8,0,83,7,4,3,3,5,0,5,3,0,27,13,12,10,13,12,7,3,11,23,109,450,751,589,585,377,121,86,175,73,3201
LGA72300,85,90,39,66,58,7,8,9,9,366,162,123,94,171,158,30,18,29,10,786,448,182,1349,401,460,114,280,213,80,3528,21,6,34,44,49,30,24,29,5,238,28,14,33,31,41,14,24,22,3,215,7,9,0,10,11,0,4,4,0,51,24,23,47,31,26,14,31,25,33,245,1129,1307,1670,894,994,243,400,373,159,7162
LGA72330,5,3,0,9,5,0,0,0,0,17,10,10,6,21,0,0,0,3,0,50,42,29,22,37,6,5,9,34,6,185,0,13,3,22,4,0,3,6,0,54,5,3,5,16,3,0,0,4,0,31,0,0,0,0,0,0,0,0,0,0,0,12,4,16,6,3,0,15,3,59,108,171,40,151,41,10,15,78,6,623
LGA72800,89,88,56,149,85,19,17,21,3,529,272,221,180,484,321,79,43,51,32,1680,515,316,1893,854,823,272,368,286,101,5429,37,24,37,80,98,55,27,53,6,417,32,23,36,61,71,32,30,25,4,309,12,11,10,17,11,10,11,14,0,93,32,33,30,58,38,18,21,31,48,316,1562,2712,2497,2295,1922,655,593,596,242,13072
LGA73600,15,9,5,6,4,0,0,7,0,38,14,14,5,20,8,0,0,6,0,68,49,34,42,58,29,12,17,47,4,287,0,15,0,19,9,0,6,8,5,68,3,11,0,15,3,0,0,9,0,38,0,0,0,0,0,0,0,0,0,0,7,9,4,7,0,5,9,19,4,59,128,215,55,146,71,24,36,99,15,781
LGA74050,3,0,0,5,3,0,0,0,0,12,3,3,0,9,0,0,0,0,0,14,14,8,19,16,6,4,0,3,0,78,0,0,0,7,3,0,0,0,0,9,4,0,0,7,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,3,0,5,0,5,0,0,0,3,0,31,40,77,24,54,17,4,5,13,0,249
LGA74550,0,10,0,5,0,0,0,3,0,24,9,6,8,7,0,0,0,9,0,50,29,21,27,35,12,8,15,56,3,203,3,10,0,4,5,0,0,9,0,39,4,4,3,0,4,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,3,3,3,4,0,0,0,9,3,36,69,108,50,76,29,12,24,94,5,478
LGA74560,0,3,0,4,0,0,0,0,0,13,0,0,0,5,0,0,0,0,0,7,3,0,20,4,8,0,5,6,3,46,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,39,22,13,26,0,9,6,3,141
LGA74660,9,8,3,9,3,3,0,0,0,33,13,18,5,13,9,0,3,4,0,67,48,54,85,73,22,3,20,18,3,327,4,16,0,18,12,0,0,13,0,63,4,6,0,10,4,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,7,15,3,11,5,0,4,8,10,58,144,256,117,166,75,21,29,59,12,864
LGA74680,0,0,0,0,0,0,0,0,0,9,7,5,0,15,0,3,0,0,0,26,9,8,17,14,6,3,3,6,0,67,0,10,0,4,6,0,0,0,0,22,0,4,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,11,0,6,0,0,0,0,11,34,35,86,21,51,15,13,9,13,10,254
LGA79399,19,27,17,22,15,3,3,3,4,115,39,35,31,56,33,9,16,12,0,227,93,56,347,140,94,26,89,72,12,927,4,9,9,13,11,4,4,17,0,74,9,7,5,18,9,3,6,13,3,63,0,0,3,0,4,0,0,4,0,13,8,5,5,6,10,9,7,9,15,82,332,590,458,358,241,79,138,162,46,2396
LGA79499,0,3,0,0,0,0,3,4,0,18,8,9,3,6,7,0,0,9,0,31,10,11,20,7,13,0,13,20,0,96,0,3,4,3,3,0,0,0,0,11,0,0,0,6,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,3,0,4,5,5,0,0,0,11,8,29,44,104,33,42,35,18,16,73,13,378
LGA79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,0,0,0,8,0,18,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,6,6,0,0,0,15,0,40
