LGA_CODE_2021,C11_PI_S_R225_274,C11_PI_S_R275_349,C11_PI_S_R350_449,C11_PI_S_R450_549,C11_PI_S_R550_649,C11_PI_S_R650more,C11_PI_S_R_NS,C11_PI_S_R_Tot,C11_AI_NS_R1_74,C11_AI_NS_R75_99,C11_AI_NS_R100_149,C11_AI_NS_R150_199,C11_AI_NS_R200_224,C11_AI_NS_R225_274,C11_AI_NS_R275_349,C11_AI_NS_R350_449,C11_AI_NS_R450_549,C11_AI_NS_R550_649,C11_AI_NS_R650more,C11_AI_NS_R_NS,C11_AI_NS_R_Tot,C11_Tot_R1_74,C11_Tot_R75_99,C11_Tot_R100_149,C11_Tot_R150_199,C11_Tot_R200_224,C11_Tot_R225_274,C11_Tot_R275_349,C11_Tot_R350_449,C11_Tot_R450_549,C11_Tot_R550_649,C11_Tot_R650more,C11_Tot_R_NS,C11_Tot_R_Tot,C16_Neg_Ni_inc_R1_74,C16_Neg_Ni_inc_R75_99,C16_Neg_Ni_inc_R100_149,C16_Neg_Ni_inc_R150_199,C16_Neg_Ni_inc_R200_224,C16_Neg_Ni_inc_R225_274,C16_Neg_Ni_inc_R275_349,C16_Neg_Ni_inc_R350_449,C16_Neg_Ni_inc_R450_549,C16_Neg_Ni_inc_R550_649,C16_Neg_Ni_inc_R650more,C16_Neg_Ni_inc_R_NS,C16_Neg_Ni_inc_R_Tot,C16_1_149_R1_74,C16_1_149_R75_99,C16_1_149_R100_149,C16_1_149_R150_199,C16_1_149_R200_224,C16_1_149_R225_274,C16_1_149_R275_349,C16_1_149_R350_449,C16_1_149_R450_549,C16_1_149_R550_649,C16_1_149_R650more,C16_1_149_R_NS,C16_1_149_R_Tot,C16_150_299_R1_74,C16_150_299_R75_99,C16_150_299_R100_149,C16_150_299_R150_199,C16_150_299_R200_224,C16_150_299_R225_274,C16_150_299_R275_349,C16_150_299_R350_449,C16_150_299_R450_549,C16_150_299_R550_649,C16_150_299_R650more,C16_150_299_R_NS,C16_150_299_R_Tot,C16_300_399_R1_74,C16_300_399_R75_99,C16_300_399_R100_149,C16_300_399_R150_199,C16_300_399_R200_224,C16_300_399_R225_274,C16_300_399_R275_349,C16_300_399_R350_449,C16_300_399_R450_549,C16_300_399_R550_649,C16_300_399_R650more,C16_300_399_R_NS,C16_300_399_R_Tot,C16_400_499_R1_74,C16_400_499_R75_99,C16_400_499_R100_149,C16_400_499_R150_199,C16_400_499_R200_224,C16_400_499_R225_274,C16_400_499_R275_349,C16_400_499_R350_449,C16_400_499_R450_549,C16_400_499_R550_649,C16_400_499_R650more,C16_400_499_R_NS,C16_400_499_R_Tot,C16_500_649_R1_74,C16_500_649_R75_99,C16_500_649_R100_149,C16_500_649_R150_199,C16_500_649_R200_224,C16_500_649_R225_274,C16_500_649_R275_349,C16_500_649_R350_449,C16_500_649_R450_549,C16_500_649_R550_649,C16_500_649_R650more,C16_500_649_R_NS,C16_500_649_R_Tot,C16_650_799_R1_74,C16_650_799_R75_99,C16_650_799_R100_149,C16_650_799_R150_199,C16_650_799_R200_224,C16_650_799_R225_274,C16_650_799_R275_349,C16_650_799_R350_449,C16_650_799_R450_549,C16_650_799_R550_649,C16_650_799_R650more,C16_650_799_R_NS,C16_650_799_R_Tot,C16_800_999_R1_74,C16_800_999_R75_99,C16_800_999_R100_149,C16_800_999_R150_199,C16_800_999_R200_224,C16_800_999_R225_274,C16_800_999_R275_349,C16_800_999_R350_449,C16_800_999_R450_549,C16_800_999_R550_649,C16_800_999_R650more,C16_800_999_R_NS,C16_800_999_R_Tot,C16_1000_1249_R1_74,C16_1000_1249_R75_99,C16_1000_1249_R100_149,C16_1000_1249_R150_199,C16_1000_1249_R200_224,C16_1000_1249_R225_274,C16_1000_1249_R275_349,C16_1000_1249_R350_449,C16_1000_1249_R450_549,C16_1000_1249_R550_649,C16_1000_1249_R650more,C16_1000_1249_R_NS,C16_1000_1249_R_Tot,C16_1250_1499_R1_74,C16_1250_1499_R75_99,C16_1250_1499_R100_149,C16_1250_1499_R150_199,C16_1250_1499_R200_224,C16_1250_1499_R225_274,C16_1250_1499_R275_349,C16_1250_1499_R350_449,C16_1250_1499_R450_549,C16_1250_1499_R550_649,C16_1250_1499_R650more,C16_1250_1499_R_NS,C16_1250_1499_R_Tot,C16_1500_1999_R1_74,C16_1500_1999_R75_99,C16_1500_1999_R100_149,C16_1500_1999_R150_199,C16_1500_1999_R200_224,C16_1500_1999_R225_274,C16_1500_1999_R275_349,C16_1500_1999_R350_449,C16_1500_1999_R450_549,C16_1500_1999_R550_649,C16_1500_1999_R650more,C16_1500_1999_R_NS,C16_1500_1999_R_Tot,C16_2000_2499_R1_74,C16_2000_2499_R75_99,C16_2000_2499_R100_149,C16_2000_2499_R150_199,C16_2000_2499_R200_224,C16_2000_2499_R225_274,C16_2000_2499_R275_349,C16_2000_2499_R350_449,C16_2000_2499_R450_549,C16_2000_2499_R550_649,C16_2000_2499_R650more,C16_2000_2499_R_NS,C16_2000_2499_R_Tot,C16_2500_2999_R1_74,C16_2500_2999_R75_99,C16_2500_2999_R100_149,C16_2500_2999_R150_199,C16_2500_2999_R200_224,C16_2500_2999_R225_274,C16_2500_2999_R275_349,C16_2500_2999_R350_449,C16_2500_2999_R450_549,C16_2500_2999_R550_649
LGA18500,5,17,54,106,105,367,36,711,3,0,0,0,0,5,8,11,9,7,30,39,118,43,38,77,69,100,229,514,1110,1325,1135,2761,255,7662,0,0,0,0,0,0,3,14,8,14,48,11,106,0,0,3,0,3,0,4,0,0,5,9,0,32,0,0,3,0,0,0,3,10,8,13,13,8,56,0,0,18,6,7,5,14,8,17,12,23,4,104,5,4,10,7,7,14,10,25,24,16,27,14,149,0,0,3,7,9,8,22,38,19,18,43,8,180,0,0,5,6,3,11,17,40,27,28,45,10,188,0,0,3,0,9,6,38,58,60,50,57,12,287,0,0,0,4,4,4,53,88,78,83,114,13,442,5,0,6,0,4,7,26,88,82,84,120,6,427,3,0,0,0,8,6,44,123,152,152,215,20,720,0,3,0,0,0,0,23,76,166,217,346,15,850,0,0,0,0,0,4,9,19,69,110
LGA18710,13,12,9,8,0,5,3,60,0,0,3,0,0,0,3,0,0,0,0,3,17,47,11,84,107,87,132,178,121,57,15,9,47,900,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,0,0,3,13,0,7,3,8,0,6,6,0,0,0,0,3,33,5,6,3,18,3,7,21,0,0,0,0,3,69,0,0,0,9,6,15,13,6,4,0,0,0,62,0,0,0,3,13,7,26,17,0,0,0,5,70,0,0,0,16,3,3,23,14,4,0,0,3,65,3,0,4,9,8,14,29,19,5,0,0,4,90,4,0,8,5,3,7,21,21,4,5,0,0,81,0,0,3,0,6,11,39,41,11,3,3,4,124,3,0,8,3,4,8,28,29,12,0,0,3,103,3,0,0,0,0,0,11,12,6,5
LGA19399,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,26,12,20,10,8,5,3,5,0,0,0,19,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,7,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,6,0,0,0,3,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,6,5,0,0,0,0,6,52,0,3,0,3,0,6,0,0,0,0,0,10,25,30,70,178,314,140,131,66,22,10,9,58,72,1092,0,0,0,4,6,4,0,0,0,0,3,0,18,0,0,0,3,0,4,0,0,0,0,0,0,9,7,4,4,8,3,0,0,0,0,0,0,0,30,0,4,15,15,5,8,5,0,0,0,0,0,59,0,4,28,32,20,8,3,3,0,0,0,3,109,0,10,13,44,24,24,10,0,0,0,3,0,134,0,6,8,27,16,27,18,7,0,0,4,6,118,0,5,11,22,21,33,9,6,0,0,0,0,103,0,0,5,17,18,28,22,6,0,0,6,0,112,0,0,5,17,13,14,21,5,0,0,3,4,78,0,0,5,12,11,25,18,4,3,0,7,6,89,0,0,3,3,3,16,13,8,0,0,13,4,71,4,0,0,0,0,3,0,6,0,0
LGA20260,0,7,3,0,0,0,0,43,6,4,5,4,0,4,3,0,0,0,0,12,39,42,74,196,293,79,78,41,13,8,0,6,55,893,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,3,3,0,0,0,0,0,0,0,0,9,3,3,6,5,6,0,0,4,0,0,0,3,35,0,3,20,14,3,4,0,0,0,0,0,3,55,6,0,28,29,13,15,6,0,0,0,0,4,105,0,4,9,28,15,14,5,0,0,0,0,0,78,8,3,18,37,15,16,6,0,0,0,0,9,110,5,0,15,21,24,24,3,0,0,0,0,9,95,0,0,9,10,19,21,3,4,0,0,0,0,77,3,0,14,18,10,20,9,0,0,0,0,3,76,0,0,3,22,6,18,18,9,0,0,0,4,86,0,0,3,6,7,9,16,8,5,0,0,11,63,0,4,0,0,3,5,4,0,0,0
LGA20570,178,91,50,11,7,4,29,617,9,31,60,43,15,23,9,3,0,0,0,64,262,229,568,1451,2137,1416,2359,1298,417,65,27,59,384,10412,0,0,20,25,21,45,29,17,0,0,0,16,180,4,4,17,21,8,16,13,4,0,0,0,8,95,30,27,104,96,41,83,38,11,0,3,5,18,453,13,25,233,138,77,143,53,13,4,0,0,30,713,22,23,319,268,159,264,112,15,3,0,0,29,1218,10,12,121,205,136,324,170,37,8,3,5,44,1074,5,14,105,183,187,420,254,50,14,3,3,16,1252,6,4,68,129,157,412,279,68,10,0,0,20,1154,5,10,42,116,140,405,342,88,13,5,8,17,1191,5,3,31,52,88,318,364,100,7,3,0,9,982,4,0,26,56,78,370,427,150,17,0,11,18,1155,0,0,14,17,42,171,295,148,19,5,9,11,736,0,0,4,6,7,54,114,72,8,0
LGA20660,69,184,173,58,25,18,33,669,15,21,18,12,6,17,34,21,7,0,3,69,217,204,546,580,570,493,1257,3088,2136,548,155,179,438,10199,0,4,18,9,7,5,44,56,16,8,8,32,211,8,4,17,8,9,7,17,14,10,0,0,6,94,36,13,77,24,16,20,41,41,14,5,4,18,300,16,22,171,33,18,22,65,46,9,0,0,26,424,7,36,192,46,33,52,117,74,16,7,6,21,599,0,8,53,53,38,56,164,116,31,6,9,18,548,4,9,46,67,53,65,254,158,30,9,3,33,726,0,0,32,35,34,100,298,216,41,12,12,16,789,7,0,18,27,30,76,354,339,74,11,10,26,965,0,6,12,12,18,55,287,350,69,16,13,22,862,0,0,6,18,13,65,418,634,160,32,41,24,1419,4,6,4,9,9,50,294,603,208,33,30,19,1265,0,0,4,10,0,22,123,285,162,39
LGA20740,41,32,16,8,3,6,14,181,3,4,8,11,7,10,8,11,0,0,3,30,100,46,145,235,482,404,627,485,380,161,39,72,201,3278,0,0,0,3,4,14,8,4,0,0,0,6,42,0,0,9,3,3,5,6,0,0,0,0,0,26,8,0,27,29,21,27,14,4,0,0,0,7,135,3,0,59,40,30,43,20,7,0,0,0,5,206,7,8,58,70,68,112,35,11,3,0,0,12,384,3,6,21,48,67,109,72,11,4,0,0,10,339,7,0,10,40,57,138,99,18,0,0,0,18,395,3,0,6,23,34,106,69,20,0,3,5,8,276,0,0,9,19,40,118,100,36,0,0,0,7,330,4,0,3,13,28,69,83,31,4,0,0,7,247,4,5,4,9,30,72,79,49,0,3,4,8,262,0,0,0,4,17,32,59,30,6,0,10,8,158,0,0,3,0,0,6,20,20,0,0
LGA20830,36,40,3,0,0,0,18,160,0,14,7,17,12,12,9,0,0,0,0,47,116,80,159,434,582,421,676,456,73,5,8,15,157,3055,0,0,3,0,4,8,6,0,0,0,0,5,39,0,0,4,10,0,10,9,0,0,0,0,5,34,8,5,17,16,9,31,19,6,0,0,0,0,120,3,4,49,35,24,37,19,0,0,0,0,10,184,5,3,65,80,49,83,44,3,0,0,0,11,354,5,6,21,63,37,91,53,14,0,0,0,8,289,4,0,31,38,45,108,89,21,6,0,0,5,346,0,4,19,41,32,95,106,27,0,5,0,0,325,6,0,11,29,48,103,115,26,0,0,0,9,355,0,0,8,23,26,85,122,38,0,0,3,6,316,3,5,9,14,31,77,155,60,3,4,0,9,382,0,0,4,3,18,49,89,47,9,3,0,5,216,3,0,3,0,5,19,45,24,3,0
LGA20910,11,50,100,90,57,166,19,565,9,7,15,9,0,8,5,14,9,8,17,54,155,121,355,357,248,156,359,976,1472,911,564,1326,259,7106,4,4,3,5,0,3,9,24,13,11,22,16,124,4,0,7,3,0,0,6,6,4,3,5,7,62,9,8,57,12,5,7,22,17,8,11,5,15,176,3,15,134,23,11,15,28,25,16,5,6,6,291,9,11,129,43,19,24,41,37,24,6,10,25,388,3,0,41,30,21,25,57,61,28,9,20,11,313,7,4,21,37,19,34,62,78,61,17,22,11,364,5,0,17,9,18,32,74,120,45,15,23,13,368,0,0,13,9,14,29,99,163,75,38,46,23,502,10,0,8,11,3,9,74,150,81,38,42,16,442,9,4,11,9,9,26,116,275,152,77,122,17,813,4,0,5,5,0,21,65,264,225,127,168,11,908,0,0,5,3,3,7,17,99,139,76
LGA21010,14,7,0,0,0,0,0,58,0,6,9,12,8,0,0,0,0,0,0,10,44,33,103,239,398,212,175,76,13,0,0,9,38,1294,0,0,0,6,0,4,0,0,0,0,0,7,14,5,0,6,0,3,5,0,0,0,0,0,0,19,5,5,15,19,0,3,5,0,0,0,0,0,52,0,9,45,26,6,9,0,0,0,0,0,4,103,0,4,46,58,38,15,11,7,0,0,0,11,178,3,4,20,38,15,21,12,0,0,0,0,11,131,0,4,7,44,31,39,13,3,0,0,0,6,155,0,3,12,27,34,43,5,3,0,0,0,3,138,0,0,4,27,23,38,19,7,0,0,0,0,119,0,0,5,23,12,24,16,3,0,0,0,0,85,0,0,6,17,14,40,20,3,0,0,0,0,108,0,0,0,0,10,8,14,3,0,0,0,4,34,0,0,0,0,4,0,5,3,0,0
LGA21110,46,204,328,240,122,230,66,1317,4,9,13,18,17,22,45,31,19,9,12,58,261,146,275,426,550,443,1110,3326,4303,2046,1001,1667,507,15798,4,0,8,24,41,101,78,145,84,51,56,48,637,0,0,13,3,23,12,16,26,24,6,18,17,154,13,9,34,33,47,50,54,84,35,20,22,22,419,7,5,71,38,34,41,46,71,29,11,19,16,402,5,12,90,57,51,49,65,130,55,17,26,26,580,5,4,33,44,55,96,116,164,59,36,28,28,682,6,0,21,28,25,63,134,214,65,27,35,26,636,0,3,13,29,33,56,218,339,103,41,46,18,902,5,0,10,33,23,60,314,485,180,58,69,41,1271,0,4,8,22,23,55,261,517,177,63,80,27,1227,8,4,27,20,28,60,421,899,393,144,160,32,2182,0,0,12,21,19,47,256,1001,495,180,254,43,2316,4,0,8,9,6,16,104,461,352,149
LGA21180,216,374,114,13,4,25,87,1037,10,19,18,34,35,53,103,12,0,3,6,114,400,167,303,680,1313,1178,2889,4610,1025,138,38,178,695,13227,4,5,17,18,19,65,148,55,3,0,4,52,383,7,3,11,19,14,22,47,23,5,0,0,15,170,22,13,72,56,41,75,149,45,3,0,0,32,514,5,13,116,97,54,50,161,39,9,0,9,33,579,11,14,114,162,102,168,295,84,9,5,5,40,1008,9,6,51,94,81,163,408,120,9,4,12,38,995,10,6,44,92,100,202,530,162,16,3,13,34,1212,8,7,31,74,110,237,648,212,17,6,14,45,1409,6,3,33,52,79,249,833,265,25,3,20,52,1626,4,0,19,42,53,188,728,297,32,5,9,53,1436,3,4,26,39,57,203,962,466,34,15,27,50,1893,6,0,20,24,31,101,626,422,39,3,21,30,1327,5,0,3,3,10,31,325,229,35,7
LGA21270,0,0,0,0,0,0,3,18,3,0,4,0,0,0,0,0,0,0,0,7,13,83,35,127,76,5,6,4,0,0,0,5,34,381,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,5,7,0,0,0,0,0,0,0,0,21,14,0,5,12,0,0,0,0,0,0,0,0,36,12,0,20,13,5,0,0,0,0,0,0,0,59,0,0,8,8,0,3,0,0,0,0,3,0,27,0,0,9,12,0,0,0,0,0,0,0,4,29,0,0,12,8,0,0,0,0,0,0,0,4,26,3,0,12,10,4,0,0,0,0,0,0,0,33,4,0,10,3,0,6,0,0,0,0,0,0,16,0,0,10,9,9,0,0,3,0,0,0,9,40,4,0,6,0,4,0,0,0,0,0,0,0,24,0,3,0,0,0,0,0,0,0,0
LGA21370,42,16,4,0,0,6,10,179,8,12,26,21,7,11,8,0,0,0,0,25,111,123,277,633,811,427,494,199,42,12,11,26,138,3181,0,0,9,8,4,3,4,0,0,0,0,9,40,3,0,3,5,5,0,4,0,0,0,4,3,30,13,0,47,24,14,9,4,9,0,0,0,3,121,11,6,82,45,17,20,8,3,0,0,0,14,202,3,17,110,85,38,42,15,4,0,0,0,10,329,0,8,44,77,47,52,32,0,0,0,0,3,262,0,6,44,85,56,75,40,12,0,0,0,16,337,4,7,36,55,50,69,38,16,0,0,0,18,286,4,9,30,60,57,59,51,14,0,0,0,8,293,3,4,14,35,38,71,53,16,7,0,0,9,246,3,3,11,36,41,73,78,36,0,0,4,16,309,5,0,9,13,23,40,49,33,3,0,4,7,182,0,0,5,6,4,5,19,15,6,0
LGA21450,56,123,45,5,0,0,21,315,3,6,10,9,4,19,23,8,0,0,6,30,111,78,92,230,339,320,1010,1997,581,69,28,47,199,4983,0,0,7,0,5,12,34,23,3,0,0,15,92,0,3,0,4,0,8,10,4,0,0,0,0,28,0,6,14,10,6,25,44,15,0,0,0,9,121,0,8,37,6,14,32,59,20,3,0,0,6,194,13,4,51,25,28,79,142,32,3,0,0,17,396,3,0,11,27,23,76,238,62,4,0,0,19,471,7,0,15,16,30,81,270,96,9,9,3,6,536,3,3,9,14,30,97,330,131,9,5,7,17,647,5,0,8,19,20,108,389,173,16,4,4,22,771,0,0,9,10,14,70,370,209,15,11,5,21,728,3,0,18,13,12,67,506,341,25,3,10,21,1033,5,0,5,11,10,33,274,292,35,11,7,14,697,0,0,0,5,10,14,120,120,23,4
LGA21610,164,465,228,40,3,30,78,1160,5,13,15,29,19,49,84,22,8,4,7,128,382,166,397,636,819,833,2715,6065,2571,323,72,203,659,15465,4,0,18,14,13,28,124,88,13,0,6,53,358,3,0,9,6,3,9,35,21,9,0,0,19,116,20,13,62,38,14,40,118,55,8,3,8,20,387,11,13,143,47,30,46,127,88,9,0,6,30,547,8,13,163,84,53,119,286,159,20,7,5,34,948,4,6,56,76,42,141,471,257,23,3,14,30,1118,7,11,39,101,55,178,615,352,32,4,13,48,1448,7,7,22,46,60,157,740,496,29,10,19,39,1626,6,10,29,44,35,186,915,713,60,9,13,57,2071,8,6,18,24,27,131,820,786,68,17,27,44,1975,0,0,24,27,39,127,980,1286,148,23,32,58,2755,7,0,14,20,22,64,631,1069,127,26,40,48,2080,0,4,6,9,8,22,256,541,96,14
LGA21670,0,3,0,0,0,0,3,47,4,3,7,18,0,3,0,0,0,0,3,14,52,63,91,235,397,112,83,10,8,4,0,8,53,1062,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,4,6,3,0,0,0,0,0,0,3,20,7,0,8,22,7,8,0,0,0,0,0,4,53,0,6,40,20,17,12,0,0,0,0,0,8,104,8,4,47,59,26,32,3,0,0,0,0,5,191,0,4,14,41,31,26,10,0,0,0,0,0,129,6,4,15,34,24,39,9,0,0,0,0,3,134,0,3,13,25,23,39,0,0,0,0,0,0,107,0,0,9,22,28,39,9,3,0,0,0,0,118,0,0,3,14,3,23,9,0,0,0,0,0,58,0,0,3,9,7,27,7,0,0,0,0,0,62,3,0,0,3,3,12,5,0,0,0,0,0,24,0,0,0,0,0,0,3,0,0,0
LGA21750,19,3,0,0,0,0,6,86,5,9,10,11,4,4,0,0,0,0,3,16,58,68,95,286,489,241,251,89,22,0,7,26,109,1678,0,0,0,7,7,0,0,0,0,0,0,5,25,7,0,5,4,0,0,0,0,0,0,0,4,26,10,0,20,12,12,6,0,3,0,0,0,0,68,0,5,44,28,18,20,7,0,0,0,0,6,125,4,8,44,45,26,27,13,5,0,0,0,8,179,0,0,19,23,40,42,24,4,0,0,0,10,164,0,3,12,39,29,32,22,9,0,0,0,18,168,4,3,18,34,27,57,24,6,0,0,0,3,169,8,0,16,30,31,42,41,8,0,0,0,9,178,0,3,4,13,18,38,39,7,0,0,0,0,128,7,0,6,17,19,26,34,9,0,0,3,11,140,7,0,6,8,10,24,46,14,0,0,0,9,119,0,0,5,3,7,8,4,8,0,0
LGA21830,7,0,0,0,0,0,8,55,0,0,11,9,3,0,0,0,0,0,0,13,41,55,98,264,345,118,79,31,14,6,0,12,97,1121,0,5,0,0,0,5,0,0,0,0,0,4,16,4,0,4,3,0,3,0,0,0,0,0,3,21,6,3,15,12,6,4,0,0,0,0,0,3,49,3,9,34,21,8,5,4,0,0,0,0,0,85,3,0,43,35,15,15,5,0,5,0,0,9,129,0,4,18,36,21,14,4,4,0,0,0,5,96,0,4,15,33,22,22,0,5,0,0,0,4,102,9,6,15,28,27,30,4,0,0,0,0,13,130,0,0,15,33,29,23,9,0,0,0,0,6,119,0,0,12,15,19,12,12,0,0,0,0,6,80,6,0,12,11,19,15,4,0,0,0,3,12,81,4,0,3,9,9,9,6,3,0,0,0,0,56,0,0,3,0,0,9,7,0,0,0
LGA21890,140,337,345,173,64,48,81,1369,20,57,37,29,21,44,61,35,12,6,6,124,462,312,881,869,1161,1163,2738,4772,3340,1222,386,385,700,17931,8,4,34,33,24,32,119,86,29,11,8,34,431,13,10,26,17,15,20,26,24,14,0,3,15,186,61,32,151,69,49,70,105,66,22,7,6,25,666,27,31,290,90,67,78,120,62,15,0,5,44,841,15,35,263,118,79,138,202,104,30,14,19,49,1073,9,10,90,94,75,205,325,173,38,6,19,36,1077,9,9,68,96,90,201,441,237,67,23,24,40,1299,6,6,42,60,107,256,586,339,83,29,31,38,1590,6,3,50,56,55,299,758,521,151,43,43,56,2040,3,3,24,37,37,174,669,579,165,42,49,43,1820,12,0,27,46,45,204,830,934,327,109,86,36,2646,8,0,18,29,30,93,497,850,409,133,90,44,2201,3,8,10,14,11,22,206,418,259,124
LGA22110,45,27,9,0,0,0,14,224,11,11,16,26,16,6,4,0,0,0,0,36,137,174,271,583,945,530,604,320,100,18,4,42,155,3737,0,0,5,11,9,8,4,5,0,0,0,7,46,5,6,8,14,9,11,3,0,0,0,0,8,52,11,10,44,32,14,18,12,0,0,0,0,5,149,15,19,71,63,38,42,23,6,0,0,0,11,281,6,18,100,124,65,81,30,11,0,0,0,18,447,4,6,36,94,69,80,53,13,0,0,0,6,364,6,6,43,66,60,116,79,19,0,0,4,12,407,4,12,26,57,61,105,82,18,0,0,0,11,373,3,5,19,44,49,97,100,33,5,0,0,13,363,0,3,23,29,35,80,95,31,4,0,5,10,307,9,0,20,23,23,66,81,39,0,0,0,9,273,3,4,16,13,10,37,68,23,0,0,5,13,183,0,4,3,7,6,16,28,10,0,3
LGA22170,181,273,125,27,3,13,44,801,13,27,21,34,25,41,46,13,3,0,6,93,326,184,528,657,1156,1165,2986,3994,1304,258,62,142,426,12865,3,0,15,10,20,31,52,27,10,0,4,23,199,0,0,12,9,9,7,38,8,3,0,5,9,99,31,12,56,44,33,58,71,24,3,0,4,20,355,3,17,165,72,56,104,139,36,6,0,4,28,635,16,20,192,123,132,228,231,91,9,0,3,33,1070,6,11,54,116,91,251,392,131,12,9,3,32,1108,8,6,63,82,81,271,479,186,17,6,9,25,1231,3,0,32,50,81,259,598,220,24,18,16,37,1344,11,0,23,52,60,226,693,346,26,15,14,37,1504,6,3,11,26,36,159,602,356,37,11,11,20,1293,6,0,13,25,39,147,745,555,85,21,33,28,1691,0,3,3,15,23,82,452,456,96,19,16,18,1200,4,0,5,9,5,28,154,256,59,6
LGA22250,0,0,0,0,0,0,9,42,0,6,10,3,0,0,0,0,0,0,0,9,31,79,75,313,225,36,16,12,0,0,0,7,58,818,0,0,5,3,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,4,8,0,0,8,7,0,4,0,0,0,0,0,5,35,4,9,24,23,6,5,0,0,0,0,0,0,69,6,9,30,38,3,4,0,0,0,0,0,7,106,3,0,23,30,8,3,0,0,0,0,0,0,73,0,4,15,35,9,8,0,0,0,0,0,0,76,7,4,16,27,13,3,0,0,0,0,0,5,74,0,6,18,30,9,8,0,0,0,0,0,0,68,3,0,14,18,11,6,4,0,0,0,0,7,57,0,0,9,28,14,6,0,0,0,0,0,0,64,0,0,0,11,4,3,0,0,0,0,0,0,23,0,0,0,5,0,3,0,0,0,0
LGA22310,59,180,279,183,76,97,51,984,3,5,16,18,14,23,32,47,14,8,7,66,252,143,221,457,658,845,2066,3391,3861,1712,701,796,502,15358,0,0,19,31,23,59,85,180,121,37,55,46,665,3,0,17,6,8,15,28,35,18,15,6,12,164,14,8,37,33,17,56,57,55,42,9,20,23,361,8,9,66,42,28,57,67,74,32,9,7,19,404,10,22,89,78,50,118,99,120,52,17,29,23,705,3,10,24,57,58,138,165,152,64,21,30,32,755,10,4,28,55,39,167,207,208,105,27,32,32,908,7,0,17,23,36,225,272,296,120,55,36,25,1126,0,4,3,21,41,253,409,437,191,69,71,26,1517,0,3,10,25,21,168,365,416,196,85,73,20,1380,6,4,16,22,23,210,454,840,389,147,165,43,2321,0,0,5,9,17,107,320,820,492,163,174,33,2152,5,0,0,7,10,23,109,392,289,146
