LGA_CODE_2021,C21_AP_75_79_NCB_4,C21_AP_75_79_NCB_5,C21_AP_75_79_NCB_6mor,C21_AP_75_79_NCB_NS,C21_AP_75_79_Tot,C21_AP_80_84_NCB_0,C21_AP_80_84_NCB_1,C21_AP_80_84_NCB_2,C21_AP_80_84_NCB_3,C21_AP_80_84_NCB_4,C21_AP_80_84_NCB_5,C21_AP_80_84_NCB_6mor,C21_AP_80_84_NCB_NS,C21_AP_80_84_Tot,C21_AP_85over_N_c_b_0,C21_AP_85over_N_c_b_1,C21_AP_85over_N_c_b_2,C21_AP_85over_N_c_b_3,C21_AP_85over_N_c_b_4,C21_AP_85over_N_c_b_5,C21_AP_85over_N_c_b_6mor,C21_AP_85over_N_c_b_NS,C21_AP_85over_Tot,C21_AP_Tot_NCB_0,C21_AP_Tot_NCB_1,C21_AP_Tot_NCB_2,C21_AP_Tot_NCB_3,C21_AP_Tot_NCB_4,C21_AP_Tot_NCB_5,C21_AP_Tot_N_ch_b_6mor,C21_AP_Tot_NCB_NS,C21_AP_Tot_Tot
LGA24210,303,61,54,143,3008,127,169,878,700,315,99,68,169,2521,149,203,768,664,370,115,102,254,2630,15670,7654,17202,8398,2401,589,322,2309,54541
LGA24250,24,3,9,18,222,16,9,28,31,22,4,8,20,148,9,10,35,31,17,26,7,9,139,1091,393,1251,763,285,70,52,378,4277
LGA24330,69,35,39,70,777,43,63,214,135,76,40,63,67,699,55,48,214,159,87,51,88,142,846,16778,4802,7456,2968,961,355,365,2489,36173
LGA24410,252,65,50,113,2172,93,92,439,397,220,93,56,143,1533,90,132,445,417,262,129,81,265,1829,15285,6504,14309,7384,2428,684,393,2157,49138
LGA24600,85,26,23,73,952,96,54,173,125,78,20,35,71,636,102,68,166,129,62,44,47,106,726,47738,6308,6160,2365,805,255,234,6392,70262
LGA24650,157,74,74,120,1374,24,56,196,189,129,58,64,83,798,31,48,153,156,95,61,76,86,714,19566,9074,19274,9833,3566,1251,1063,4527,68167
LGA24780,150,57,33,109,976,54,32,159,212,166,83,47,104,851,40,54,179,170,189,85,99,139,956,5962,2272,5981,4179,1959,665,503,2233,23768
LGA24850,100,44,24,57,707,19,22,89,93,65,26,28,49,402,21,33,94,89,68,42,33,76,459,5262,2406,5208,3278,1295,413,289,1415,19566
LGA24900,112,49,44,87,774,41,24,104,116,114,55,38,75,568,34,37,105,103,122,58,68,90,614,2752,1116,3189,2571,1285,459,312,1143,12834
LGA24970,294,96,55,178,3615,187,246,1117,817,337,108,74,228,3112,239,329,1083,791,464,190,178,415,3687,27918,12009,23896,9280,2715,749,494,4229,81293
LGA25060,218,82,46,154,2106,109,129,538,443,210,97,87,149,1762,128,172,509,473,261,124,151,190,2003,20148,6021,14112,7006,2027,588,432,2846,53172
LGA25150,91,24,15,59,623,24,20,79,84,63,19,28,26,342,23,30,65,100,68,41,46,32,403,4220,1725,4283,2641,1013,314,201,941,15339
LGA25250,216,89,56,153,2118,107,152,757,598,292,118,89,188,2306,163,240,857,669,321,150,161,337,2899,34675,8795,15554,7063,2561,897,741,4624,74900
LGA25340,547,139,81,410,5104,245,220,948,919,431,151,97,345,3348,231,227,841,842,478,161,154,533,3467,18113,7783,23088,13477,4649,1071,635,5104,73922
LGA25430,41,21,12,63,554,40,19,86,82,55,18,21,54,372,20,18,66,66,45,19,15,144,393,2340,1066,2449,1303,510,157,115,858,8792
LGA25490,53,15,16,40,330,11,13,44,45,34,17,21,26,207,15,15,31,40,36,20,33,47,236,1738,616,1788,1395,674,209,146,588,7151
LGA25620,53,9,5,31,331,15,15,50,44,27,19,14,33,214,10,14,43,52,33,16,6,26,196,1598,629,1741,1114,441,134,73,627,6360
LGA25710,104,36,20,51,963,23,30,145,120,82,26,26,37,491,35,36,150,120,71,47,40,45,539,7381,2622,8730,4627,1276,315,175,955,26073
LGA25810,34,21,6,47,319,15,7,44,48,27,12,15,42,206,12,11,36,29,35,15,16,83,242,1228,438,1307,903,441,154,94,532,5101
LGA25900,90,19,17,120,1325,103,100,277,171,71,27,17,123,889,65,93,217,153,81,24,26,214,876,25286,5547,7813,2986,794,175,171,3731,46502
LGA25990,35,10,3,22,179,3,3,15,27,11,8,11,21,99,6,4,19,21,20,5,10,12,103,737,279,755,558,291,96,71,311,3097
LGA26080,14,0,5,9,158,7,6,36,26,21,4,8,18,121,3,3,18,29,13,14,5,7,95,325,131,493,334,125,34,19,110,1560
LGA26170,114,33,19,67,745,28,25,99,120,89,33,23,66,483,27,24,91,127,95,43,48,45,505,3015,1220,3380,2704,1148,324,212,1019,13017
LGA26260,62,26,17,53,432,19,15,51,80,51,22,17,36,292,20,14,74,81,59,29,43,55,380,1670,638,1829,1415,641,189,158,555,7094
LGA26350,130,35,15,107,1877,157,151,463,379,136,50,23,125,1476,163,162,438,383,204,81,62,219,1714,24740,5036,9591,4738,1293,289,158,3053,48902
LGA26430,43,13,12,38,334,16,11,39,41,29,19,14,24,191,21,13,54,56,39,7,19,46,257,1114,525,1322,888,430,119,91,525,4998
LGA26490,77,29,10,42,671,17,21,90,116,50,23,22,61,400,21,23,74,110,60,29,17,124,455,4251,1577,4671,2787,879,217,102,1053,15530
LGA26610,71,32,24,41,394,12,8,51,80,59,39,31,47,323,23,13,47,77,77,38,49,67,385,2090,785,1890,1663,796,310,220,918,8673
LGA26670,23,8,3,12,161,3,0,18,17,17,16,4,16,94,7,8,18,26,23,6,15,38,131,516,219,683,551,244,79,54,251,2592
LGA26700,98,32,33,79,755,28,25,107,136,87,33,34,66,521,39,17,111,126,94,54,50,83,578,3143,1188,3340,2512,1090,355,239,990,12844
LGA26730,104,63,28,71,759,40,22,95,141,90,40,61,69,558,35,31,113,126,110,59,84,118,680,4228,1533,3845,2830,1228,407,311,1062,15433
LGA26810,157,46,37,112,958,32,27,120,185,100,57,56,84,658,30,24,98,127,106,52,67,111,622,4297,1770,4972,3666,1635,514,362,1679,18895
LGA26890,18,7,4,12,87,5,0,15,28,11,7,3,13,78,3,0,18,28,17,4,4,12,91,327,124,382,399,158,58,33,165,1653
LGA26980,298,92,51,170,3259,223,194,919,737,331,107,84,209,2812,288,235,904,735,412,182,193,444,3405,26022,11106,20676,8872,2622,724,486,3694,74202
LGA27070,336,114,95,230,2798,59,108,624,518,266,100,110,232,2022,61,129,529,440,233,113,134,382,2014,27357,11946,27112,13350,4619,1417,1011,5211,92021
LGA27170,106,29,29,59,753,36,32,121,118,105,47,33,52,543,27,40,100,116,98,46,37,52,519,4707,2047,4976,3082,1310,394,288,1041,17840
LGA27260,255,96,72,152,1979,48,83,326,315,168,90,83,128,1241,57,93,263,241,160,88,110,177,1189,31947,18768,30115,12591,4821,1799,1526,7027,108604
LGA27350,84,35,23,83,1068,107,76,216,148,60,18,32,53,711,87,70,225,152,78,40,78,63,790,24670,4087,6095,2426,758,244,244,2806,41333
LGA27450,328,91,60,148,2729,118,99,464,468,270,84,70,116,1685,90,120,397,375,250,117,106,137,1590,18580,7469,19123,11142,3954,1045,596,3034,64947
LGA27630,36,10,9,19,190,11,9,22,32,23,8,7,26,134,6,5,22,26,33,18,16,35,168,534,231,661,588,314,106,65,272,2765
LGA29399,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,33,33,27,8,0,4,121,418
LGA29499,3,0,0,16,42,0,0,4,6,0,0,0,0,14,0,0,0,4,3,5,0,5,19,1016,266,399,261,111,38,42,1239,3373
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
LGA30250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,82,56,42,32,25,26,66,440
LGA30300,15,0,4,6,64,0,0,8,8,6,7,9,7,43,0,0,6,6,8,6,10,7,35,378,160,369,318,153,62,68,195,1714
LGA30370,37,12,10,41,237,11,6,33,31,27,9,12,37,165,3,7,25,32,28,11,29,49,177,1171,504,1341,982,492,175,112,780,5556
LGA30410,10,3,0,15,67,5,0,6,11,9,5,3,9,38,0,4,4,0,6,5,8,8,35,266,88,262,202,119,47,30,141,1156
LGA30450,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,6,24,15,18,3,4,17,123
LGA30760,4,0,3,6,38,3,0,6,9,8,5,5,7,29,0,0,4,9,4,0,4,11,26,167,77,188,187,66,24,20,72,803
LGA30900,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,28,36,25,13,0,9,20,171
LGA31000,1847,625,401,981,16797,1102,802,3138,2903,1594,718,566,993,11810,1176,1052,3097,3023,1992,1041,996,1969,14350,208010,66500,128320,62319,21361,6824,4975,27391,525710
LGA31750,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,14,19,24,10,8,0,6,116
LGA31820,348,136,87,231,2589,119,112,438,435,263,129,99,186,1789,103,116,299,344,242,154,143,178,1578,9819,4362,11633,7831,3534,1307,941,3169,42594
LGA31900,65,34,14,35,383,12,14,54,72,52,28,13,39,281,14,14,55,76,56,30,34,38,317,1459,597,1726,1420,638,250,147,657,6907
LGA31950,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,12,20,14,10,8,9,34,144
LGA32080,258,94,81,263,2403,106,111,335,330,194,63,72,196,1396,90,119,288,281,178,92,97,289,1438,21455,8788,17039,8985,3660,1284,1166,6676,69054
LGA32250,0,0,5,3,25,0,4,0,0,0,0,5,3,11,0,0,0,0,0,0,0,0,6,172,89,147,123,69,34,40,106,768
LGA32260,74,30,22,65,585,27,20,79,108,55,27,32,46,397,22,19,90,91,72,43,35,43,417,2472,1239,3116,2131,929,334,301,1259,11786
LGA32270,38,7,11,44,240,4,3,16,19,29,17,18,29,136,5,3,11,19,16,14,12,37,108,2510,1014,2373,1751,835,274,190,1128,10070
LGA32310,20,19,11,35,212,11,11,25,34,25,11,15,24,155,19,10,15,27,18,12,14,31,141,1093,399,1121,805,417,166,121,678,4790
LGA32330,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,93,50,48,38,55,25,59,43,417
LGA32450,0,4,3,7,31,0,0,3,0,0,0,4,7,16,0,3,0,0,6,0,0,4,17,357,120,216,160,89,33,47,215,1239
LGA32500,5,5,0,13,60,4,0,5,3,0,3,5,0,17,0,0,0,0,0,0,0,6,13,445,159,350,218,110,43,46,322,1706
LGA32600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,8,13,14,8,6,5,10,90
LGA32750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,15,18,4,0,6,20,109
LGA32770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,65,65,41,58,25,35,76,487
LGA32810,23,4,0,28,219,7,6,26,29,17,10,7,14,115,5,5,24,23,5,11,6,13,89,1617,579,1185,685,261,94,74,660,5153
LGA33100,5,0,0,4,13,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,7,59,30,67,52,20,7,8,37,284
LGA33200,6,6,5,0,35,0,0,3,9,0,3,0,7,23,0,0,4,8,3,3,3,3,25,122,46,139,133,53,27,17,88,621
LGA33220,366,151,73,327,3306,161,143,505,459,320,135,86,283,2088,128,117,386,389,290,130,128,331,1908,10542,5441,13695,8724,4059,1428,909,3727,48517
LGA33360,114,46,31,58,733,23,20,95,114,80,31,37,64,474,12,20,68,80,49,35,51,64,387,5718,2765,6947,4374,1844,635,482,1829,24597
LGA33430,1080,301,153,992,11407,612,610,2119,1742,904,330,190,896,7405,542,676,1769,1577,896,420,323,1528,7737,84868,35214,73675,36373,12792,3692,2090,19575,268279
LGA33610,31,10,12,30,192,10,9,32,32,22,12,10,17,143,14,5,12,26,26,18,22,20,135,830,370,990,831,392,133,99,419,4061
LGA33620,193,71,52,114,1312,43,36,161,177,116,61,44,91,730,55,30,123,130,120,57,78,88,689,4995,2384,6148,4111,2032,692,470,1747,22567
LGA33800,35,12,13,38,292,17,7,53,63,41,18,13,36,245,9,14,70,52,45,23,13,33,260,905,401,1252,919,424,139,101,436,4569
LGA33830,0,0,0,0,4,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,3,87,39,43,37,27,22,28,53,337
LGA33960,344,149,118,216,2559,114,76,378,417,304,128,149,226,1785,96,88,285,284,237,133,175,305,1603,26115,11425,22225,13425,6172,2487,2228,5954,90021
LGA33980,16,8,0,19,108,3,3,9,16,14,9,4,14,66,3,3,11,11,8,5,7,9,60,1861,729,1664,1117,518,161,104,1330,7471
LGA34420,0,0,0,5,6,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,95,54,44,29,29,20,15,126,424
LGA34530,107,32,32,59,724,37,23,111,143,74,27,36,53,505,24,18,82,88,73,38,39,72,435,3538,1609,4434,3014,1307,408,262,1236,15809
LGA34570,0,0,0,0,3,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,6,54,31,27,24,11,19,17,49,235
LGA34580,118,36,38,66,689,30,31,74,107,56,35,28,51,409,32,25,69,84,52,34,50,41,390,4505,1765,3932,2981,1421,522,410,1510,17050
LGA34590,566,230,209,362,4464,168,171,675,627,414,201,170,308,2740,127,183,509,505,377,210,229,403,2541,37073,17000,34549,20874,9765,3953,3269,10344,136835
LGA34710,4,4,7,5,42,4,0,9,7,5,5,0,7,40,0,0,9,8,9,9,0,10,48,408,139,313,258,118,49,32,204,1526
LGA34770,239,111,86,184,1766,82,57,228,265,169,85,81,163,1131,55,55,196,228,199,115,127,206,1184,11988,5108,12838,8488,3557,1286,785,4506,48547
LGA34800,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,0,0,5,88,29,48,47,31,8,0,56,318
LGA34830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,19,19,12,10,14,54,150
LGA34860,34,9,8,25,188,8,6,16,32,30,15,16,28,150,7,0,27,26,26,10,13,51,155,1183,449,1170,915,480,143,110,642,5102
LGA34880,69,24,19,64,506,27,12,67,78,40,22,10,29,278,17,24,31,65,36,20,18,31,238,2137,933,2157,1535,682,249,167,1069,8930
LGA35010,1049,360,256,583,8735,379,349,1320,1345,829,361,233,504,5330,341,365,1084,1081,716,352,390,837,5162,53267,24094,56113,32889,13171,4352,2885,11032,197805
LGA35250,3,0,0,4,14,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,6,111,59,50,46,29,22,20,67,406
LGA35300,17,4,16,16,142,8,4,17,17,15,8,7,12,87,0,4,15,8,7,8,5,17,65,2087,842,1456,965,488,200,182,763,6984
LGA35600,10,8,3,9,71,3,0,13,9,10,6,5,0,42,6,4,12,12,9,3,11,11,71,394,172,380,280,144,61,41,226,1693
LGA35670,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,17,28,22,22,18,20,155,322
LGA35740,125,46,13,131,1548,98,65,293,221,105,47,25,114,962,64,77,203,166,123,47,39,245,969,6582,2924,7762,3950,1305,337,194,1868,24920
LGA35760,29,14,13,43,245,11,9,38,44,30,17,11,26,178,8,10,26,27,25,20,15,28,163,878,377,984,767,380,159,113,546,4203
LGA35780,4,0,0,0,5,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,4,226,134,109,87,69,60,111,161,954
LGA35790,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,85,79,65,72,58,90,126,747
LGA35800,6,0,4,0,35,6,0,3,0,0,4,0,0,14,5,5,0,3,9,0,6,0,24,139,75,152,114,59,33,36,60,666
LGA36070,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,40,39,23,16,9,11,50,239
LGA36150,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,3,3,0,0,0,0,8,67,36,70,53,22,7,3,21,277
LGA36250,384,104,73,235,3358,149,136,571,576,342,112,83,196,2162,143,156,557,484,305,169,131,376,2316,17316,8035,21183,11784,4307,1279,725,3181,67810
LGA36300,0,0,0,0,12,0,0,0,5,0,0,0,0,9,0,0,0,3,0,0,0,3,5,53,24,68,53,33,11,3,46,287
LGA36370,196,66,41,135,1319,77,52,220,225,181,78,92,153,1078,91,48,178,172,170,81,111,220,1079,8784,3747,8319,5417,2571,942,780,2737,33290
LGA36510,131,51,21,85,916,45,32,132,135,89,31,45,79,590,43,35,85,100,94,36,49,112,553,4302,1956,4959,3134,1481,467,293,1445,18047
LGA36580,69,31,20,54,506,23,18,45,76,44,16,19,39,271,7,15,33,40,26,25,21,35,201,2300,1047,2692,1863,894,325,215,825,10169
LGA36630,122,60,38,95,821,33,19,101,103,86,35,30,65,475,37,28,87,66,73,46,53,72,468,3002,1280,3260,2513,1363,581,414,1438,13850
LGA36660,136,61,35,87,913,50,39,130,153,101,48,35,79,641,44,30,99,117,103,50,50,93,591,3457,1463,3795,2893,1481,543,392,1408,15434
LGA36720,808,269,131,561,7699,381,334,1390,1337,749,290,172,457,5109,359,372,1135,1202,796,349,288,831,5333,41248,17151,43750,24591,9043,2619,1378,9187,148966
LGA36820,87,38,18,78,644,26,31,86,98,56,35,21,55,408,22,19,69,73,66,37,24,95,405,2510,1081,2752,2059,942,336,210,1269,11167
LGA36910,507,170,145,298,3598,185,120,556,576,442,186,167,283,2512,218,138,391,561,453,248,265,442,2725,20059,7407,17891,12776,5929,2069,1732,4872,72733
LGA36950,6,0,9,0,19,0,0,3,4,0,0,0,0,13,0,0,0,0,0,0,0,0,9,404,143,181,132,111,70,108,144,1294
LGA36960,4,0,15,3,25,0,0,3,0,0,0,3,3,9,0,0,0,0,0,0,0,0,9,360,177,194,146,140,98,195,123,1430
LGA37010,349,133,98,223,2616,133,102,403,429,289,137,99,161,1759,96,121,294,346,277,134,142,277,1683,24093,9171,19438,11697,5044,1772,1329,6202,78748
LGA37300,0,0,0,4,13,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,433,171,346,210,67,18,22,192,1460
LGA37310,99,37,42,68,572,20,18,57,89,66,29,47,57,377,21,14,57,76,61,41,59,56,383,2958,1211,3011,2472,1234,493,400,1398,13173
LGA37340,68,31,12,51,498,28,23,63,86,37,22,14,44,318,20,18,57,59,65,29,30,29,305,4359,1584,3673,2189,922,308,212,1740,14994
LGA37400,0,5,0,3,27,0,0,4,4,0,0,0,0,14,0,0,0,0,7,0,6,0,9,104,53,101,70,50,16,12,76,474
LGA37550,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,40,41,36,46,21,71,26,379
LGA37570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,21,14,18,22,6,0,12,104
LGA37600,3,3,11,0,18,0,0,0,0,0,4,5,0,9,0,0,0,0,0,0,0,0,0,232,101,111,77,100,84,127,94,916
LGA39499,9,8,4,19,124,6,0,11,8,0,5,5,10,37,0,0,3,6,0,3,0,3,25,1770,525,1137,733,317,128,80,1441,6127
LGA39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,24,28
LGA40070,27,9,3,27,367,29,20,71,43,29,3,3,32,240,23,17,50,53,21,6,9,92,272,6963,1075,1524,672,203,44,40,1040,11556
LGA40120,62,16,15,48,772,30,26,134,112,53,17,12,24,410,35,29,109,110,84,23,17,41,447,4812,1891,5498,2728,908,209,107,813,16959
LGA40150,19,3,0,13,140,4,5,15,17,15,6,0,6,63,0,4,8,17,7,4,8,6,53,1023,425,1099,658,258,73,60,261,3860
LGA40220,88,17,13,64,946,58,30,172,174,76,28,14,67,615,25,32,123,128,89,36,26,72,535,2974,1382,4045,2274,848,247,145,808,12722
LGA40250,0,0,0,3,9,0,0,0,0,4,0,0,0,8,0,0,0,0,0,4,0,0,11,265,140,150,125,59,35,19,176,967
LGA40310,59,13,3,35,531,24,15,105,107,51,17,21,27,371,22,22,95,91,87,29,22,44,411,2632,1079,3337,2001,694,175,121,530,10572
LGA40430,15,0,0,13,93,4,5,12,16,16,3,0,5,61,0,3,10,20,18,8,0,4,67,175,102,315,265,119,22,15,95,1111
LGA40520,25,9,4,21,229,11,13,40,58,28,9,4,24,175,9,5,43,41,39,21,21,30,212,1026,436,1256,848,361,109,76,328,4450
LGA40700,73,30,5,40,1129,73,61,266,236,98,27,9,49,827,84,82,295,267,170,55,30,53,1036,6269,2546,6660,3013,846,193,99,613,20234
LGA40910,120,28,11,81,1282,54,74,332,320,150,42,26,86,1074,60,93,321,268,160,75,40,141,1160,7480,3275,7304,3394,1044,262,163,1021,23937
LGA41010,12,0,0,8,57,0,0,8,3,3,0,0,3,26,0,0,5,4,4,3,4,6,28,298,146,331,249,119,42,29,148,1367
LGA41060,214,62,42,132,2331,112,175,596,549,242,95,59,138,1965,147,203,660,585,304,131,132,146,2306,18347,6847,15203,7016,2257,707,517,2496,53395
LGA41140,38,11,3,21,237,8,17,37,26,21,10,12,21,151,10,9,30,29,20,17,13,12,142,897,391,1062,772,334,97,62,294,3900
LGA41190,7,0,0,3,36,0,5,9,8,3,4,0,8,24,0,0,4,11,6,3,3,3,37,108,50,183,162,75,25,12,60,670
LGA41330,3,0,0,10,30,4,0,5,3,8,3,0,5,15,0,0,0,0,0,0,0,10,9,174,69,97,59,27,19,5,138,584
LGA41560,53,22,6,45,483,16,12,67,97,50,16,12,47,321,18,11,65,74,53,19,19,62,314,1245,640,2048,1319,505,178,90,542,6563
LGA41750,3,0,0,0,15,0,0,0,3,4,0,0,0,7,0,0,0,0,0,0,3,0,9,71,35,100,86,32,16,9,27,381
LGA41830,3,3,0,5,48,0,0,5,7,4,3,7,3,34,0,0,3,3,7,0,8,0,26,154,65,185,126,65,23,19,79,716
LGA41960,8,0,0,5,41,0,3,0,5,0,0,0,0,9,0,4,0,7,7,0,6,0,18,82,44,155,129,55,14,7,49,536
LGA42030,58,25,9,41,580,24,16,135,123,76,33,23,38,472,31,32,126,105,68,46,25,61,497,2732,1292,3200,1884,718,260,131,574,10788
LGA42110,15,3,4,9,111,0,3,18,14,13,5,3,5,56,4,5,8,10,10,7,3,8,64,360,154,433,345,162,62,32,151,1692
LGA42250,14,7,6,21,137,0,8,16,18,17,6,0,14,68,0,4,11,17,5,0,5,35,78,657,257,944,666,231,58,31,305,3155
LGA42600,79,15,14,61,1006,67,50,220,181,97,11,9,49,693,70,87,263,272,158,65,35,81,1034,5575,2070,5221,2563,782,177,96,747,17226
LGA42750,11,0,0,14,120,0,3,14,6,13,5,6,8,68,7,0,0,9,6,7,0,17,61,455,204,571,349,153,42,31,201,2001
LGA43080,0,4,0,8,29,0,0,0,9,0,0,0,0,12,0,0,9,6,4,4,4,0,27,74,26,97,89,47,12,6,34,389
LGA43220,6,0,0,0,21,0,0,0,10,5,0,0,0,17,0,0,0,0,10,0,0,6,26,68,24,98,102,54,13,6,28,396
LGA43360,15,5,0,8,73,3,5,8,13,9,0,3,6,51,4,4,5,8,9,0,5,4,44,175,87,286,251,91,28,14,69,989
LGA43650,17,8,3,15,238,3,7,30,35,24,9,5,10,122,11,11,19,19,11,19,0,24,115,1739,598,1970,1142,397,124,59,332,6355
LGA43710,10,5,0,9,86,0,0,8,19,14,5,3,9,51,0,0,4,9,9,6,6,3,46,463,207,668,466,177,49,27,174,2226
LGA43790,46,17,6,30,303,13,6,48,62,35,15,4,26,210,14,5,44,48,49,24,21,21,234,964,396,1393,1011,447,130,81,372,4797
LGA44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,5,0,0,0,12,40
LGA44060,139,37,28,75,1691,79,97,425,338,157,64,34,76,1268,117,146,459,453,243,115,89,123,1756,14310,5877,12071,5263,1607,536,322,1657,41649
LGA44210,25,0,11,15,210,11,10,31,53,24,15,8,19,163,11,3,20,21,15,9,13,20,120,728,383,1092,749,269,95,66,356,3741
LGA44340,120,31,15,59,1413,90,70,355,283,133,30,19,66,1051,112,107,356,360,188,88,49,95,1356,9207,3379,9485,4271,1232,292,157,1009,29040
LGA44550,77,26,11,45,682,22,32,118,117,77,12,16,25,421,22,29,108,110,54,54,40,36,448,4782,2041,4842,2648,930,256,150,779,16421
LGA44620,73,30,16,47,579,24,26,80,120,87,35,26,68,470,17,17,103,116,62,49,44,92,501,2922,1247,3235,2044,803,299,200,812,11560
LGA44830,10,9,0,11,75,6,5,7,12,6,0,5,11,57,0,0,5,16,11,4,4,4,52,238,98,311,277,120,38,26,120,1220
LGA45040,69,26,15,41,503,18,16,74,101,65,19,15,38,350,19,16,77,84,64,44,27,33,367,2122,968,2417,1637,708,275,167,652,8951
LGA45090,18,10,0,29,185,7,0,25,46,17,4,0,9,119,8,8,18,37,26,13,8,18,131,719,346,1013,676,266,68,28,289,3412
LGA45120,12,9,0,14,120,3,4,17,10,12,4,6,10,67,10,5,7,21,19,5,13,9,85,357,169,485,445,192,59,31,116,1855
LGA45290,86,21,8,32,877,63,52,203,185,81,29,15,43,670,71,73,206,215,140,51,39,73,871,6435,2181,4437,2069,636,165,106,740,16760
LGA45340,327,98,42,221,3491,124,142,639,627,273,108,71,221,2195,115,167,547,571,363,153,134,298,2349,20075,9244,23488,11867,4026,1215,747,3719,74378
LGA45400,0,0,0,0,19,0,0,0,0,0,0,0,4,13,0,0,10,0,3,0,0,6,36,76,19,96,85,39,14,7,39,381
LGA45540,8,0,0,4,48,8,3,8,0,9,0,6,5,34,0,0,6,4,6,0,0,5,27,121,68,175,124,68,27,17,110,711
LGA45680,148,59,40,129,1199,37,52,224,241,155,68,54,134,956,22,60,208,203,127,85,88,168,965,10550,4802,9697,6138,2744,1141,1053,2821,38945
LGA45890,186,68,69,140,1979,122,95,425,349,210,80,76,111,1469,120,168,547,426,239,148,157,123,1934,19261,8081,14614,6403,2431,930,780,3088,55581
LGA46090,36,15,8,26,246,5,4,44,32,25,14,8,19,150,8,4,29,36,38,12,17,13,161,1334,545,1455,918,426,167,111,466,5418
LGA46300,34,18,16,19,294,12,10,55,52,32,15,8,25,210,11,16,43,55,56,30,20,25,256,1485,619,1703,1124,456,159,94,446,6086
LGA46450,54,21,17,47,432,21,11,63,92,47,24,23,23,301,19,19,62,62,55,31,28,26,308,1706,713,2011,1341,573,210,201,518,7275
LGA46510,21,8,5,10,291,24,9,69,57,31,9,5,21,224,22,15,92,76,46,16,11,33,302,3514,1185,2640,1144,311,75,51,394,9317
LGA46670,23,7,5,19,203,5,8,44,42,20,12,7,17,165,13,11,37,35,39,15,11,15,169,901,449,1192,773,289,88,60,314,4063
LGA46860,8,0,0,5,40,6,0,12,7,6,0,0,0,39,0,0,0,10,8,0,0,0,16,143,63,203,125,58,15,6,53,672
LGA46970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,367,149,313,208,70,12,4,156,1280
LGA47140,238,78,73,194,2315,77,109,444,414,237,97,93,157,1636,46,122,317,340,206,137,138,238,1548,17038,7818,16080,8691,3567,1392,1217,3314,59113
LGA47290,6,0,0,7,34,0,0,9,9,8,0,0,0,29,4,0,5,11,4,3,8,4,39,176,49,182,202,73,18,16,75,782
LGA47490,5,8,4,6,42,3,0,4,4,0,0,0,0,19,6,0,0,10,9,0,7,4,32,151,75,213,187,83,15,24,85,828
LGA47630,21,0,0,15,136,0,6,17,31,15,5,3,4,89,11,0,18,32,21,13,7,3,106,579,227,702,583,240,66,38,238,2676
