LGA_CODE_2021,C21_P_35_39_Tot_LF,C21_P_35_39_Not_LF,C21_P_35_39_LF_NS,C21_P_35_39_Tot,C21_P_40_44_Em_FT,C21_P_40_44_Em_PT,C21_P_40_44_Em_AFW,C21_P_40_44_Em_Hrs_NS,C21_P_40_44_Em_Tot,C21_P_40_44_Unem_Look_FT,C21_P_40_44_Unem_Look_PT,C21_P_40_44_Unem_Tot,C21_P_40_44_Tot_LF,C21_P_40_44_Not_LF,C21_P_40_44_LF_NS,C21_P_40_44_Tot,C21_P_45_49_Em_FT,C21_P_45_49_Em_PT,C21_P_45_49_Em_AFW,C21_P_45_49_Em_Hrs_NS,C21_P_45_49_Em_Tot,C21_P_45_49_Unem_Look_FT,C21_P_45_49_Unem_Look_PT,C21_P_45_49_Unem_Tot,C21_P_45_49_Tot_LF,C21_P_45_49_Not_LF,C21_P_45_49_LF_NS,C21_P_45_49_Tot,C21_P_50_54_Em_FT,C21_P_50_54_Em_PT,C21_P_50_54_Em_AFW,C21_P_50_54_Em_Hrs_NS,C21_P_50_54_Em_Tot,C21_P_50_54_Unem_Look_FT,C21_P_50_54_Unem_Look_PT,C21_P_50_54_Unem_Tot,C21_P_50_54_Tot_LF,C21_P_50_54_Not_LF,C21_P_50_54_LF_NS,C21_P_50_54_Tot,C21_P_55_59_Em_FT,C21_P_55_59_Em_PT,C21_P_55_59_Em_AFW,C21_P_55_59_Em_Hrs_NS,C21_P_55_59_Em_Tot,C21_P_55_59_Unem_Look_FT,C21_P_55_59_Unem_Look_PT,C21_P_55_59_Unem_Tot,C21_P_55_59_Tot_LF,C21_P_55_59_Not_LF,C21_P_55_59_LF_NS,C21_P_55_59_Tot,C21_P_60_64_Em_FT,C21_P_60_64_Em_PT,C21_P_60_64_Em_AFW,C21_P_60_64_Em_Hrs_NS,C21_P_60_64_Em_Tot,C21_P_60_64_Unem_Look_FT,C21_P_60_64_Unem_Look_PT,C21_P_60_64_Unem_Tot,C21_P_60_64_Tot_LF,C21_P_60_64_Not_LF,C21_P_60_64_LF_NS,C21_P_60_64_Tot,C21_P_65_69_Em_FT,C21_P_65_69_Em_PT,C21_P_65_69_Em_AFW,C21_P_65_69_Em_Hrs_NS,C21_P_65_69_Em_Tot,C21_P_65_69_Unem_Look_FT,C21_P_65_69_Unem_Look_PT,C21_P_65_69_Unem_Tot,C21_P_65_69_Tot_LF,C21_P_65_69_Not_LF,C21_P_65_69_LF_NS,C21_P_65_69_Tot,C21_P_70_74_Em_FT,C21_P_70_74_Em_PT,C21_P_70_74_Em_AFW,C21_P_70_74_Em_Hrs_NS,C21_P_70_74_Em_Tot,C21_P_70_74_Unem_Look_FT,C21_P_70_74_Unem_Look_PT,C21_P_70_74_Unem_Tot,C21_P_70_74_Tot_LF,C21_P_70_74_Not_LF,C21_P_70_74_LF_NS,C21_P_70_74_Tot,C21_P_75over_Emp_Wor_ft,C21_P_75over_Em_Work_pt,C21_P_75over_Em_Aw_fr_w,C21_P_75over_Emp_Hou_w_ns,C21_P_75over_Em_Tot,C21_P_75over_Unem_Lo_ft_w,C21_P_75over_Unem_Lo_pt_w,C21_P_75over_Unemp_Tot,C21_P_75over_Tot_lab_for,C21_P_75over_N_lab_forc,C21_P_75over_LF_NS,C21_P_75over_Tot,C21_P_Tot_Em_FT,C21_P_Tot_Em_PT,C21_P_Tot_Em_AFW,C21_P_Tot_Em_Hrs_NS,C21_P_Tot_Em_Tot,C21_P_Tot_Unem_Look_FT,C21_P_Tot_Unem_Look_PT,C21_P_Tot_Unem_Tot,C21_P_Tot_Tot_labo_for,C21_P_Tot_Not_LF,C21_P_Tot_LF_NS,C21_P_Tot_Tot
LGA17080,653,135,69,859,405,177,15,10,611,17,10,24,637,136,63,835,484,178,19,10,693,20,9,33,717,127,66,911,443,196,21,17,674,8,7,16,693,167,68,925,476,209,40,18,738,20,7,34,770,214,67,1050,398,212,44,14,662,13,9,19,682,399,78,1159,167,145,22,5,342,4,8,11,354,592,54,1001,62,79,13,5,157,0,4,4,158,680,77,912,40,45,12,10,110,0,0,0,112,1262,171,1549,3960,2133,311,143,6549,177,112,289,6842,4388,919,12150
LGA17100,3010,694,260,3967,1249,508,153,40,1952,60,32,87,2044,482,150,2673,1031,449,135,27,1636,62,36,101,1738,499,106,2342,923,448,141,26,1536,50,18,67,1602,499,88,2195,853,480,123,23,1486,44,30,71,1553,659,100,2319,581,360,120,13,1073,49,25,75,1145,853,79,2074,265,207,41,3,520,15,13,27,550,1081,69,1695,91,143,32,6,269,0,4,4,275,959,44,1275,34,89,15,5,147,6,0,0,153,2261,137,2547,12843,7383,2047,530,22795,827,746,1566,24366,12265,2195,38823
LGA17150,13196,1512,524,15234,8418,3672,813,129,13032,179,92,271,13306,1591,452,15347,9102,3810,915,108,13936,219,102,324,14259,1771,460,16490,8301,3474,852,106,12732,225,87,318,13048,1924,439,15413,6671,3373,969,110,11125,215,130,341,11469,2782,364,14614,4299,3073,814,65,8249,147,140,286,8531,5092,330,13958,1623,1813,496,46,3977,30,71,100,4080,7717,318,12113,476,879,195,12,1566,5,26,27,1599,8862,371,10827,173,457,110,29,765,3,14,17,781,17647,1865,20295,67629,36744,11778,1292,117444,1980,1761,3742,121182,59740,6756,187676
LGA17200,19263,2836,1519,23614,8877,2450,719,126,12175,414,155,566,12745,1989,1112,15841,6551,1813,479,70,8918,392,123,516,9434,1764,844,12046,5391,1604,494,52,7546,330,130,466,8007,2014,781,10800,4086,1559,411,51,6100,279,118,396,6497,2432,672,9599,2466,1392,319,49,4224,172,108,285,4507,3223,610,8347,1039,990,158,25,2209,66,68,136,2347,3863,516,6726,404,586,102,14,1104,8,26,34,1137,4083,430,5656,131,338,40,17,527,5,9,16,543,6359,1110,8009,82867,31499,10773,1742,126888,4225,3248,7468,134357,46744,14498,195604
LGA17310,3084,461,289,3835,1931,688,76,30,2731,58,37,100,2825,450,236,3519,2034,722,78,39,2874,77,26,102,2977,458,258,3694,2041,699,93,36,2867,63,33,97,2965,551,248,3764,1758,776,119,20,2678,46,34,80,2760,823,220,3809,1236,795,109,32,2164,53,41,97,2260,1347,226,3832,554,507,61,13,1136,8,16,28,1165,2172,192,3528,182,245,38,10,474,4,3,6,479,2549,213,3242,82,139,16,35,276,0,6,6,283,4826,648,5753,18018,8919,1220,485,28644,748,592,1341,29980,16743,3640,50366
LGA17350,236,25,12,276,160,58,10,3,220,6,3,6,234,38,19,286,180,80,9,3,272,0,4,3,280,58,18,357,185,76,10,0,274,4,3,7,287,58,11,352,181,105,8,5,304,3,0,4,308,92,26,422,144,97,12,11,256,0,5,5,259,154,27,440,73,96,9,0,183,5,0,0,181,227,18,427,39,41,5,3,81,0,0,0,81,339,17,441,10,17,4,3,44,0,0,0,44,667,64,773,1591,923,107,67,2685,44,34,79,2764,1908,264,4939
LGA17400,158,61,34,253,120,70,3,5,206,10,6,15,215,68,33,316,167,74,4,4,248,10,7,20,267,93,37,399,164,79,5,0,249,16,6,22,272,105,50,423,151,91,16,16,269,18,4,21,293,157,42,493,171,132,13,13,330,15,16,27,362,270,58,701,77,106,9,4,195,0,5,5,204,476,43,719,57,52,3,3,117,0,0,0,119,481,76,672,38,44,0,5,87,0,0,0,87,660,95,840,1320,934,98,77,2431,102,72,183,2611,2684,565,5856
LGA17420,12935,1878,411,15214,9267,2923,730,141,13062,276,124,400,13454,1789,371,15616,8588,2732,638,124,12084,225,104,331,12414,1680,321,14419,7044,2467,704,95,10306,246,84,332,10633,1806,267,12706,5481,2256,598,87,8426,210,83,294,8716,2142,249,11105,3399,1861,500,75,5832,140,82,227,6055,3665,183,9903,1459,1373,329,40,3204,58,63,126,3328,5450,199,8981,451,699,149,24,1318,11,27,38,1362,6323,184,7876,158,372,63,21,614,3,11,13,629,10109,825,11565,59284,27297,8681,1220,96477,2224,1897,4119,100595,46461,4154,151213
LGA17550,4377,822,421,5623,2465,1527,194,84,4270,99,79,177,4443,699,393,5541,2777,1601,201,74,4654,106,65,168,4828,877,446,6146,2557,1547,224,68,4386,93,78,170,4558,1018,387,5966,2289,1737,253,73,4356,114,71,185,4547,1622,412,6584,1709,1750,241,63,3759,104,117,219,3984,3052,398,7432,630,988,124,29,1775,23,54,73,1850,4832,392,7080,152,357,52,14,574,5,7,13,586,5583,363,6533,77,187,24,25,314,0,9,10,325,10613,1379,12314,20343,17048,2466,828,40678,1076,1069,2143,42819,32582,5909,81307
LGA17620,721,105,57,876,476,167,17,13,675,19,4,23,697,85,47,834,515,171,32,17,733,20,4,29,765,124,62,951,450,146,22,8,627,14,9,17,643,141,48,834,429,168,35,14,648,15,7,23,670,209,64,935,327,192,34,11,564,7,9,16,583,348,65,998,180,129,17,6,342,4,0,9,347,495,51,893,60,70,4,3,142,0,0,0,143,558,50,755,38,67,4,10,120,0,0,0,117,1097,131,1351,4385,1956,276,161,6784,136,89,224,7009,3808,766,11587
LGA17640,352,51,31,434,211,106,17,7,328,3,0,3,336,42,27,405,261,116,21,9,400,4,5,9,415,63,43,519,297,143,19,3,462,6,3,16,477,81,41,602,337,153,24,5,516,13,9,20,542,164,68,773,242,155,20,6,411,6,3,7,424,250,53,734,122,96,13,9,234,0,0,5,240,329,64,630,87,64,6,4,165,0,0,0,165,369,64,603,71,48,4,5,140,0,0,0,140,662,97,897,2415,1303,201,79,3997,69,58,125,4122,2384,597,7106
LGA17650,240,38,20,294,158,92,6,0,253,7,4,5,261,32,20,310,191,90,20,4,296,4,4,8,309,52,29,386,215,78,17,8,317,5,0,10,325,74,35,439,190,107,19,3,310,3,6,12,322,103,30,458,148,99,16,3,267,6,6,10,286,175,34,494,68,57,4,0,136,3,6,8,138,277,24,442,36,42,0,0,81,0,0,0,79,308,18,403,19,28,0,3,58,0,0,0,58,434,45,541,1568,940,136,45,2688,62,57,115,2806,1771,336,4915
LGA17750,3680,532,235,4449,2205,770,85,34,3093,74,19,95,3185,397,196,3780,2205,726,63,35,3024,48,34,80,3104,454,204,3766,2132,713,99,38,2967,60,20,78,3052,542,193,3789,1839,740,102,33,2724,40,27,67,2790,700,173,3665,1341,769,90,19,2227,45,29,79,2303,1238,185,3729,521,482,72,17,1091,12,25,35,1124,1985,178,3288,122,253,22,17,408,3,5,12,417,2231,168,2812,65,125,21,34,247,0,5,5,247,4357,491,5090,20907,10498,1309,569,33283,749,652,1397,34679,15989,3187,53857
LGA17850,100,17,6,128,80,30,0,0,109,0,4,0,114,12,12,134,104,30,4,0,139,0,3,3,144,25,18,184,100,30,3,5,135,4,0,4,136,25,16,178,118,45,6,3,158,0,0,3,168,32,27,220,88,47,9,4,140,4,3,7,149,70,18,240,73,41,0,0,116,0,0,3,118,117,24,255,37,25,4,6,71,0,0,0,71,126,24,230,19,27,8,4,58,0,0,0,58,299,56,403,873,426,45,34,1379,24,21,43,1419,830,257,2508
LGA17900,152,29,68,252,83,42,0,6,133,8,5,14,144,41,79,262,93,29,3,0,139,8,5,9,145,65,74,282,130,48,3,3,183,11,10,20,199,68,102,373,128,42,0,0,169,3,8,10,178,97,95,370,110,58,14,0,184,8,4,11,197,156,105,465,64,40,4,4,106,3,0,8,119,180,90,391,31,24,3,0,59,0,0,0,59,181,70,323,21,10,4,0,35,0,0,0,34,289,109,432,1060,492,82,46,1668,76,44,120,1791,1376,1119,4282
LGA17950,94,7,13,113,70,22,3,0,97,0,0,4,100,20,12,128,74,21,0,0,94,3,0,3,104,13,20,131,102,25,0,3,129,4,0,4,135,27,14,171,97,25,0,0,128,3,0,7,136,32,14,182,97,29,0,0,131,0,4,0,136,55,16,201,24,11,0,0,45,0,4,0,47,69,20,135,16,11,0,0,30,0,0,0,30,111,25,168,10,13,0,5,36,0,0,0,36,200,68,300,779,268,32,33,1106,38,19,52,1160,657,234,2056
LGA18020,291,69,62,420,195,77,5,6,280,12,5,16,297,62,47,404,217,98,9,9,327,10,8,15,344,86,65,498,241,113,15,7,379,14,7,16,396,121,86,603,261,118,15,17,412,15,7,18,430,178,103,714,213,122,19,15,369,20,6,22,390,221,81,694,108,91,14,6,218,4,3,5,221,404,96,724,55,50,7,6,123,0,0,0,123,482,100,706,57,43,4,7,116,0,0,0,116,868,226,1215,2023,1148,142,92,3401,138,83,221,3619,2968,1088,7669
LGA18050,5406,669,403,6476,2827,1001,223,54,4109,110,26,142,4245,601,292,5143,2599,982,202,40,3819,101,33,134,3953,614,194,4755,2130,831,155,29,3148,81,34,115,3266,623,211,4106,1495,723,128,29,2369,50,35,81,2452,671,160,3282,919,668,99,15,1705,41,36,72,1782,926,139,2845,383,447,84,3,921,8,25,29,952,1206,123,2286,188,299,47,7,537,10,10,17,555,1644,139,2338,67,175,30,4,276,0,6,7,285,3293,657,4232,24719,10154,2767,593,38229,862,615,1472,39699,14317,3779,57794
LGA18100,114,24,12,144,107,31,5,6,147,3,0,3,152,24,16,190,95,45,11,0,148,7,0,10,157,32,13,210,105,48,0,3,156,4,3,8,168,54,9,234,114,52,12,3,179,8,4,12,183,80,30,291,76,62,9,5,155,3,3,9,163,108,21,288,50,43,4,5,101,0,0,0,97,164,19,283,24,23,5,0,54,0,0,0,54,232,17,301,16,26,0,0,45,0,0,0,49,398,50,493,874,513,64,29,1487,42,30,73,1560,1270,219,3050
LGA18200,327,55,69,453,183,94,5,0,289,3,0,5,292,35,48,377,247,81,11,8,346,5,4,11,362,57,71,488,245,73,22,5,340,9,0,9,351,72,51,477,261,94,14,4,371,12,6,17,389,106,66,561,177,101,19,4,298,4,8,11,307,186,43,539,73,60,10,3,153,4,0,6,157,283,53,497,37,28,5,0,69,0,0,0,71,326,51,447,16,19,6,3,48,0,0,0,48,493,63,599,1992,960,162,67,3174,90,48,142,3317,1938,772,6027
LGA18250,5312,817,237,6366,3715,1094,256,57,5120,132,56,192,5307,853,207,6365,3273,1060,191,29,4553,130,67,190,4741,904,192,5837,2637,996,183,40,3851,115,38,153,4004,860,126,4993,1998,896,168,26,3088,99,59,158,3241,1045,118,4411,1170,755,158,11,2101,57,51,103,2203,1448,100,3753,529,539,105,10,1186,11,33,48,1231,2074,111,3412,204,348,57,7,616,3,12,17,631,2372,112,3113,73,189,33,5,303,3,7,4,309,4903,353,5563,23476,10618,2811,417,37312,971,760,1731,39043,20085,2207,61331
LGA18350,2226,298,120,2646,1357,689,98,37,2180,21,25,51,2228,324,137,2688,1691,831,100,29,2653,45,21,58,2718,402,141,3253,1770,826,119,45,2758,33,39,69,2833,498,170,3499,1543,898,142,36,2622,44,24,68,2687,715,177,3572,1062,904,138,31,2141,26,22,49,2189,1328,150,3664,501,698,89,22,1303,21,12,32,1339,2240,175,3751,237,406,44,13,698,0,8,9,707,3141,174,4021,131,272,24,19,443,0,6,7,456,5821,661,6927,13201,8960,1389,416,23960,376,356,733,24693,16869,2347,43908
LGA18400,2926,448,173,3550,1768,721,219,37,2748,38,25,59,2808,393,143,3348,1913,880,234,53,3076,39,17,62,3134,459,163,3759,1860,743,216,47,2862,42,15,62,2923,520,142,3587,1408,660,216,43,2333,29,15,47,2378,716,125,3215,984,600,211,22,1823,21,12,37,1855,1136,103,3096,365,340,81,15,797,12,7,16,815,1746,122,2682,109,141,40,8,300,3,3,4,303,1903,118,2320,39,77,16,9,131,0,5,5,131,2671,435,3236,15053,8186,2810,483,26528,457,328,784,27316,12808,2119,42243
LGA18450,10915,2087,575,13580,6359,3089,760,113,10325,223,123,347,10670,1974,530,13176,6812,3037,723,107,10677,245,114,360,11041,2172,567,13780,6210,2638,708,104,9655,196,109,308,9964,2645,449,13057,5228,2754,726,75,8788,193,119,313,9096,3734,450,13285,3062,2277,614,65,6019,125,127,246,6270,6077,433,12785,954,1141,293,32,2421,29,42,65,2486,8058,436,10980,248,499,87,11,843,6,21,30,879,8629,421,9926,92,214,49,15,368,4,7,6,377,16942,1743,19060,53221,33183,10308,1304,98020,2624,2398,5023,103044,65557,8258,176857
LGA18500,3193,425,193,3812,1943,636,115,43,2737,63,30,92,2833,425,144,3404,1926,619,91,44,2679,67,31,93,2773,553,127,3451,1809,671,128,43,2650,69,20,89,2736,636,165,3537,1527,652,116,21,2317,65,29,89,2405,702,116,3228,998,718,102,18,1834,33,35,65,1893,938,108,2945,589,611,69,19,1287,12,21,34,1317,1216,83,2622,364,606,60,14,1043,8,14,18,1063,1760,123,2948,181,482,72,23,750,0,6,6,764,4124,721,5606,18209,7763,1822,433,28230,583,381,963,29195,13867,2479,45542
LGA18710,924,80,33,1045,704,238,23,7,980,10,3,17,994,88,61,1132,873,249,35,9,1158,17,10,27,1183,106,48,1334,825,253,54,7,1139,18,4,24,1166,150,60,1372,596,234,41,10,876,11,9,21,897,214,54,1170,354,257,33,5,654,0,11,11,669,424,46,1132,175,155,27,8,355,6,10,10,366,579,48,993,88,95,8,4,199,0,3,3,199,647,59,904,53,80,6,3,144,0,0,0,144,1014,108,1276,5684,2761,441,120,9001,123,135,254,9256,3937,667,13862
LGA19399,59,4,8,66,43,14,3,5,62,3,0,3,64,14,4,80,40,24,4,0,66,0,5,5,66,4,3,75,36,7,0,5,49,0,0,0,49,5,4,65,35,21,3,0,60,0,0,0,64,5,6,79,37,20,3,0,51,0,0,0,57,22,9,86,19,14,3,0,44,0,0,0,44,27,10,72,16,7,0,0,20,0,0,0,20,26,12,62,16,9,0,0,18,0,0,0,20,47,14,78,342,166,41,11,556,3,12,16,572,192,76,840
LGA19499,344,221,388,954,123,64,27,7,221,47,20,71,293,223,384,902,117,62,26,3,219,49,14,62,282,247,341,877,90,72,23,13,195,36,16,56,247,263,290,801,98,71,26,11,207,21,14,37,245,313,283,844,55,63,14,6,134,23,20,46,174,456,175,808,22,36,5,3,68,11,3,10,79,418,142,637,3,15,0,0,19,0,0,5,21,337,54,415,4,0,0,5,6,0,0,4,8,248,73,323,1229,910,284,87,2511,419,224,647,3161,3630,3319,10112
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,576,75,43,689,347,234,32,12,622,4,8,10,638,91,46,772,446,245,26,13,731,5,4,7,737,100,54,891,395,234,49,18,687,8,6,17,698,105,64,870,392,286,51,12,737,11,7,17,753,192,56,1003,318,291,57,6,672,7,9,18,690,379,86,1153,139,176,43,11,372,4,6,6,373,611,54,1039,56,87,8,5,155,0,0,6,162,715,63,941,31,41,10,6,84,0,0,0,84,1241,149,1479,3166,2538,475,140,6320,82,52,133,6456,3964,791,11211
LGA20260,426,209,32,663,281,137,16,10,448,11,0,10,459,149,41,649,317,126,15,11,471,17,3,17,491,181,42,712,333,164,34,13,536,13,3,17,558,204,49,805,329,160,37,14,535,10,6,16,549,237,57,844,234,195,31,12,468,7,8,16,488,366,56,905,128,108,23,5,264,0,0,3,271,547,51,862,47,63,5,9,126,0,0,0,126,613,41,779,28,31,9,9,79,0,3,3,83,1109,104,1293,2851,1716,293,114,4973,113,59,178,5151,4287,641,10072
LGA20570,5892,1031,325,7245,3458,1729,186,40,5406,120,80,200,5606,912,311,6826,3605,1660,175,53,5498,122,62,185,5680,1023,304,7009,3313,1568,202,57,5145,111,65,172,5316,1209,314,6842,2764,1596,271,46,4684,103,70,171,4855,1598,292,6741,1849,1499,272,37,3648,77,72,146,3795,2492,278,6570,599,804,124,14,1539,15,40,51,1595,4343,295,6234,160,360,39,21,578,3,6,13,594,4800,305,5699,60,143,26,19,252,0,6,9,259,8380,979,9620,29711,19708,2979,703,53104,1383,1255,2639,55738,31738,4960,92434
LGA20660,7925,1007,293,9226,4977,2164,266,62,7469,148,96,242,7712,935,293,8941,4837,2195,184,57,7276,140,88,224,7500,1017,250,8760,4436,1905,191,60,6587,143,77,217,6808,1122,222,8151,3465,1827,241,45,5576,107,68,172,5749,1522,201,7475,2395,1697,252,24,4368,79,77,158,4525,2655,211,7385,969,1059,171,21,2217,21,56,80,2295,4050,201,6537,283,482,66,9,843,3,11,20,859,5067,229,6155,91,247,35,17,384,3,9,15,397,10099,582,11080,37965,21882,3405,665,63920,1354,1521,2877,66800,33495,3520,103806
LGA20740,1701,315,160,2179,887,550,92,33,1559,26,21,44,1605,320,141,2068,943,644,59,38,1686,37,19,52,1736,346,169,2262,1031,681,100,50,1857,41,28,63,1923,476,154,2557,959,796,142,25,1921,36,39,76,1997,812,178,2996,708,848,175,34,1759,45,45,95,1852,1585,241,3673,270,507,86,21,890,12,16,23,914,2668,244,3827,82,201,27,10,323,0,0,0,327,2797,237,3353,38,116,14,17,182,0,3,3,187,4095,572,4857,7999,6863,1252,382,16498,354,295,658,17155,14942,2530,34626
LGA20830,2786,453,202,3438,1519,761,101,51,2432,38,32,69,2500,418,205,3126,1678,804,99,43,2627,43,22,70,2698,421,193,3308,1724,900,115,44,2777,57,39,97,2871,554,187,3616,1519,913,131,43,2600,47,28,74,2675,835,178,3690,1086,886,177,26,2182,49,36,86,2262,1404,216,3886,448,534,83,16,1090,9,17,22,1110,2329,202,3643,159,244,26,17,448,5,6,6,459,2800,179,3432,103,176,19,17,322,0,3,8,323,4524,450,5295,15037,9528,1506,528,26602,550,505,1052,27658,16319,2693,46666
LGA20910,4610,630,165,5407,3666,1392,150,53,5257,97,52,144,5407,750,250,6406,4623,1637,159,63,6484,110,56,164,6647,882,274,7808,4826,1880,167,61,6932,141,74,214,7153,1036,267,8453,3709,1767,186,52,5718,109,56,167,5886,1341,192,7416,2310,1597,181,32,4122,91,61,157,4275,2187,160,6626,915,1134,118,17,2183,31,31,64,2247,3201,178,5631,396,760,64,9,1227,6,18,25,1248,4003,203,5451,146,423,40,22,633,3,13,17,650,8931,782,10360,29660,17810,2476,562,50508,947,1115,2064,52571,28032,3036,83632
LGA21010,530,107,81,721,289,167,29,4,495,5,4,15,501,89,39,630,375,161,24,19,572,20,4,23,593,113,74,777,438,194,31,17,691,13,13,23,710,177,60,945,428,273,39,14,747,16,4,21,772,265,80,1120,352,290,47,15,706,6,15,22,726,430,78,1239,186,170,32,10,399,9,3,10,413,694,64,1171,76,105,7,4,195,0,5,5,199,876,99,1171,40,52,9,16,111,0,3,3,111,1618,218,1949,3478,2235,366,173,6251,116,101,224,6471,4952,1038,12460
LGA21110,8484,1136,314,9931,5974,2325,219,95,8606,154,98,244,8856,1321,298,10471,6643,2455,211,78,9389,177,103,278,9669,1600,359,11624,6849,2597,222,86,9750,184,108,291,10040,1824,321,12187,5473,2514,273,78,8336,176,103,280,8615,2243,282,11141,3430,2232,191,27,5882,109,96,200,6084,3287,235,9608,1466,1671,172,19,3331,40,54,92,3427,4659,234,8324,559,1042,87,26,1710,11,22,35,1743,5616,235,7593,208,643,60,29,941,8,18,26,963,12954,871,14790,51690,30470,3916,916,86987,1700,2246,3953,90942,45507,4521,140967
LGA21180,10204,2843,1002,14053,5535,2391,284,182,8398,387,185,575,8973,2557,835,12367,5420,2435,300,179,8336,397,205,600,8943,2585,735,12263,5147,2429,285,177,8039,382,220,602,8637,2991,664,12296,4452,2141,326,128,7040,319,210,529,7570,3649,630,11851,2967,1843,281,109,5196,255,233,491,5684,5047,526,11259,1037,868,148,47,2094,64,71,137,2234,7135,510,9878,237,306,55,22,620,7,7,12,633,7306,492,8429,46,136,19,11,209,6,3,9,220,11963,1198,13375,48036,28719,4025,2194,82979,3899,3201,7097,90074,60192,10578,160852
LGA21270,175,27,20,223,127,63,11,3,202,10,0,10,208,36,21,266,155,90,5,9,250,9,0,8,258,51,38,345,207,101,4,3,321,11,3,10,330,96,33,459,212,113,10,3,337,8,0,12,349,116,49,521,190,107,14,3,309,9,0,13,329,170,30,536,102,78,6,4,190,0,0,5,193,258,43,485,52,43,7,3,105,0,0,0,105,318,33,455,21,24,8,9,60,0,0,0,60,649,131,837,1553,929,95,68,2654,72,19,96,2748,2003,497,5241
LGA21370,1578,263,115,1955,954,456,48,26,1489,25,14,40,1524,262,137,1924,1182,525,61,49,1821,28,20,44,1866,292,155,2311,1233,588,102,39,1954,36,23,57,2011,432,161,2607,1176,618,98,42,1939,43,29,66,2005,611,161,2782,870,698,121,30,1713,31,22,50,1769,993,175,2931,360,390,74,20,843,6,12,16,861,1700,193,2752,128,176,29,19,352,0,8,11,359,1857,175,2392,68,113,10,29,218,0,7,0,222,3703,552,4476,9840,6083,986,460,17368,346,290,639,18010,11774,2342,32122
LGA21450,7846,1288,484,9617,4278,1756,210,97,6341,108,72,176,6518,1001,377,7898,4101,1676,185,95,6058,112,51,161,6222,921,394,7529,3689,1572,206,90,5557,98,42,141,5700,908,321,6932,2903,1361,208,66,4534,90,53,144,4679,1210,272,6161,1793,1140,186,38,3161,69,49,118,3284,1952,265,5500,657,642,103,21,1421,25,27,56,1482,2863,232,4582,156,296,35,10,501,0,9,9,509,3391,220,4125,77,161,19,18,271,0,4,4,278,5314,551,6141,35700,18938,3010,1058,58709,1308,1326,2628,61340,25256,4829,91426
LGA21610,25225,4914,1493,31628,13979,5731,597,344,20650,452,288,740,21390,3867,1116,26374,12419,4961,521,280,18183,444,272,713,18898,3556,994,23453,11166,4386,548,229,16337,400,179,582,16916,3932,951,21803,8922,3739,538,192,13398,341,215,554,13952,4752,747,19457,5444,3106,441,121,9116,273,190,459,9576,6472,701,16748,1885,1583,219,57,3746,72,81,152,3899,8747,552,13197,338,557,75,27,996,9,23,32,1027,8864,566,10463,106,257,33,41,429,0,14,11,443,14283,1195,15921,106191,56320,7562,3486,173556,5246,5178,10427,183983,84469,13744,282197
LGA21670,369,120,56,542,223,125,21,9,380,16,5,20,405,125,40,567,257,183,17,13,475,15,10,30,500,179,62,744,323,203,29,7,561,18,13,27,591,258,88,933,330,227,32,11,599,23,12,35,637,317,64,1017,227,190,31,12,466,13,8,24,488,530,72,1086,106,114,26,4,247,3,8,7,256,822,70,1148,33,57,7,0,97,0,0,4,99,930,84,1113,20,25,3,4,57,0,3,3,55,1686,190,1936,2419,1871,288,114,4693,186,108,295,4985,5643,884,11511
LGA21750,1043,149,74,1266,566,307,56,15,947,8,8,14,960,164,75,1199,637,346,44,15,1039,20,9,28,1060,180,87,1325,661,383,69,16,1130,24,14,35,1166,233,97,1490,630,393,62,20,1101,13,10,27,1131,334,117,1574,447,376,86,14,924,14,16,26,956,606,85,1646,202,247,48,16,515,4,8,10,527,1003,115,1639,97,148,20,14,278,0,3,3,278,1045,104,1428,44,77,10,15,148,0,0,0,148,1954,205,2304,5810,3937,675,217,10642,164,146,311,10959,6501,1233,18690
LGA21830,653,96,59,803,384,188,18,29,613,4,5,8,620,106,62,785,469,245,20,25,756,13,7,16,770,106,61,935,574,233,38,17,860,15,8,24,883,164,82,1127,525,294,38,21,885,13,6,19,902,271,73,1246,402,298,41,16,761,5,17,23,782,443,60,1285,206,168,31,15,419,0,9,9,425,639,65,1128,92,98,12,17,226,0,0,0,225,719,82,1020,82,77,5,13,180,0,0,4,181,1462,196,1842,4369,2604,352,255,7583,102,94,199,7783,4666,986,13433
LGA21890,11038,1492,534,13060,5690,2613,315,98,8720,233,137,376,9092,1297,437,10830,5422,2432,230,79,8163,236,122,359,8521,1360,394,10280,4964,2314,271,90,7632,225,108,334,7962,1775,381,10116,3475,1836,252,65,5627,170,105,278,5907,2028,324,8258,2055,1458,222,46,3788,127,103,231,4009,2750,301,7064,696,793,108,24,1619,26,43,67,1685,3725,289,5701,175,291,44,10,512,0,7,8,525,4038,308,4867,43,108,20,21,183,3,5,8,192,9954,1159,11310,46659,27147,4126,1156,79087,2233,2205,4436,83522,36542,6152,126214
