LGA_CODE_2021,C21_1500_1999_R100_149,C21_1500_1999_R150_199,C21_1500_1999_R200_224,C21_1500_1999_R225_274,C21_1500_1999_R275_349,C21_1500_1999_R350_449,C21_1500_1999_R450_549,C21_1500_1999_R550_649,C21_1500_1999_R650more,C21_1500_1999_R_NS,C21_1500_1999_R_Tot,C21_2000_2499_R1_74,C21_2000_2499_R75_99,C21_2000_2499_R100_149,C21_2000_2499_R150_199,C21_2000_2499_R200_224,C21_2000_2499_R225_274,C21_2000_2499_R275_349,C21_2000_2499_R350_449,C21_2000_2499_R450_549,C21_2000_2499_R550_649,C21_2000_2499_R650more,C21_2000_2499_R_NS,C21_2000_2499_R_Tot,C21_2500_2999_R1_74,C21_2500_2999_R75_99,C21_2500_2999_R100_149,C21_2500_2999_R150_199,C21_2500_2999_R200_224,C21_2500_2999_R225_274,C21_2500_2999_R275_349,C21_2500_2999_R350_449,C21_2500_2999_R450_549,C21_2500_2999_R550_649,C21_2500_2999_R650more,C21_2500_2999_R_NS,C21_2500_2999_R_Tot,C21_3000_3999_R1_74,C21_3000_3999_R75_99,C21_3000_3999_R100_149,C21_3000_3999_R150_199,C21_3000_3999_R200_224,C21_3000_3999_R225_274,C21_3000_3999_R275_349,C21_3000_3999_R350_449,C21_3000_3999_R450_549,C21_3000_3999_R550_649,C21_3000_3999_R650more,C21_3000_3999_R_NS,C21_3000_3999_R_Tot,C21_4000more_R1_74,C21_4000more_R75_99,C21_4000more_R100_149,C21_4000more_R150_199,C21_4000more_R200_224,C21_4000more_R225_274,C21_4000more_R275_349,C21_4000more_R350_449,C21_4000more_R450_549,C21_4000more_R550_649,C21_4000more_R650more,C21_4000more_R_NS,C21_4000more_R_Tot,C21_PI_S_R1_74,C21_PI_S_R75_99,C21_PI_S_R100_149,C21_PI_S_R150_199,C21_PI_S_R200_224,C21_PI_S_R225_274,C21_PI_S_R275_349,C21_PI_S_R350_449,C21_PI_S_R450_549,C21_PI_S_R550_649,C21_PI_S_R650more,C21_PI_S_R_NS,C21_PI_S_R_Tot,C21_AI_NS_R1_74,C21_AI_NS_R75_99,C21_AI_NS_R100_149,C21_AI_NS_R150_199,C21_AI_NS_R200_224,C21_AI_NS_R225_274,C21_AI_NS_R275_349,C21_AI_NS_R350_449,C21_AI_NS_R450_549,C21_AI_NS_R550_649,C21_AI_NS_R650more,C21_AI_NS_R_NS,C21_AI_NS_R_Tot,C21_Tot_R1_74,C21_Tot_R75_99,C21_Tot_R100_149,C21_Tot_R150_199,C21_Tot_R200_224,C21_Tot_R225_274,C21_Tot_R275_349,C21_Tot_R350_449,C21_Tot_R450_549,C21_Tot_R550_649,C21_Tot_R650more,C21_Tot_R_NS,C21_Tot_R_Tot
LGA13850,6,9,3,5,9,0,0,0,0,3,36,0,0,8,14,3,0,3,0,0,0,0,9,37,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,16,0,0,3,7,0,8,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,13,18,3,61,94,43,40,21,4,0,0,0,24,316
LGA13910,8,15,19,56,63,24,0,0,4,10,196,6,0,8,9,10,32,57,24,5,0,0,6,148,0,0,0,4,5,12,28,10,3,0,0,4,66,3,0,4,7,4,10,14,12,0,0,0,7,53,3,0,0,3,0,6,4,9,0,0,0,0,40,0,0,0,9,9,15,17,12,0,0,0,4,69,0,0,10,13,9,8,11,0,0,0,0,13,64,36,20,100,250,214,455,400,148,18,3,13,112,1771
LGA14000,4,15,16,23,69,438,452,224,146,31,1427,0,0,7,5,14,18,55,357,570,322,298,23,1668,0,0,0,4,11,10,18,152,316,194,215,13,939,0,0,0,3,9,11,15,184,448,319,500,29,1522,0,0,8,5,12,9,14,110,329,307,987,44,1812,0,5,0,3,4,14,12,48,111,75,121,40,431,0,6,5,3,0,7,4,8,8,8,10,30,86,34,43,198,301,206,330,565,2477,3106,1786,2573,409,12031
LGA14100,0,4,0,0,6,19,24,19,25,0,96,0,0,0,0,0,0,5,14,32,20,37,11,119,0,0,0,0,0,0,0,7,12,15,29,0,72,0,0,0,0,0,0,3,9,22,29,56,0,115,0,0,0,0,0,0,0,3,16,29,193,10,250,0,0,0,0,0,0,0,3,0,4,14,4,29,0,0,0,4,0,0,0,0,0,0,0,5,14,3,11,69,75,28,44,71,119,161,141,418,45,1174
LGA14170,10,32,37,81,330,1299,1033,525,541,65,3963,4,5,13,16,33,66,190,962,1332,832,971,45,4470,4,0,13,8,10,32,56,321,625,503,758,28,2350,0,0,10,11,8,37,56,362,755,922,1872,54,4080,8,0,10,12,8,21,50,177,451,674,3985,71,5469,3,3,14,12,10,23,45,153,199,185,665,75,1385,0,4,39,19,9,5,7,35,24,13,16,112,284,93,137,1045,717,510,1013,2332,6327,5990,4295,9510,795,32762
LGA14220,5,11,16,32,70,38,6,0,0,9,195,0,0,0,10,7,21,56,38,0,0,0,7,140,0,0,5,3,4,6,21,17,5,0,0,0,74,5,0,0,0,3,3,12,14,5,0,0,5,49,5,3,5,4,5,3,6,14,3,0,3,0,55,0,0,4,9,8,14,23,23,0,0,0,3,84,0,0,3,13,11,10,11,0,0,0,0,10,62,49,21,131,254,187,327,506,233,31,6,12,95,1854
LGA14300,0,5,8,18,19,9,0,0,0,4,60,0,0,0,7,3,8,11,15,0,0,0,3,48,0,0,0,0,0,3,16,5,0,0,0,0,28,0,0,0,0,3,5,5,6,0,0,0,0,26,0,0,4,0,0,4,5,9,0,0,0,0,27,0,0,0,8,0,3,3,4,0,0,0,0,21,0,0,0,4,0,0,6,4,0,0,0,0,19,16,14,53,67,54,112,126,76,3,0,0,20,536
LGA14350,4,11,11,25,85,95,13,0,5,13,258,0,0,0,4,11,17,52,80,19,8,8,7,207,0,0,0,5,0,9,23,37,13,8,4,5,98,0,0,0,0,5,8,17,34,16,5,14,3,94,0,0,0,0,6,0,11,13,8,3,0,6,55,0,0,7,10,11,16,30,40,5,0,4,12,132,0,0,7,16,15,8,16,11,0,0,0,28,103,24,16,83,276,244,442,752,684,122,43,37,124,2847
LGA14400,0,0,0,3,7,44,70,46,19,8,205,0,6,0,3,7,4,5,33,77,46,24,4,211,0,0,0,0,3,0,6,10,39,41,18,3,126,0,0,0,3,0,0,6,10,44,44,32,0,148,0,0,0,0,0,0,3,11,21,57,50,3,149,0,0,0,0,5,0,0,11,26,28,13,3,85,0,0,3,3,0,0,3,3,4,0,0,3,20,6,9,24,61,44,45,101,282,416,326,201,58,1573
LGA14500,9,3,0,4,22,128,235,167,226,27,819,0,0,0,0,0,9,15,101,258,264,359,31,1038,0,0,0,0,6,6,9,47,112,145,244,6,574,0,0,0,3,4,5,9,55,169,263,575,21,1114,0,0,4,0,0,8,19,43,147,310,1790,34,2370,0,0,0,0,0,4,5,18,32,62,210,23,365,0,0,0,0,0,0,0,0,3,3,18,28,62,12,7,48,42,42,95,173,738,1396,1613,3921,259,8348
LGA14550,0,5,9,14,23,14,6,0,0,4,69,0,0,0,5,0,14,10,8,3,0,0,0,46,0,0,0,0,0,0,0,7,0,0,0,0,19,0,0,0,0,0,5,0,0,4,0,0,3,11,0,0,0,0,0,0,5,0,0,0,0,0,12,0,0,3,0,3,6,8,9,0,0,0,3,35,0,0,0,0,0,3,4,0,0,0,0,0,12,25,3,51,103,85,136,188,93,13,4,3,41,735
LGA14600,6,14,13,11,11,0,0,0,0,4,77,9,3,8,11,13,6,10,4,0,0,0,7,67,3,0,0,0,5,6,0,0,0,0,0,5,27,6,0,3,3,0,0,5,8,0,0,0,0,26,3,0,0,4,0,0,0,7,0,0,0,3,21,0,0,0,8,6,3,5,3,0,0,0,0,32,3,0,3,7,3,0,3,0,0,0,0,5,21,56,22,85,176,86,72,45,19,3,0,9,58,626
LGA14650,25,44,35,86,300,969,512,139,63,42,2220,3,0,16,24,31,54,209,850,654,215,64,45,2156,0,0,13,6,4,20,81,354,398,144,65,24,1106,0,0,3,3,5,14,61,279,403,222,110,19,1114,4,4,15,16,4,8,31,108,192,182,141,19,717,6,0,14,25,20,39,90,271,228,91,43,84,908,9,7,49,43,14,19,28,49,16,9,6,102,356,113,139,1298,1207,714,1208,2501,5815,3389,1202,584,729,18909
LGA14700,3,5,4,7,22,188,249,117,106,8,703,0,0,0,6,0,17,14,171,317,170,141,18,852,0,0,0,0,5,3,4,73,129,101,118,4,432,0,0,0,0,3,8,10,53,207,216,271,11,782,0,0,0,0,5,9,11,54,167,236,906,17,1397,0,0,3,0,0,0,5,24,42,36,60,10,194,0,0,5,0,0,0,0,4,3,0,7,14,39,21,25,76,103,47,104,166,923,1425,1010,1751,132,5778
LGA14750,11,12,20,36,45,11,0,0,0,0,139,3,0,4,14,16,16,35,16,0,0,0,4,108,0,0,3,0,4,14,15,15,0,0,0,7,57,0,0,0,7,0,8,9,15,0,0,4,3,48,0,0,0,4,5,3,8,4,0,0,0,0,29,0,0,0,0,6,4,13,7,0,0,0,0,33,0,0,0,3,3,7,3,0,0,0,0,5,27,8,18,112,159,164,248,267,93,7,3,0,55,1132
LGA14850,7,10,20,48,140,192,74,24,7,6,541,0,5,5,4,11,20,89,159,69,25,11,14,409,0,0,0,0,4,7,25,87,49,13,5,3,206,0,0,3,4,0,9,10,49,34,26,8,0,155,7,0,10,7,5,4,7,26,28,19,10,8,119,0,0,4,6,13,23,34,62,32,6,4,14,197,0,0,13,11,5,15,12,9,4,0,0,24,86,38,26,319,351,346,624,1036,1171,425,144,75,166,4723
LGA14870,6,4,9,27,81,57,4,0,0,9,206,0,0,0,6,11,27,56,52,3,0,3,6,158,0,0,0,0,3,3,22,22,8,0,0,0,60,0,0,5,6,0,4,15,22,7,0,0,0,66,0,3,6,0,4,3,11,18,8,3,7,9,69,0,0,6,0,6,7,22,15,0,0,0,8,63,3,0,19,10,12,6,5,5,0,0,0,13,66,27,39,224,179,172,363,583,311,49,7,16,96,2063
LGA14900,17,39,30,174,331,948,886,406,131,70,3039,4,0,10,27,15,144,234,749,827,430,150,63,2652,0,0,7,4,12,84,78,349,522,352,105,24,1552,0,0,6,10,10,99,90,297,502,417,161,40,1634,0,3,4,10,9,33,47,122,268,288,250,30,1060,8,9,23,27,13,79,91,225,218,135,58,109,995,0,14,51,28,5,16,39,41,41,20,4,152,416,188,294,1384,982,603,1690,2789,6174,5475,2842,1128,977,24530
LGA14920,5,3,9,15,23,3,0,0,0,0,69,5,0,0,4,5,14,25,9,3,0,0,10,73,0,0,0,0,0,3,11,0,0,0,0,0,22,0,3,0,0,0,4,4,4,0,0,0,3,25,0,0,0,0,0,5,10,5,0,3,0,4,24,0,0,0,4,0,3,5,0,0,0,0,7,22,0,0,5,7,3,0,3,0,0,0,0,10,22,11,8,53,139,95,134,151,31,9,3,0,56,696
LGA14950,0,0,0,8,0,0,0,0,0,0,17,0,0,4,5,4,6,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,3,0,11,0,0,0,3,4,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,12,8,15,40,33,46,18,9,5,0,0,13,187
LGA15050,8,13,18,87,204,648,289,38,4,28,1350,0,0,5,5,14,67,148,576,328,45,7,31,1233,3,0,6,9,9,66,51,260,226,33,17,15,691,0,0,3,5,4,36,57,225,249,75,17,10,674,0,0,3,0,3,19,19,92,139,64,14,5,365,0,0,4,9,12,49,60,166,131,28,7,32,499,0,0,4,33,6,13,27,13,6,0,0,53,169,30,29,221,572,352,896,1609,3500,1800,334,85,352,9782
LGA15240,11,33,48,72,262,359,133,22,6,29,988,0,0,5,11,20,47,128,288,109,20,11,22,661,0,0,4,10,5,16,49,121,61,20,10,11,314,4,4,3,3,3,18,33,93,78,25,4,12,279,0,0,6,13,11,10,28,55,51,25,19,5,219,0,0,4,17,10,43,77,137,56,10,9,25,388,3,0,18,37,29,51,39,35,11,0,3,62,279,57,47,265,816,623,1233,2230,2411,811,174,105,392,9162
LGA15270,0,14,6,19,53,95,57,3,0,13,265,9,0,0,5,7,16,61,113,69,13,10,12,312,0,0,0,3,0,3,23,48,45,10,0,4,138,0,0,3,6,3,9,24,74,55,11,4,14,195,0,0,0,0,5,5,13,35,54,16,13,5,143,0,3,4,0,6,5,18,36,25,0,0,9,110,0,0,5,15,5,4,10,7,0,0,0,15,60,25,14,80,190,156,261,488,625,359,66,38,111,2420
LGA15300,12,34,20,23,34,29,6,0,0,29,189,7,7,9,22,20,17,25,25,8,0,0,18,155,0,0,6,6,10,10,17,22,6,0,0,4,90,0,0,6,10,3,8,13,24,10,0,0,9,86,5,7,3,4,0,3,8,9,7,3,0,14,61,0,0,0,7,11,7,14,14,3,0,4,12,86,0,3,7,21,5,7,5,0,0,0,0,24,75,38,40,109,336,181,184,199,165,50,9,11,166,1499
LGA15350,0,5,0,3,14,116,132,84,86,6,450,0,0,0,0,4,0,4,98,175,143,132,3,565,0,0,0,0,0,0,5,15,43,61,76,7,208,0,0,0,0,0,0,4,21,82,110,179,8,418,0,0,3,0,0,0,8,17,64,111,836,18,1065,0,0,0,0,0,0,0,9,22,25,79,14,141,0,0,0,0,0,0,0,3,3,0,4,12,26,6,3,16,47,29,37,70,548,785,636,1566,113,3853
LGA15520,9,10,3,6,27,38,14,0,4,10,131,3,5,3,3,4,9,22,23,13,5,5,14,102,0,3,0,0,10,5,8,10,6,0,0,0,43,0,0,0,0,3,4,3,8,19,7,0,8,45,0,0,0,0,3,3,0,11,10,0,0,9,37,0,0,0,9,0,3,10,12,5,6,0,9,46,4,0,3,4,0,0,0,0,0,0,0,10,21,37,10,80,127,78,124,156,147,77,14,13,90,960
LGA15560,4,3,4,7,4,0,0,0,0,8,36,0,3,3,3,3,4,5,0,0,0,0,5,39,0,0,4,0,0,3,0,0,0,0,0,7,14,0,0,0,5,0,0,0,0,0,0,0,5,20,0,0,0,0,3,3,0,0,0,0,0,6,15,0,0,0,3,0,5,0,0,0,0,0,4,15,3,0,4,4,0,0,0,0,0,0,0,0,12,21,13,42,63,48,51,32,7,5,0,0,44,318
LGA15650,4,17,9,37,75,103,11,0,3,18,269,5,0,8,11,15,25,69,132,28,6,0,15,305,0,0,0,0,4,13,26,60,12,0,0,5,119,0,0,0,3,7,8,23,67,24,3,3,4,142,0,0,0,5,8,5,19,54,11,4,0,11,117,0,0,0,0,0,12,29,37,5,0,0,4,88,0,0,6,15,6,7,5,0,0,0,0,18,58,17,8,73,223,162,314,478,627,107,10,15,112,2147
LGA15700,3,12,8,21,41,58,22,5,0,7,180,3,0,0,0,5,5,22,43,16,3,0,6,108,0,0,0,3,0,9,7,26,13,5,3,0,68,0,0,0,0,0,0,6,26,9,6,0,0,52,0,0,0,0,5,0,0,14,11,0,4,0,36,0,0,0,7,0,8,21,26,5,0,0,7,90,0,0,6,15,7,11,8,5,0,0,0,21,75,25,17,94,244,178,232,426,477,132,22,29,93,1970
LGA15750,11,11,20,23,28,41,5,3,0,14,153,15,0,4,19,19,18,35,43,4,0,4,20,179,0,0,8,4,3,0,14,20,0,0,0,3,58,6,0,3,6,3,11,20,38,5,4,0,3,109,0,0,5,13,6,7,9,22,10,0,4,5,85,0,0,8,5,9,7,11,17,4,0,0,7,60,0,0,8,12,12,0,0,5,0,0,0,6,50,43,18,114,211,193,184,217,269,38,12,11,111,1424
LGA15800,3,6,13,12,8,0,0,0,0,0,50,4,0,4,3,4,12,9,0,0,0,0,0,48,0,0,0,0,0,3,3,0,0,0,0,0,15,0,0,4,6,0,4,3,3,0,0,0,0,21,0,0,0,0,0,0,4,0,0,0,0,0,13,0,0,6,3,4,7,5,0,0,0,0,0,19,0,0,0,3,0,3,0,0,0,0,0,4,15,14,9,77,106,99,104,70,16,5,4,0,32,539
LGA15850,4,5,6,15,21,5,0,0,0,7,57,3,0,3,7,3,8,6,8,0,0,0,3,50,0,0,0,3,0,4,5,0,0,0,0,8,23,0,0,4,0,4,4,7,0,0,0,0,0,24,0,0,0,0,0,0,4,3,0,0,4,0,19,0,0,0,0,3,4,12,4,0,0,0,8,32,0,0,4,7,0,0,0,0,0,0,0,7,17,7,14,71,78,59,114,111,36,5,3,10,43,550
LGA15900,30,57,51,115,353,1244,885,240,117,58,3143,0,0,14,30,31,63,251,1092,1023,349,158,48,3068,3,0,10,17,14,23,93,463,581,211,138,23,1580,0,0,18,22,8,36,84,430,617,407,242,24,1885,4,3,13,13,17,12,32,192,319,318,489,35,1446,3,5,24,34,24,35,96,323,358,213,177,70,1349,8,9,53,21,13,15,33,37,14,5,7,110,323,158,244,1696,1076,753,1331,2816,6854,5136,2115,1516,761,24466
LGA15950,3,10,3,9,102,553,533,319,349,38,1922,0,0,3,9,0,18,51,440,828,587,593,47,2586,0,0,0,3,3,9,21,60,239,281,347,14,974,0,0,3,0,10,15,20,139,447,687,995,31,2340,5,0,0,5,7,15,33,109,412,804,3321,59,4761,0,0,9,3,0,9,6,25,58,90,275,32,504,0,0,0,0,4,8,3,13,15,16,28,55,142,34,24,157,255,114,183,532,2347,3324,3200,6447,405,17021
LGA15990,9,8,16,34,65,310,752,755,864,62,2887,4,0,4,4,21,31,47,225,809,997,1333,74,3558,5,0,4,7,5,12,33,73,362,541,968,43,2064,6,0,4,6,15,15,39,82,372,752,2046,69,3399,3,0,7,8,13,19,40,79,192,493,4683,93,5619,7,0,0,8,9,15,13,43,117,153,609,78,1057,7,4,22,24,11,8,4,8,29,26,41,84,269,85,88,363,556,333,400,639,1827,4067,4658,11786,807,25599
LGA16100,4,3,8,10,22,15,3,0,0,6,67,0,0,0,0,5,12,17,12,0,0,0,4,46,0,0,0,0,0,0,19,3,3,0,0,0,23,0,0,0,0,0,0,5,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,6,7,0,0,0,0,18,0,0,0,0,0,0,3,0,0,0,0,3,9,6,8,45,38,39,54,120,73,12,0,0,34,434
LGA16150,3,8,25,58,184,267,94,15,4,32,690,0,0,3,9,27,42,115,263,134,22,13,18,637,0,0,3,4,3,18,61,138,93,14,5,13,354,0,0,3,0,10,21,30,115,113,23,14,26,349,0,0,8,8,8,7,16,62,97,39,28,32,308,0,0,6,8,7,21,64,75,45,11,5,18,256,0,6,23,17,6,7,12,10,0,0,0,27,111,37,50,303,340,285,614,1138,1453,693,153,86,287,5437
LGA16200,7,11,9,36,51,37,3,0,0,11,170,4,0,3,13,15,26,46,47,3,0,0,6,166,0,0,0,0,3,16,22,19,0,0,0,0,66,0,0,3,4,3,15,20,35,8,0,0,0,84,3,0,0,0,3,3,20,6,7,0,0,4,49,0,0,0,3,6,11,11,8,3,0,0,3,51,0,0,17,3,3,0,0,0,0,0,0,11,38,24,32,167,232,179,257,328,202,39,8,13,81,1555
LGA16260,44,40,44,118,526,1987,1838,685,379,92,5757,4,0,8,30,31,102,365,1959,2424,907,476,107,6422,0,4,12,14,19,67,152,897,1347,641,320,57,3526,6,0,11,23,29,95,148,994,1933,1012,569,67,4884,3,3,11,26,15,43,84,603,1427,1038,1029,71,4357,6,10,16,31,17,66,110,281,450,246,185,139,1560,9,8,48,26,12,15,20,59,44,24,15,133,398,154,292,1566,912,651,1198,3116,11166,12897,5775,3581,1221,42523
LGA16350,16,31,29,125,442,1729,857,209,61,65,3579,5,5,20,24,17,58,249,1428,991,312,84,60,3254,5,0,3,13,9,30,93,688,589,255,80,39,1806,5,0,3,6,6,24,71,547,607,355,135,18,1778,3,0,9,10,10,29,39,218,278,280,165,26,1058,3,0,18,32,13,24,74,332,222,123,62,85,986,7,3,35,25,15,20,27,41,14,3,10,131,336,123,186,936,827,510,1278,3291,9219,4900,1838,721,834,24655
LGA16380,9,12,7,36,146,478,293,69,33,31,1125,3,0,4,6,9,23,81,349,297,92,40,26,924,0,0,0,0,0,11,19,143,180,43,23,4,439,3,0,0,0,0,5,23,105,176,69,35,5,439,4,0,0,0,6,4,25,46,87,70,68,9,323,0,3,8,10,6,7,46,144,102,36,16,24,397,3,0,7,37,9,32,27,29,10,3,0,47,205,47,35,206,589,278,740,1548,2997,1716,495,278,338,9267
LGA16400,9,12,14,71,151,384,237,57,24,19,980,0,4,11,12,13,56,93,262,232,74,28,18,802,0,0,0,4,4,41,37,119,129,45,16,9,407,0,0,8,3,0,31,36,83,124,57,35,14,392,4,0,3,8,0,9,16,45,63,46,35,6,230,0,0,6,9,6,57,62,98,87,37,10,24,394,0,0,3,26,10,17,15,17,0,0,4,46,135,30,23,202,383,246,726,1349,2178,1283,404,191,279,7287
LGA16490,9,18,43,128,197,238,173,53,25,26,922,0,0,3,11,24,62,130,230,214,86,57,17,831,0,0,7,0,5,24,64,126,125,67,52,5,478,0,0,0,13,10,35,83,138,136,79,118,13,626,0,0,8,3,4,13,62,116,83,86,156,7,539,0,0,5,3,3,27,38,41,51,25,34,16,250,0,4,10,14,5,7,5,4,4,0,4,24,71,26,41,246,292,317,750,1045,1344,989,440,476,210,6193
LGA16550,18,30,17,38,93,442,829,575,469,67,2574,0,0,10,13,12,39,68,341,899,847,820,49,3099,0,0,4,6,6,21,36,108,372,533,630,37,1752,0,0,5,13,13,23,46,137,497,909,1378,29,3052,3,3,12,17,3,22,46,110,267,675,3097,54,4311,3,0,10,23,19,18,33,63,178,212,504,76,1142,3,5,78,21,7,11,6,24,16,20,38,103,326,128,226,1469,652,372,488,857,2401,4496,4605,7647,754,24089
LGA16610,0,12,10,24,68,97,16,3,5,14,251,0,0,0,9,9,21,50,71,20,0,0,0,176,0,0,0,5,3,6,22,33,9,4,4,0,85,0,0,0,4,0,10,14,22,4,0,4,0,59,0,0,0,3,3,5,4,4,6,0,0,0,31,0,0,5,6,0,14,31,24,3,0,0,3,101,0,0,7,7,14,16,3,0,0,0,0,8,63,19,13,119,244,198,354,589,532,111,26,27,85,2314
LGA16700,15,20,17,37,235,883,717,359,249,48,2584,0,0,12,19,25,56,159,798,933,632,376,59,3075,0,0,8,9,10,18,72,334,421,372,256,15,1515,0,0,12,13,17,29,59,365,665,596,570,42,2354,3,0,11,17,5,16,46,177,446,603,1007,31,2360,5,5,0,15,4,23,41,96,120,128,137,73,641,4,0,4,11,3,4,4,23,21,4,13,81,177,59,49,282,638,306,589,1711,5028,4732,3436,3068,642,20540
LGA16900,11,11,14,15,76,276,354,116,31,17,921,0,0,3,5,10,7,29,214,318,163,40,8,796,0,0,4,6,0,8,17,91,184,126,29,5,473,0,0,0,3,4,4,11,70,162,160,56,17,491,0,0,3,5,3,3,12,26,67,100,85,16,311,0,0,7,10,5,9,18,62,100,62,26,20,327,7,0,23,17,4,12,10,15,11,0,0,39,145,50,67,568,414,264,346,712,1691,1819,904,322,266,7408
LGA16950,7,18,35,77,252,513,282,43,15,51,1306,0,0,10,8,20,85,146,404,270,55,27,40,1058,0,0,0,4,9,68,67,197,155,38,14,15,561,0,0,4,5,5,57,53,129,161,53,32,14,511,0,4,10,8,5,18,30,73,88,37,52,21,344,4,0,6,9,5,39,70,142,63,23,6,31,418,3,0,11,33,9,22,32,26,7,3,0,66,219,55,45,301,699,522,1102,2104,3270,1505,305,202,469,10587
LGA17000,6,5,8,37,54,105,29,3,0,13,260,0,0,3,6,3,30,51,107,31,11,4,15,253,0,0,0,6,0,16,33,60,30,0,0,0,144,0,0,0,0,0,12,24,71,43,7,4,5,174,0,0,0,8,0,8,15,42,38,20,9,7,150,0,0,6,3,0,17,21,37,15,3,8,8,114,0,0,0,3,0,0,3,3,0,0,0,14,37,16,7,59,169,123,271,412,645,245,57,32,108,2145
LGA17040,7,7,14,33,57,54,23,3,24,33,264,0,4,5,7,10,25,44,70,31,8,34,26,279,0,0,0,3,0,22,15,25,21,8,26,3,132,7,0,4,16,8,16,7,37,21,12,38,29,186,0,3,0,3,0,10,16,28,31,15,104,47,273,3,0,0,3,4,3,21,21,16,10,23,11,108,0,0,3,8,4,6,9,0,8,0,0,15,50,32,31,93,187,128,316,368,344,189,80,334,246,2342
LGA17080,7,13,25,32,39,26,3,0,3,19,171,0,0,5,24,15,31,37,19,8,0,3,14,156,5,0,0,4,8,15,11,14,0,0,4,0,56,0,0,0,3,8,14,14,25,7,0,0,13,75,4,0,5,4,3,10,11,11,0,0,4,4,55,3,0,5,10,11,11,15,13,0,0,0,3,68,0,3,13,7,3,3,0,5,0,0,0,11,41,28,16,147,240,174,291,243,152,18,3,25,124,1457
LGA17100,13,13,10,23,63,319,302,111,70,16,941,0,0,3,15,7,7,41,318,438,143,81,25,1077,0,0,9,10,3,9,13,144,249,84,61,17,597,0,0,5,4,6,9,12,166,394,170,113,22,910,0,3,6,8,4,7,13,76,221,142,193,17,690,0,0,7,8,10,10,18,52,97,49,44,32,334,0,0,5,4,0,3,0,12,21,0,0,32,85,13,42,289,188,122,170,360,1860,2359,946,687,288,7327
LGA17150,17,14,8,39,86,620,771,413,342,47,2355,0,0,3,6,14,28,61,496,849,611,576,43,2698,0,0,0,8,7,19,27,189,411,423,417,26,1529,6,0,0,6,3,37,35,183,513,557,968,15,2326,3,0,6,5,3,21,17,79,233,361,1275,30,2034,6,0,16,16,7,28,15,90,149,151,262,53,795,0,0,27,12,7,7,7,12,15,17,19,64,198,86,106,791,402,238,441,845,3415,4300,3134,4365,548,18669
LGA17200,32,39,47,120,361,1471,2046,1304,1390,132,6973,7,4,26,18,19,88,249,1096,2618,2312,2284,143,8882,0,0,10,13,19,31,81,185,715,1178,1470,68,3769,10,0,17,20,29,56,115,316,1147,1974,3721,108,7511,6,0,20,34,19,47,107,275,927,1885,8471,173,11972,6,13,40,39,25,41,57,96,237,400,1314,179,2451,16,22,129,29,18,22,20,36,73,67,107,229,759,307,659,2990,1372,778,1399,3067,7134,11269,11401,21404,1808,63583
LGA17310,14,44,49,120,329,304,46,13,12,26,964,5,0,7,21,37,79,226,309,60,16,7,26,784,4,0,4,6,10,35,101,171,37,8,9,11,390,0,3,0,3,9,22,68,141,45,11,6,7,325,3,4,13,12,10,20,30,76,45,10,12,19,253,0,0,0,13,16,46,92,102,23,6,3,17,319,0,3,10,36,24,30,32,13,0,0,3,38,193,51,64,237,633,576,1192,2125,1787,331,72,61,319,7449
LGA17350,4,6,3,13,15,9,0,0,0,6,53,0,0,0,6,6,17,15,5,0,0,0,0,48,0,0,0,3,4,3,3,3,0,0,0,0,21,0,0,3,0,0,0,9,5,0,0,0,0,17,0,0,0,0,0,4,6,5,0,0,0,0,22,0,0,4,4,0,5,9,6,0,0,0,7,24,0,0,0,3,0,3,0,0,0,0,0,3,13,10,25,62,91,71,121,111,35,3,0,0,31,556
LGA17400,0,4,4,14,20,5,0,0,0,0,49,0,0,0,0,0,13,10,0,0,0,0,3,30,0,0,3,0,3,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,4,0,0,0,0,12,0,0,0,6,6,0,4,0,0,0,0,5,18,0,0,0,4,5,3,7,3,0,0,0,0,23,0,0,3,0,0,3,0,5,0,0,0,8,25,6,3,44,89,61,144,96,45,0,0,3,55,551
LGA17420,8,6,6,27,29,207,410,392,274,33,1390,9,0,7,10,5,21,34,175,468,583,410,26,1744,0,0,0,6,3,10,22,76,263,401,363,21,1157,3,0,3,7,8,13,23,77,376,669,730,31,1941,0,0,4,0,5,11,14,56,259,635,1402,35,2408,0,0,0,5,0,16,12,31,103,158,208,46,574,0,0,0,0,0,0,0,7,14,21,9,33,97,26,9,88,100,89,184,290,1197,2620,3459,3842,369,12271
