LGA_CODE_2021,C11_Neg_Ni_inc_R1_74,C11_Neg_Ni_inc_R75_99,C11_Neg_Ni_inc_R100_149,C11_Neg_Ni_inc_R150_199,C11_Neg_Ni_inc_R200_224,C11_Neg_Ni_inc_R225_274,C11_Neg_Ni_inc_R275_349,C11_Neg_Ni_inc_R350_449,C11_Neg_Ni_inc_R450_549,C11_Neg_Ni_inc_R550_649,C11_Neg_Ni_inc_R650more,C11_Neg_Ni_inc_R_NS,C11_Neg_Ni_inc_R_Tot,C11_1_149_R1_74,C11_1_149_R75_99,C11_1_149_R100_149,C11_1_149_R150_199,C11_1_149_R200_224,C11_1_149_R225_274,C11_1_149_R275_349,C11_1_149_R350_449,C11_1_149_R450_549,C11_1_149_R550_649,C11_1_149_R650more,C11_1_149_R_NS,C11_1_149_R_Tot,C11_150_299_R1_74,C11_150_299_R75_99,C11_150_299_R100_149,C11_150_299_R150_199,C11_150_299_R200_224,C11_150_299_R225_274,C11_150_299_R275_349,C11_150_299_R350_449,C11_150_299_R450_549,C11_150_299_R550_649,C11_150_299_R650more,C11_150_299_R_NS,C11_150_299_R_Tot,C11_300_399_R1_74,C11_300_399_R75_99,C11_300_399_R100_149,C11_300_399_R150_199,C11_300_399_R200_224,C11_300_399_R225_274,C11_300_399_R275_349,C11_300_399_R350_449,C11_300_399_R450_549,C11_300_399_R550_649,C11_300_399_R650more,C11_300_399_R_NS,C11_300_399_R_Tot,C11_400_499_R1_74,C11_400_499_R75_99,C11_400_499_R100_149,C11_400_499_R150_199,C11_400_499_R200_224,C11_400_499_R225_274,C11_400_499_R275_349,C11_400_499_R350_449,C11_400_499_R450_549,C11_400_499_R550_649,C11_400_499_R650more,C11_400_499_R_NS,C11_400_499_R_Tot,C11_500_649_R1_74,C11_500_649_R75_99,C11_500_649_R100_149,C11_500_649_R150_199,C11_500_649_R200_224,C11_500_649_R225_274,C11_500_649_R275_349,C11_500_649_R350_449,C11_500_649_R450_549,C11_500_649_R550_649,C11_500_649_R650more,C11_500_649_R_NS,C11_500_649_R_Tot,C11_650_799_R1_74,C11_650_799_R75_99,C11_650_799_R100_149,C11_650_799_R150_199,C11_650_799_R200_224,C11_650_799_R225_274,C11_650_799_R275_349,C11_650_799_R350_449,C11_650_799_R450_549,C11_650_799_R550_649,C11_650_799_R650more,C11_650_799_R_NS,C11_650_799_R_Tot,C11_800_999_R1_74,C11_800_999_R75_99,C11_800_999_R100_149,C11_800_999_R150_199,C11_800_999_R200_224,C11_800_999_R225_274,C11_800_999_R275_349,C11_800_999_R350_449,C11_800_999_R450_549,C11_800_999_R550_649,C11_800_999_R650more,C11_800_999_R_NS,C11_800_999_R_Tot,C11_1000_1249_R1_74,C11_1000_1249_R75_99,C11_1000_1249_R100_149,C11_1000_1249_R150_199,C11_1000_1249_R200_224,C11_1000_1249_R225_274,C11_1000_1249_R275_349,C11_1000_1249_R350_449,C11_1000_1249_R450_549,C11_1000_1249_R550_649,C11_1000_1249_R650more,C11_1000_1249_R_NS,C11_1000_1249_R_Tot,C11_1250_1499_R1_74,C11_1250_1499_R75_99,C11_1250_1499_R100_149,C11_1250_1499_R150_199,C11_1250_1499_R200_224,C11_1250_1499_R225_274,C11_1250_1499_R275_349,C11_1250_1499_R350_449,C11_1250_1499_R450_549,C11_1250_1499_R550_649,C11_1250_1499_R650more,C11_1250_1499_R_NS,C11_1250_1499_R_Tot,C11_1500_1999_R1_74,C11_1500_1999_R75_99,C11_1500_1999_R100_149,C11_1500_1999_R150_199,C11_1500_1999_R200_224,C11_1500_1999_R225_274,C11_1500_1999_R275_349,C11_1500_1999_R350_449,C11_1500_1999_R450_549,C11_1500_1999_R550_649,C11_1500_1999_R650more,C11_1500_1999_R_NS,C11_1500_1999_R_Tot,C11_2000_2499_R1_74,C11_2000_2499_R75_99,C11_2000_2499_R100_149,C11_2000_2499_R150_199,C11_2000_2499_R200_224,C11_2000_2499_R225_274,C11_2000_2499_R275_349,C11_2000_2499_R350_449,C11_2000_2499_R450_549,C11_2000_2499_R550_649,C11_2000_2499_R650more,C11_2000_2499_R_NS,C11_2000_2499_R_Tot,C11_2500_2999_R1_74,C11_2500_2999_R75_99,C11_2500_2999_R100_149,C11_2500_2999_R150_199,C11_2500_2999_R200_224,C11_2500_2999_R225_274,C11_2500_2999_R275_349,C11_2500_2999_R350_449,C11_2500_2999_R450_549,C11_2500_2999_R550_649,C11_2500_2999_R650more,C11_2500_2999_R_NS,C11_2500_2999_R_Tot,C11_3000_3999_R1_74,C11_3000_3999_R75_99,C11_3000_3999_R100_149,C11_3000_3999_R150_199,C11_3000_3999_R200_224,C11_3000_3999_R225_274,C11_3000_3999_R275_349,C11_3000_3999_R350_449,C11_3000_3999_R450_549,C11_3000_3999_R550_649,C11_3000_3999_R650more,C11_3000_3999_R_NS,C11_3000_3999_R_Tot,C11_4000more_R1_74,C11_4000more_R75_99,C11_4000more_R100_149,C11_4000more_R150_199,C11_4000more_R200_224,C11_4000more_R225_274,C11_4000more_R275_349,C11_4000more_R350_449,C11_4000more_R450_549,C11_4000more_R550_649,C11_4000more_R650more,C11_4000more_R_NS,C11_4000more_R_Tot,C11_PI_S_R1_74,C11_PI_S_R75_99,C11_PI_S_R100_149,C11_PI_S_R150_199,C11_PI_S_R200_224
LGA16150,0,0,0,11,3,5,11,0,6,0,0,9,44,9,19,15,11,8,3,5,5,0,0,0,8,79,29,60,63,52,13,16,8,5,3,6,7,18,278,32,99,88,84,27,30,20,3,0,0,6,16,390,7,15,73,90,61,82,33,7,0,0,0,14,387,0,10,42,72,11,19,15,6,0,0,0,7,183,7,11,53,93,72,108,60,12,0,0,0,12,424,3,10,19,85,57,111,67,22,3,0,0,10,378,6,6,23,62,54,118,93,23,6,0,0,10,405,3,0,6,50,46,78,86,45,11,5,5,8,337,0,0,7,54,42,101,143,80,16,4,10,19,476,0,0,7,24,15,47,67,53,14,0,3,4,232,0,0,0,9,8,39,62,71,39,8,14,27,290,0,0,0,3,4,13,42,47,12,4,14,8,152,0,0,0,6,0,0,7,28,15,9,23,5,89,6,8,19,37,28
LGA16200,0,0,3,6,0,0,0,0,0,0,3,4,19,8,5,7,4,3,0,0,0,0,0,0,0,28,15,35,40,17,4,0,0,0,0,0,0,9,123,24,49,73,43,9,0,5,0,0,0,0,12,215,5,4,63,57,14,11,0,0,0,0,0,9,164,0,8,27,28,3,0,4,0,0,0,0,3,76,7,13,45,40,9,9,10,0,0,0,0,3,136,11,0,32,42,7,17,7,0,0,0,0,5,110,5,3,22,49,18,19,7,0,0,0,0,0,132,0,3,17,34,15,18,5,5,0,0,0,3,90,0,4,10,25,17,20,12,8,0,0,0,7,105,0,0,5,10,4,9,13,3,0,0,0,0,44,4,0,8,10,6,12,14,12,5,0,0,0,64,0,0,5,5,0,12,10,0,0,0,0,0,33,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,17,13,3
LGA16260,18,29,27,24,7,19,87,146,91,33,34,53,567,59,63,33,13,12,5,30,46,22,4,5,28,333,184,312,152,78,32,34,88,113,42,21,17,71,1138,117,489,178,78,21,57,95,119,32,15,10,78,1288,39,84,155,104,61,80,214,230,94,21,6,53,1135,24,25,206,122,43,50,119,182,66,5,10,22,879,12,48,89,147,79,156,422,534,173,43,20,54,1785,21,17,56,90,71,168,521,660,207,58,30,71,1962,14,8,49,61,57,153,578,896,277,80,37,51,2257,4,10,25,38,48,103,521,884,297,70,26,51,2073,5,6,20,44,46,125,650,1439,507,128,56,52,3082,0,5,10,25,31,69,371,965,406,105,52,31,2073,0,9,12,17,27,46,231,755,473,183,116,33,1906,4,6,3,7,22,22,121,413,306,163,86,22,1173,0,0,7,7,8,5,26,98,123,72,64,5,415,18,19,54,49,34
LGA16350,11,0,12,7,18,20,42,21,5,3,0,28,164,40,30,22,19,9,23,26,7,0,0,3,20,199,72,181,102,81,48,71,97,35,4,0,4,44,749,75,308,136,102,83,117,127,65,9,0,8,47,1076,24,43,92,157,148,221,345,132,14,4,9,38,1219,18,25,124,97,51,111,148,49,8,4,3,29,648,18,29,69,179,155,302,532,232,21,6,9,44,1592,8,16,54,94,141,298,565,263,35,8,9,41,1522,7,13,34,81,119,266,693,382,44,8,6,38,1685,8,0,11,49,79,189,589,331,46,5,11,24,1345,3,0,15,56,80,212,746,582,87,21,14,28,1855,0,0,9,20,44,98,388,429,77,25,11,12,1118,6,0,6,11,25,49,172,185,77,17,14,11,566,0,0,0,4,16,22,95,142,49,20,14,7,369,0,0,0,3,0,6,20,28,14,8,9,3,103,5,20,49,43,70
LGA16380,0,0,5,9,13,10,9,4,0,0,0,15,69,12,14,14,20,13,17,12,3,5,0,3,3,115,20,107,77,92,57,46,38,9,0,0,0,19,465,37,167,130,179,76,80,61,27,0,0,10,27,787,10,27,91,206,109,189,156,45,0,0,0,26,863,9,0,64,69,62,82,92,43,4,0,0,17,445,9,24,45,159,110,217,249,95,16,3,7,25,961,7,5,41,95,88,190,237,118,13,0,3,8,808,4,4,19,68,74,164,236,122,15,0,3,14,708,0,0,17,32,49,89,196,141,18,5,5,10,563,4,4,10,32,34,88,207,151,23,7,5,24,589,0,0,8,8,0,37,78,100,27,3,5,4,282,0,0,0,8,6,18,50,84,45,9,11,9,236,0,0,0,0,0,4,20,38,23,3,4,5,98,0,0,0,0,0,0,0,4,6,6,5,0,23,3,5,13,39,33
LGA16400,3,3,3,8,6,21,11,7,3,0,0,4,69,10,11,7,5,4,11,10,3,0,0,0,0,63,22,67,50,35,35,45,30,16,3,0,6,16,309,38,118,89,92,55,57,46,14,5,0,7,23,533,3,29,81,125,86,130,101,41,3,0,3,10,618,3,17,53,56,45,79,61,23,4,0,0,7,349,9,25,49,109,84,178,170,51,7,0,3,8,689,12,5,30,61,83,148,189,77,12,0,7,11,648,3,5,30,61,95,151,211,94,7,0,0,16,675,3,6,13,54,67,117,161,86,16,4,0,10,538,8,3,11,48,82,137,206,161,18,4,7,21,693,7,0,7,23,60,61,101,79,15,3,4,12,373,0,0,0,9,18,37,44,67,27,4,18,5,232,0,0,0,9,7,16,21,39,20,8,0,0,126,0,0,0,0,0,3,9,5,7,4,4,0,38,7,11,23,31,38
LGA16490,0,0,4,3,7,3,10,3,6,0,0,7,42,7,8,8,8,3,5,8,5,0,0,0,6,48,20,49,35,24,8,5,15,6,0,3,0,18,178,32,83,62,43,20,12,17,11,6,0,0,13,305,7,17,43,93,28,48,39,23,0,5,3,6,319,3,0,27,16,3,16,7,7,4,0,5,7,88,7,8,25,64,54,83,87,48,10,0,0,11,405,0,3,26,63,58,88,102,65,8,0,5,10,434,0,6,19,56,70,82,135,113,18,11,5,10,533,4,0,6,35,45,69,127,121,47,13,4,9,482,0,6,14,41,45,97,169,232,70,19,8,18,724,0,0,4,6,31,52,85,141,72,12,9,10,431,4,0,5,18,10,42,86,88,62,22,15,3,350,0,0,0,7,6,41,53,76,61,41,17,8,311,0,0,0,0,3,14,30,10,12,21,15,5,112,7,3,18,19,19
LGA16550,15,27,21,27,15,27,56,140,196,144,128,68,860,59,56,14,6,13,5,13,46,40,21,20,26,325,151,323,91,56,17,27,55,62,53,42,42,70,990,120,521,155,67,20,31,52,72,50,22,32,62,1204,20,77,127,74,40,55,115,192,104,43,43,41,930,24,19,127,61,16,26,37,83,45,23,23,24,502,20,42,55,114,48,84,168,287,183,67,52,56,1176,9,18,55,65,38,84,176,399,257,81,74,30,1295,6,11,26,32,36,49,183,463,392,163,94,34,1500,8,3,12,12,23,47,159,462,360,158,121,30,1397,4,3,10,12,25,50,203,710,701,301,217,48,2299,0,0,9,10,27,32,80,491,664,288,227,26,1860,3,9,9,6,17,39,67,399,566,335,536,30,2016,0,0,5,8,17,34,41,235,478,382,517,29,1744,0,0,4,4,4,6,23,60,198,187,485,7,974,12,18,27,54,25
LGA16610,0,0,0,9,7,3,3,0,0,0,0,0,23,3,4,4,15,4,5,0,0,0,0,0,0,38,7,20,31,51,24,29,13,4,0,0,0,14,187,15,39,60,84,21,26,15,0,0,0,5,17,279,3,9,53,63,45,61,36,9,4,0,0,5,291,0,3,30,39,30,32,17,9,3,0,3,8,176,10,5,41,71,44,92,52,7,0,0,0,12,330,6,3,24,40,34,71,58,5,0,0,0,12,246,3,0,9,27,21,59,38,14,0,0,0,4,185,4,0,9,11,15,29,48,10,0,0,0,0,127,0,4,3,11,13,50,39,5,4,0,3,9,139,7,0,0,6,5,15,28,5,0,0,0,0,63,0,0,0,3,0,8,11,8,0,0,6,0,36,0,0,0,0,0,0,8,0,0,0,0,0,16,0,0,0,0,3,0,5,0,0,0,0,0,7,0,0,9,17,19
LGA16700,4,7,17,22,17,20,67,156,106,61,54,48,572,22,29,16,9,4,6,22,32,21,9,13,15,185,71,164,73,34,17,22,52,72,32,11,13,40,599,66,213,112,36,24,19,53,65,26,13,9,36,675,9,30,78,50,27,62,114,123,43,15,16,21,600,9,10,96,57,23,36,52,72,24,13,9,12,407,9,24,24,63,27,89,205,230,84,28,20,29,832,3,9,24,22,29,80,272,305,126,35,26,25,962,6,3,15,28,23,91,300,401,158,49,27,17,1128,0,4,12,12,22,59,288,385,140,65,31,23,1038,3,5,11,22,27,70,324,629,264,99,60,34,1548,3,0,5,17,25,19,161,415,252,85,47,20,1039,4,0,4,11,14,25,124,363,248,156,125,12,1086,0,0,5,6,0,8,73,204,193,125,107,5,728,0,0,0,0,4,4,15,50,72,67,76,8,301,7,6,22,30,18
LGA16900,0,3,7,7,7,4,6,6,0,0,0,8,54,13,16,8,6,3,7,10,6,0,0,0,9,84,35,118,45,55,25,34,23,6,0,0,6,16,363,34,184,110,82,50,50,46,21,4,0,6,33,620,12,26,80,106,79,97,123,46,3,0,0,17,590,10,15,110,69,35,50,40,21,7,3,0,9,353,10,19,50,108,67,131,161,67,11,0,0,15,628,3,8,39,71,44,112,159,84,11,0,0,9,540,6,5,20,40,42,100,178,95,9,0,4,5,504,4,0,4,25,30,76,141,94,14,0,4,4,393,5,0,9,18,36,87,200,157,34,0,9,12,568,0,0,0,13,10,37,80,92,20,3,0,5,261,0,0,6,0,7,16,45,64,32,7,0,3,198,0,0,0,0,5,13,24,29,23,5,0,5,98,5,0,0,0,0,0,0,12,10,0,0,0,29,8,4,21,37,30
LGA16950,3,4,14,13,10,14,12,8,0,0,4,9,92,17,25,25,25,15,9,16,0,0,0,5,7,141,48,85,117,116,62,77,29,3,0,0,3,23,571,42,137,190,189,109,127,61,13,0,0,6,30,901,15,27,196,278,170,249,126,15,5,0,8,28,1122,7,16,111,132,82,133,77,12,0,0,0,14,593,15,18,74,216,184,288,192,31,0,0,4,27,1047,18,9,69,146,162,248,200,46,4,3,6,14,922,13,6,34,99,126,209,210,49,12,0,0,8,761,5,6,27,72,72,145,156,73,0,4,5,16,585,5,0,21,46,87,150,151,70,10,5,4,11,564,3,0,7,22,30,57,93,54,0,3,4,4,289,0,0,4,10,20,35,44,31,14,0,9,7,183,0,0,0,6,12,19,31,29,0,3,10,0,108,0,0,0,0,5,0,4,16,3,0,0,0,37,3,14,35,77,77
LGA17000,0,0,3,0,0,0,6,4,0,0,0,3,24,3,7,3,0,0,3,0,0,0,0,0,0,22,10,26,23,10,3,6,5,6,0,0,0,4,100,9,44,35,16,4,7,6,0,0,0,0,3,126,6,8,22,14,16,8,18,9,0,0,0,5,106,5,0,14,3,5,8,7,3,0,0,0,6,53,8,6,12,26,20,33,28,11,0,0,4,8,154,7,6,12,20,21,39,24,14,5,0,0,0,156,7,0,3,26,15,20,40,26,0,0,0,9,151,3,0,6,17,23,35,40,36,3,0,0,3,169,3,6,9,17,18,43,61,62,13,0,7,9,245,0,0,3,7,17,14,34,43,3,0,0,0,134,0,0,10,10,14,27,57,86,33,4,5,12,255,0,0,0,5,7,8,32,57,12,5,4,6,132,0,0,0,0,0,5,10,30,9,4,3,4,72,4,3,8,6,7
LGA17040,0,0,6,3,0,3,0,0,0,0,0,0,16,0,6,13,0,0,0,0,0,0,0,0,0,28,6,19,31,22,3,4,4,5,0,0,3,13,101,20,29,54,19,12,13,4,0,0,0,4,7,163,4,10,41,50,30,17,13,6,4,0,12,10,192,0,0,14,24,16,12,3,0,0,0,0,0,73,4,7,44,52,24,36,11,4,7,0,16,10,207,3,3,25,51,22,33,14,0,0,4,12,0,173,3,3,16,26,27,29,23,8,0,11,8,8,170,0,0,9,17,18,23,23,13,0,0,7,6,125,0,0,14,18,21,39,24,19,3,5,13,6,170,0,0,8,13,9,12,12,16,8,9,22,12,117,0,0,3,11,3,5,10,10,7,5,19,6,84,0,0,3,0,7,3,9,12,0,0,29,0,64,0,0,0,0,0,0,0,5,0,0,31,0,47,5,0,9,23,13
LGA17080,0,5,6,4,3,0,0,0,0,0,5,3,27,4,0,10,4,3,6,0,0,0,0,0,0,24,10,18,28,23,5,4,0,0,0,0,0,7,97,16,23,37,34,9,4,5,0,0,0,0,8,142,13,12,34,59,11,3,0,0,0,0,0,4,137,0,9,28,20,10,4,0,0,0,0,0,4,75,8,10,33,49,26,20,3,0,0,0,0,5,150,9,5,28,40,15,14,8,0,0,0,0,0,119,9,0,19,33,24,21,4,0,0,0,0,0,121,3,0,18,35,14,18,20,0,0,0,0,0,114,16,7,17,27,21,19,18,3,0,0,0,4,126,7,0,6,7,3,23,8,4,0,0,0,0,58,6,0,8,9,3,5,16,3,0,0,5,4,61,3,0,0,6,3,0,7,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,3,9,3,3,12,18,10
LGA17100,0,9,3,0,3,0,17,55,41,18,8,16,163,3,12,5,5,3,4,0,12,5,3,5,5,58,19,52,15,10,3,8,14,18,19,3,4,14,185,15,85,22,14,11,3,7,34,27,5,6,9,241,5,10,15,10,4,18,30,56,28,11,9,3,205,3,0,20,18,7,11,28,56,27,9,3,10,183,7,6,7,24,7,13,72,106,62,11,5,13,333,3,0,8,13,12,7,55,98,65,23,13,9,301,0,0,6,10,6,14,62,133,86,26,10,13,359,0,0,0,6,3,9,33,145,70,20,7,7,305,0,0,0,3,4,6,66,192,151,29,20,12,495,0,0,0,5,6,6,28,162,72,37,15,6,341,3,0,3,4,0,0,13,105,78,26,19,0,255,0,0,0,0,3,0,18,74,47,9,24,0,176,0,0,0,0,0,4,4,16,26,19,20,0,90,3,0,3,6,3
LGA17150,5,4,6,4,5,12,26,39,19,4,6,19,152,21,29,14,9,10,12,14,19,4,5,4,9,146,92,166,78,49,18,40,40,55,18,11,7,47,622,69,290,120,58,41,48,95,77,20,12,5,41,864,19,60,82,74,55,89,184,199,59,24,8,36,891,3,9,68,46,13,18,34,51,22,9,7,6,295,7,18,34,87,59,123,288,315,113,28,21,28,1130,0,0,34,52,44,119,313,399,125,41,27,20,1184,7,9,17,19,53,114,354,548,186,68,41,30,1441,4,4,12,27,33,54,263,557,213,76,35,21,1301,9,0,9,27,40,78,354,813,413,183,108,20,2058,3,0,0,25,30,39,183,588,366,142,91,19,1489,6,0,5,16,25,34,111,383,291,190,192,19,1263,0,0,10,6,16,12,51,220,222,146,147,17,846,0,0,3,5,5,8,7,54,77,77,106,10,352,8,10,22,39,49
LGA17200,39,36,39,39,23,51,182,253,287,232,358,120,1675,118,108,46,42,19,33,49,55,52,43,61,57,672,404,760,212,116,55,79,100,118,91,70,128,158,2282,293,1147,202,126,70,99,103,128,81,62,119,140,2577,60,162,212,155,119,166,246,232,150,95,146,76,1812,42,52,304,113,31,55,74,60,73,49,82,37,964,35,110,121,221,131,258,367,344,276,156,214,84,2334,29,31,76,82,98,256,475,509,396,273,275,46,2552,16,26,42,62,64,217,519,763,561,350,371,76,3063,5,14,23,38,44,147,429,788,635,374,369,64,2944,15,10,34,32,46,126,449,1123,1258,773,758,97,4719,9,0,12,16,20,48,141,559,929,750,643,53,3177,6,4,10,17,12,65,204,801,1272,1112,1687,88,5288,6,7,5,7,14,25,72,317,763,947,1370,62,3587,4,0,9,14,6,11,24,89,265,522,1497,32,2465,33,51,66,63,38
LGA17310,0,5,13,15,3,8,0,0,0,0,3,8,57,18,4,9,17,5,8,3,6,0,0,0,0,85,32,50,79,86,37,25,15,7,0,0,5,15,362,33,105,146,123,57,58,36,6,0,0,5,18,584,13,12,136,203,99,93,74,5,0,0,0,23,669,5,15,82,79,47,65,26,5,0,0,0,9,325,4,21,99,203,117,147,99,19,6,0,7,27,741,5,15,49,140,79,135,93,17,3,0,5,18,553,3,4,30,116,95,154,125,36,3,0,3,12,586,4,0,24,68,59,107,109,34,0,0,3,14,428,8,0,19,53,60,110,157,48,3,0,0,15,471,3,0,8,13,20,53,93,37,3,0,3,5,246,4,3,4,12,11,24,46,46,5,0,0,7,170,0,0,0,4,0,16,29,18,4,0,0,0,77,0,0,0,3,0,3,4,9,4,0,0,0,23,5,6,28,44,53
LGA17350,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,5,10,4,14,8,0,0,0,0,0,0,0,0,37,18,14,19,22,4,0,0,0,0,0,0,3,80,7,10,28,20,3,0,0,0,0,0,0,3,71,6,5,12,10,0,0,0,0,0,0,0,0,33,0,0,13,30,13,0,0,0,0,0,0,0,51,0,3,18,15,0,0,0,0,0,0,0,0,41,4,5,5,12,4,0,0,0,0,0,0,0,33,0,3,6,11,0,0,0,0,0,0,0,0,21,5,0,4,10,8,3,0,0,0,0,0,0,23,4,0,3,9,0,3,0,0,0,0,0,0,17,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,6,0
LGA17400,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,4,9,0,0,0,0,0,0,0,0,13,3,6,23,10,5,0,0,0,0,0,4,6,59,3,11,35,29,5,0,0,0,0,0,0,0,89,0,3,18,22,10,7,0,0,0,0,0,0,62,3,3,15,22,11,0,0,0,0,0,0,0,58,0,0,23,29,11,5,0,0,0,0,0,3,71,0,0,8,20,7,11,0,0,0,0,0,3,61,0,0,3,14,4,8,0,0,0,0,0,0,31,0,0,9,3,5,0,0,0,0,0,0,8,28,3,0,8,8,7,0,0,0,0,0,0,0,32,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,4,8,0,0,0,0,0,0,0,0,11,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,17,0
LGA17420,5,0,0,0,0,5,0,22,26,7,16,15,101,4,0,4,4,0,0,0,4,10,10,5,3,48,0,13,12,5,11,10,15,12,21,3,9,10,116,8,12,22,9,11,8,7,24,22,3,0,12,140,0,0,20,23,15,12,31,61,35,18,10,12,232,6,0,4,9,4,5,16,20,24,12,7,7,104,0,0,11,13,14,8,40,90,63,21,16,15,285,3,4,8,13,8,17,41,126,85,22,20,23,381,3,3,10,13,21,17,40,144,136,51,36,11,487,0,0,7,12,12,9,39,150,153,62,35,8,490,0,0,7,9,16,27,70,259,273,115,71,25,866,4,0,5,9,27,19,30,161,219,103,62,8,639,4,0,7,4,10,9,31,171,297,165,208,13,920,0,0,0,0,8,16,14,88,170,153,118,10,574,0,0,6,0,0,6,3,18,62,63,108,0,269,4,6,0,11,15
LGA17550,5,5,4,5,11,18,30,23,7,0,0,22,130,7,15,17,14,9,22,17,14,6,0,3,14,133,31,94,88,81,46,71,62,41,3,5,8,23,539,25,147,154,138,66,116,152,61,5,6,12,45,934,6,23,112,167,117,215,272,116,21,4,13,31,1096,11,8,82,64,45,74,135,84,12,5,4,18,554,7,23,43,117,101,199,360,242,29,9,12,17,1157,3,10,31,50,69,127,340,236,48,4,8,23,956,3,6,30,30,45,116,325,278,39,6,14,17,907,0,3,12,26,22,66,203,236,51,8,8,7,645,6,0,11,20,11,51,215,313,99,23,11,21,778,0,0,3,8,6,22,94,184,50,14,7,0,389,0,0,3,3,3,9,35,82,51,21,13,8,230,0,0,3,0,0,4,12,50,28,12,11,0,131,0,0,0,0,0,5,6,8,8,0,5,0,34,0,5,21,27,21
LGA17620,0,0,0,3,7,0,0,0,0,0,0,4,16,0,8,0,3,0,0,0,0,0,0,0,5,18,3,5,24,10,0,0,0,0,0,0,3,5,56,10,26,60,14,5,0,6,0,0,0,0,3,125,0,3,32,37,16,16,4,0,0,0,0,6,123,0,4,19,18,4,10,0,0,0,0,0,3,61,8,10,21,43,38,18,20,0,0,0,0,17,168,4,0,12,30,22,18,9,0,0,0,0,8,105,4,4,15,22,22,16,14,9,0,0,3,12,117,9,0,9,17,16,12,21,7,0,0,0,9,95,4,0,9,32,13,30,36,12,0,0,4,12,153,0,0,0,14,9,13,18,9,0,0,0,0,66,0,0,4,7,5,12,17,11,3,0,0,4,59,3,0,0,0,7,6,7,7,0,0,0,0,37,0,0,0,0,0,0,4,5,0,0,0,3,14,0,0,11,20,8
LGA17640,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,6,4,4,0,0,0,0,0,0,11,0,0,6,3,3,0,0,0,0,0,5,0,20,10,7,10,3,0,0,4,0,0,0,0,5,47,0,4,11,8,8,6,4,0,0,0,0,7,42,0,0,0,11,0,0,0,0,0,0,0,0,15,0,0,6,9,4,7,0,0,0,0,0,3,31,0,4,8,8,7,4,3,0,0,0,6,0,36,3,3,0,16,9,3,4,0,0,0,0,0,39,0,0,4,4,0,0,0,0,0,0,0,0,15,5,0,5,11,7,8,0,0,3,0,0,0,34,4,0,0,4,3,7,4,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,4
LGA17650,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,6,4,0,0,5,0,0,0,0,0,23,0,0,15,12,3,0,0,0,0,0,0,4,36,6,0,11,18,8,6,6,0,0,0,0,0,54,0,0,8,8,4,5,0,0,0,0,0,0,31,3,0,16,11,7,4,5,0,0,0,0,0,47,0,0,8,11,3,3,6,4,0,0,0,0,38,0,3,9,10,6,7,0,0,0,0,0,0,45,0,0,4,9,6,3,3,0,0,0,0,0,35,3,0,3,3,3,3,0,0,0,0,0,6,23,0,0,5,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3
LGA17750,4,0,3,19,13,7,13,0,4,3,0,13,88,19,18,16,15,10,9,7,0,0,0,0,6,101,40,88,78,90,25,42,17,11,3,0,4,21,428,48,118,137,121,40,49,32,6,3,3,3,15,569,10,34,111,154,80,104,68,6,0,0,5,19,608,10,8,79,82,35,46,46,13,0,0,0,10,331,13,28,86,221,102,148,121,27,5,0,3,30,777,10,8,46,134,85,181,135,29,5,0,3,9,644,7,4,37,91,81,168,203,65,9,7,3,19,702,8,3,23,65,73,122,143,69,11,5,3,13,536,4,12,22,59,78,150,220,121,17,0,0,9,691,0,0,7,30,45,89,111,75,19,0,9,5,386,0,6,6,10,20,30,50,76,26,6,3,6,239,0,3,5,9,10,10,30,35,16,0,0,7,132,0,0,7,7,4,4,10,10,3,5,0,3,49,3,7,27,69,68
