LGA_CODE_2021,C11_Budh_0_14,C11_Budh_15_24,C11_Budh_25_34,C11_Budh_35_44,C11_Budh_45_54,C11_Budh_55_64,C11_Budh_65_74,C11_Budh_75_84,C11_Budh_85ov,C11_Budh_Tot,C11_C_Ang_0_14,C11_C_Ang_15_24,C11_C_Ang_25_34,C11_C_Ang_35_44,C11_C_Ang_45_54,C11_C_Ang_55_64,C11_C_Ang_65_74,C11_C_Ang_75_84,C11_C_Ang_85ov,C11_C_Ang_Tot,C11_C_As_Apo_0_14,C11_C_As_Apo_15_24,C11_C_As_Apo_25_34,C11_C_As_Apo_35_44,C11_C_As_Apo_45_54,C11_C_As_Apo_55_64,C11_C_As_Apo_65_74,C11_C_As_Apo_75_84,C11_C_As_Apo_85ov,C11_C_As_Apo_Tot,C11_C_Bap_0_14,C11_C_Bap_15_24,C11_C_Bap_25_34,C11_C_Bap_35_44,C11_C_Bap_45_54,C11_C_Bap_55_64,C11_C_Bap_65_74,C11_C_Bap_75_84,C11_C_Bap_85ov,C11_C_Bap_Tot,C11_C_Breth_0_14,C11_C_Breth_15_24,C11_C_Breth_25_34,C11_C_Breth_35_44,C11_C_Breth_45_54,C11_C_Breth_55_64,C11_C_Breth_65_74,C11_C_Breth_75_84,C11_C_Breth_85ov,C11_C_Breth_Tot,C11_C_Cath_0_14,C11_C_Cath_15_24,C11_C_Cath_25_34,C11_C_Cath_35_44,C11_C_Cath_45_54,C11_C_Cath_55_64,C11_C_Cath_65_74,C11_C_Cath_75_84,C11_C_Cath_85ov,C11_C_Cath_Tot,C11_C_Ch_Chr_0_14,C11_C_Ch_Chr_15_24,C11_C_Ch_Chr_25_34,C11_C_Ch_Chr_35_44,C11_C_Ch_Chr_45_54,C11_C_Ch_Chr_55_64,C11_C_Ch_Chr_65_74,C11_C_Ch_Chr_75_84,C11_C_Ch_Chr_85ov,C11_C_Ch_Chr_Tot,C11_C_E_Orth_0_14,C11_C_E_Orth_15_24,C11_C_E_Orth_25_34,C11_C_E_Orth_35_44,C11_C_E_Orth_45_54,C11_C_E_Orth_55_64,C11_C_E_Orth_65_74,C11_C_E_Orth_75_84,C11_C_E_Orth_85ov,C11_C_E_Orth_Tot,C11_C_Jeh_Wit_0_14,C11_C_Jeh_Wit_15_24,C11_C_Jeh_Wit_25_34,C11_C_Jeh_Wit_35_44,C11_C_Jeh_Wit_45_54,C11_C_Jeh_Wit_55_64,C11_C_Jeh_Wit_65_74,C11_C_Jeh_Wit_75_84,C11_C_Jeh_Wit_85ov,C11_C_Jeh_Wit_Tot,C11_C_La_Da_Sai_0_14,C11_C_La_Da_Sai_15_24,C11_C_La_Da_Sai_25_34,C11_C_La_Da_Sai_35_44,C11_C_La_Da_Sai_45_54,C11_C_La_Da_Sai_55_64,C11_C_La_Da_Sai_65_74,C11_C_La_Da_Sai_75_84,C11_C_La_Da_Sai_85ov,C11_C_La_Da_Sai_Tot,C11_C_Luth_0_14,C11_C_Luth_15_24,C11_C_Luth_25_34,C11_C_Luth_35_44,C11_C_Luth_45_54,C11_C_Luth_55_64,C11_C_Luth_65_74,C11_C_Luth_75_84,C11_C_Luth_85ov,C11_C_Luth_Tot,C11_C_Ori_Orth_0_14,C11_C_Ori_Orth_15_24,C11_C_Ori_Orth_25_34,C11_C_Ori_Orth_35_44,C11_C_Ori_Orth_45_54,C11_C_Ori_Orth_55_64,C11_C_Ori_Orth_65_74,C11_C_Ori_Orth_75_84,C11_C_Ori_Orth_85ov,C11_C_Ori_Orth_Tot,C11_C_Oth_Prot_0_14,C11_C_Oth_Prot_15_24,C11_C_Oth_Prot_25_34,C11_C_Oth_Prot_35_44,C11_C_Oth_Prot_45_54,C11_C_Oth_Prot_55_64,C11_C_Oth_Prot_65_74,C11_C_Oth_Prot_75_84,C11_C_Oth_Prot_85ov,C11_C_Oth_Prot_Tot,C11_C_Pentec_0_14,C11_C_Pentec_15_24,C11_C_Pentec_25_34,C11_C_Pentec_35_44,C11_C_Pentec_45_54,C11_C_Pentec_55_64,C11_C_Pentec_65_74,C11_C_Pentec_75_84,C11_C_Pentec_85ov,C11_C_Pentec_Tot,C11_C_Pres_Ref_0_14,C11_C_Pres_Ref_15_24,C11_C_Pres_Ref_25_34,C11_C_Pres_Ref_35_44,C11_C_Pres_Ref_45_54,C11_C_Pres_Ref_55_64,C11_C_Pres_Ref_65_74,C11_C_Pres_Ref_75_84,C11_C_Pres_Ref_85ov,C11_C_Pres_Ref_Tot,C11_C_Sal_Army_0_14,C11_C_Sal_Army_15_24,C11_C_Sal_Army_25_34,C11_C_Sal_Army_35_44,C11_C_Sal_Army_45_54,C11_C_Sal_Army_55_64,C11_C_Sal_Army_65_74,C11_C_Sal_Army_75_84,C11_C_Sal_Army_85ov,C11_C_Sal_Army_Tot,C11_C_Se_da_Adv_0_14,C11_C_Se_da_Adv_15_24,C11_C_Se_da_Adv_25_34,C11_C_Se_da_Adv_35_44,C11_C_Se_da_Adv_45_54,C11_C_Se_da_Adv_55_64,C11_C_Se_da_Adv_65_74,C11_C_Se_da_Adv_75_84,C11_C_Se_da_Adv_85ov,C11_C_Se_da_Adv_Tot,C11_C_Uni_Ch_0_14,C11_C_Uni_Ch_15_24,C11_C_Uni_Ch_25_34,C11_C_Uni_Ch_35_44,C11_C_Uni_Ch_45_54,C11_C_Uni_Ch_55_64,C11_C_Uni_Ch_65_74,C11_C_Uni_Ch_75_84,C11_C_Uni_Ch_85ov,C11_C_Uni_Ch_Tot,C11_Chr_Ch_nfd_0_14,C11_Chr_Ch_nfd_15_24,C11_Chr_Ch_nfd_25_34,C11_Chr_Ch_nfd_35_44,C11_Chr_Ch_nfd_45_54,C11_Chr_Ch_nfd_55_64,C11_Chr_Ch_nfd_65_74,C11_Chr_Ch_nfd_75_84,C11_Chr_Ch_nfd_85ov,C11_Chr_Ch_nfd_Tot,C11_Chr_Oth_Ch_0_14,C11_Chr_Oth_Ch_15_24,C11_Chr_Oth_Ch_25_34,C11_Chr_Oth_Ch_35_44,C11_Chr_Oth_Ch_45_54,C11_Chr_Oth_Ch_55_64,C11_Chr_Oth_Ch_65_74,C11_Chr_Oth_Ch_75_84,C11_Chr_Oth_Ch_85ov,C11_Chr_Oth_Ch_Tot
LGA31900,15,10,19,14,10,11,0,0,0,83,515,307,275,442,455,509,354,213,91,3157,0,0,0,0,0,0,0,0,0,0,10,12,0,11,12,12,12,0,0,69,3,3,0,0,4,0,0,0,0,10,1464,777,669,782,946,782,559,423,155,6565,0,0,0,0,0,0,0,0,0,4,35,15,11,25,17,10,39,9,4,165,10,15,14,16,17,14,5,3,0,97,0,0,0,3,0,5,3,0,0,11,15,13,12,26,23,15,9,12,0,134,0,0,0,0,0,0,0,0,0,0,5,8,5,5,0,3,0,3,0,28,111,54,43,57,54,48,40,15,0,414,97,43,66,150,145,271,162,100,57,1093,11,9,6,8,12,11,9,3,0,67,17,6,9,15,27,24,17,12,0,124,252,164,123,215,260,255,226,114,37,1638,61,32,36,34,37,34,9,6,4,255,0,0,0,0,7,5,0,0,0,10
LGA31950,0,0,0,0,0,0,0,0,0,0,9,10,12,14,19,17,8,0,0,83,0,0,0,0,0,0,0,0,0,0,3,3,8,5,5,3,0,0,0,17,0,0,0,0,0,0,0,0,0,4,10,24,21,14,21,19,6,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,6,4,8,0,0,0,33,3,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
LGA32080,376,243,430,609,409,267,97,25,10,2470,4522,2429,2722,3902,4083,3676,2198,1034,414,24977,0,0,0,0,0,0,0,0,0,0,439,231,235,291,286,208,115,50,20,1878,3,7,3,8,4,4,3,0,0,37,8333,4908,4852,5533,5238,3975,2189,1177,397,36611,41,28,22,36,41,46,19,3,0,241,115,68,70,120,116,96,59,57,14,713,276,123,135,180,140,94,66,23,5,1045,104,45,57,46,46,27,14,7,0,343,374,216,204,267,317,211,186,81,28,1878,0,4,5,3,0,3,0,0,0,13,123,51,52,73,66,49,32,10,4,461,666,373,302,324,302,228,68,24,0,2291,498,321,382,751,1041,1021,637,313,152,5118,56,18,23,36,55,44,29,15,3,271,226,103,111,112,90,69,21,21,7,762,1175,652,672,994,1056,956,538,271,98,6417,829,495,481,451,428,304,141,52,13,3194,46,19,23,38,36,18,9,0,0,191
LGA32250,0,0,0,0,0,4,0,0,0,5,78,33,44,58,84,59,36,14,0,419,0,0,0,0,0,0,0,0,0,0,3,0,3,7,4,4,0,0,0,18,0,0,0,0,0,0,0,0,0,4,55,56,64,53,71,51,35,8,0,398,11,13,6,9,4,0,0,0,0,53,0,0,0,0,0,0,0,0,0,5,0,4,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,9,0,5,0,3,3,5,0,0,30,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,31,11,10,14,14,7,4,3,0,96,11,9,10,6,35,11,17,4,0,97,4,3,0,0,0,5,0,0,0,17,0,0,0,0,0,0,0,0,0,0,27,7,19,10,17,11,6,4,0,106,10,5,11,6,7,5,0,0,0,43,0,0,0,0,0,0,0,0,0,0
LGA32260,37,35,22,40,44,33,11,7,0,229,682,421,326,593,838,857,605,316,109,4745,0,0,0,0,0,0,0,0,0,0,51,27,28,33,38,39,30,13,5,278,0,0,0,0,4,3,0,0,0,11,1803,1003,848,1115,1426,1195,865,607,203,9066,5,4,0,0,0,0,0,0,0,13,39,25,19,37,53,33,32,48,3,289,60,33,39,32,41,26,27,14,5,265,7,6,3,0,9,0,0,0,0,29,19,18,18,26,46,38,32,22,3,233,0,0,0,0,0,0,0,0,0,0,12,9,5,13,3,4,6,0,0,46,185,99,78,86,105,89,41,7,6,689,53,38,40,92,192,192,153,80,25,870,3,0,3,6,15,15,10,3,0,59,27,17,7,19,17,12,17,3,4,128,240,156,119,203,311,302,234,98,32,1692,142,88,49,75,81,54,33,13,0,539,3,3,3,4,4,0,8,0,0,29
LGA32270,29,14,39,38,20,14,3,0,0,155,1122,549,846,920,942,745,347,147,39,5655,0,0,0,0,0,0,0,0,0,0,69,62,68,36,65,31,3,3,3,351,23,10,0,11,0,9,0,0,0,46,1947,1066,1254,1146,1022,582,259,98,23,7396,0,0,0,4,0,4,4,0,0,21,14,9,20,10,13,6,5,4,0,76,17,13,9,19,20,19,11,4,0,116,39,18,11,9,6,12,0,0,0,100,102,57,81,71,82,39,22,12,0,476,0,0,0,0,0,0,0,0,0,0,7,4,11,7,5,8,6,0,0,42,106,72,66,63,57,24,11,0,0,382,91,43,88,187,197,183,80,32,8,915,34,20,15,29,16,22,7,0,0,147,19,5,21,19,8,8,5,0,0,85,485,260,362,393,417,283,127,42,9,2382,331,172,156,156,108,75,27,9,0,1037,11,3,8,11,5,4,4,0,0,54
LGA32310,12,9,12,9,5,4,6,0,0,57,432,262,222,321,318,389,300,182,59,2492,0,0,0,0,0,0,0,0,0,0,43,13,20,23,27,23,20,10,0,186,0,0,0,0,0,0,0,0,0,0,730,417,371,417,389,336,212,114,44,3028,7,0,0,3,4,3,3,3,0,25,7,3,0,0,7,0,0,0,0,14,24,15,11,15,9,9,14,4,4,115,0,0,0,3,0,4,0,0,0,11,27,15,16,14,9,17,9,3,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,3,0,10,10,8,9,4,15,17,14,3,0,74,24,22,28,52,86,106,70,44,13,429,14,15,11,8,17,14,10,4,3,85,14,3,4,5,6,5,3,0,3,49,261,131,109,188,211,214,189,110,37,1463,80,33,22,40,37,24,23,7,0,256,3,3,0,0,0,0,0,0,0,15
LGA32330,0,0,0,0,0,0,0,0,0,0,73,40,22,28,25,11,3,0,0,203,0,0,0,0,0,0,0,0,0,0,171,82,54,50,49,38,11,10,0,463,0,0,0,0,0,0,0,0,0,0,57,29,27,19,13,12,6,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,61,36,20,12,18,9,0,4,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,7,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
LGA32450,0,0,0,5,3,0,0,0,0,12,93,83,93,87,110,95,43,14,3,627,0,0,0,0,0,0,0,0,0,0,8,11,0,9,9,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,232,158,163,146,137,90,46,13,4,993,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,8,0,9,5,4,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,9,3,9,4,3,5,0,0,0,33,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,10,6,7,0,13,4,4,0,0,0,27,4,9,6,13,15,20,3,0,3,71,3,0,0,3,0,0,0,0,0,8,3,0,3,0,0,0,0,0,0,12,59,23,37,44,44,34,21,10,0,266,17,3,10,3,9,3,0,0,0,39,0,0,0,0,0,0,0,0,0,0
LGA32500,5,0,9,8,10,8,3,0,0,42,84,55,60,98,125,142,87,29,8,677,0,0,0,0,0,0,0,0,0,0,5,5,8,7,14,12,0,0,0,37,0,0,0,0,0,0,0,0,0,0,121,62,92,91,111,90,55,16,5,644,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,10,10,4,10,11,0,6,6,0,0,45,0,0,0,0,0,0,0,0,0,4,97,37,26,34,33,23,14,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,25,8,4,18,7,11,6,4,0,86,3,6,5,10,25,35,12,3,0,106,5,0,0,0,0,0,0,0,0,7,6,0,0,3,0,0,0,0,0,16,23,9,18,22,26,22,26,5,0,150,22,9,5,4,12,10,12,0,0,71,0,0,0,0,0,0,0,0,0,5
LGA32600,0,0,0,0,0,0,0,0,0,0,18,3,13,13,9,12,9,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,7,14,8,5,3,3,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,8,5,6,0,0,0,0,34,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
LGA32750,0,0,0,0,0,0,0,0,0,0,8,3,13,12,6,6,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,8,11,5,11,14,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,4,5,0,0,20,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,6,0,3,9,0,3,0,0,31,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
LGA32770,0,0,0,0,0,0,0,0,0,0,11,4,5,3,4,5,0,0,0,27,0,0,0,0,0,0,0,0,0,0,69,26,25,23,11,11,0,3,0,163,235,81,89,64,60,25,11,7,0,570,6,0,17,8,0,6,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,5,6,0,6,0,0,0,30,21,3,10,4,4,4,0,0,0,51,0,0,0,0,0,0,0,0,0,0
LGA32810,11,14,32,33,22,31,8,0,0,162,257,160,141,295,336,312,257,92,32,1882,0,0,0,0,0,0,0,0,0,0,22,9,6,19,14,13,7,0,0,98,0,0,0,0,0,0,0,0,0,0,423,275,269,348,393,294,187,84,21,2297,0,0,0,0,0,5,0,0,0,6,0,5,4,9,10,4,0,0,0,32,30,13,23,11,15,10,14,0,0,125,0,4,0,0,3,3,0,0,0,10,46,16,20,25,20,20,17,6,0,170,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,3,0,16,44,21,23,16,25,15,6,3,0,160,16,8,14,25,50,93,49,23,6,275,3,0,0,4,3,4,0,0,0,22,7,5,6,5,3,5,0,0,0,38,74,24,47,70,81,92,60,37,10,509,45,9,22,30,33,18,15,0,0,168,4,0,0,5,7,0,0,0,0,17
LGA33100,0,0,0,0,0,4,0,0,0,5,37,12,25,32,30,41,37,11,3,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,47,25,30,34,36,25,19,9,0,230,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,15,13,4,0,44,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,15,7,4,9,13,7,7,0,0,66,3,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
LGA33200,0,0,0,0,0,0,0,0,0,6,91,36,38,73,65,71,64,31,15,483,0,0,0,0,0,0,0,0,0,0,20,9,3,11,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,112,48,60,68,68,58,49,17,4,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,4,5,6,0,0,25,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,4,4,0,0,16,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,6,3,0,3,4,4,3,0,0,0,9,7,7,8,17,30,36,17,11,0,119,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,28,19,15,18,32,24,15,7,0,156,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0
LGA33220,109,67,70,134,119,102,41,10,0,645,3012,1653,1398,2529,3229,3965,3723,1882,632,22037,0,0,0,0,0,0,0,0,0,4,397,209,199,246,300,359,268,121,52,2156,75,57,34,19,36,33,37,25,10,336,3669,1933,1532,2215,2510,2716,2141,1040,259,18002,22,9,12,31,26,60,53,9,17,242,40,24,15,22,45,34,29,13,3,224,124,59,69,76,103,109,79,40,19,679,36,30,14,28,33,19,23,15,5,197,388,152,156,237,306,381,343,237,60,2252,5,0,10,3,4,0,0,0,0,20,92,54,35,56,66,60,41,25,7,426,258,145,92,144,173,151,112,50,10,1132,244,134,160,379,642,953,854,518,187,4065,70,49,32,43,56,98,72,52,14,490,39,26,23,28,37,50,42,22,3,264,911,583,459,812,1110,1446,1367,720,257,7664,690,360,298,345,356,327,260,100,17,2754,18,15,10,21,22,26,24,17,4,163
LGA33360,73,38,71,92,62,30,13,0,0,386,2032,1155,1297,1927,2080,1692,1009,461,133,11791,0,0,0,0,0,0,0,0,0,0,307,173,149,200,173,124,60,21,3,1204,0,0,0,0,0,3,0,0,0,14,2806,1619,1579,1928,1917,1335,720,293,78,12276,40,18,17,22,36,15,12,4,0,160,41,23,32,33,43,36,16,19,0,242,56,28,49,48,37,39,15,7,0,273,23,8,7,18,7,13,3,0,0,83,189,108,122,159,166,144,76,56,7,1026,0,0,0,0,0,0,0,0,0,0,8,18,16,9,18,13,3,0,0,83,151,63,49,79,87,60,19,5,3,520,273,180,193,375,577,602,332,189,57,2773,45,26,36,38,58,38,19,9,4,265,16,10,12,10,19,16,8,3,0,104,652,413,396,585,696,560,282,130,40,3755,345,195,207,171,189,113,51,8,5,1272,30,13,14,21,15,17,9,10,0,123
LGA33430,966,1040,1600,1522,1329,973,348,129,33,7948,14976,9999,9789,15010,15480,15694,12251,6992,2989,103174,3,5,0,6,0,0,0,0,0,18,1353,930,920,966,1050,941,574,261,120,7117,13,3,9,9,23,14,18,14,4,100,21963,15664,15149,16847,15883,13375,9586,5251,1722,115442,107,74,53,94,142,144,120,84,48,866,959,688,669,915,851,623,582,322,97,5711,445,347,440,437,394,357,263,120,49,2843,818,426,388,327,263,175,90,32,17,2537,1107,806,734,784,859,834,709,450,163,6450,58,63,41,40,46,48,27,14,5,343,199,128,145,175,142,132,87,44,24,1075,1469,1031,956,966,967,764,348,149,38,6680,1542,1153,1350,2166,3030,3519,2658,1583,693,17694,145,88,104,130,159,169,129,99,32,1047,264,153,166,149,148,117,107,80,39,1204,3570,2582,2373,3135,3519,3887,2841,1715,762,24385,3667,2503,2158,2098,2166,1469,832,342,141,15370,195,121,137,143,162,136,75,45,15,1038
LGA33610,5,0,6,0,0,0,0,0,0,27,766,316,346,494,506,468,411,225,66,3594,0,0,0,0,0,0,0,0,0,0,30,17,14,21,15,15,0,0,0,109,0,0,0,0,0,3,0,5,0,4,816,329,351,454,408,303,227,117,38,3042,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,6,8,3,0,6,5,10,4,3,0,42,0,0,0,4,0,0,4,0,0,10,32,12,25,29,24,10,12,3,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,39,6,15,13,11,7,4,0,0,103,49,34,37,80,94,129,62,40,17,537,0,3,6,8,8,0,3,0,0,28,4,10,0,5,7,7,3,0,0,29,74,43,56,76,105,65,52,25,12,503,27,7,22,18,14,25,11,0,0,116,8,0,8,0,0,0,0,0,0,22
LGA33620,63,31,48,67,69,70,26,5,0,377,1263,597,599,1029,1354,1580,1400,593,197,8606,0,0,0,0,0,0,0,0,0,0,165,79,66,92,100,124,117,43,12,793,36,29,18,8,9,4,9,5,0,113,1651,806,705,1046,1215,1163,918,392,95,7996,11,7,0,8,26,30,19,24,8,126,0,7,4,8,19,17,15,4,3,74,128,47,61,70,75,91,61,24,11,564,48,9,18,21,17,16,19,3,3,158,178,71,79,113,154,130,110,65,10,903,0,0,0,0,0,0,0,0,0,4,43,32,20,25,56,42,46,20,6,289,108,51,48,65,74,55,54,21,9,491,149,79,63,151,255,362,304,168,45,1575,31,28,18,25,39,40,39,32,5,254,26,18,16,20,22,39,30,11,3,182,733,409,355,585,799,879,726,348,111,4939,427,196,190,192,240,199,138,57,8,1644,12,9,9,11,3,13,5,12,0,74
LGA33800,9,0,8,9,15,4,0,0,0,52,285,174,165,209,287,370,283,174,65,2013,0,0,0,0,0,0,0,0,0,0,47,18,14,22,23,18,14,8,3,166,0,0,0,0,0,0,0,0,0,0,1001,573,391,609,820,730,640,479,180,5419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,3,0,26,15,9,12,9,13,15,10,4,0,84,0,0,0,0,5,3,0,0,0,8,33,10,9,19,22,22,23,12,6,141,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,16,20,30,14,14,29,24,11,7,0,149,14,3,8,16,20,58,45,14,10,189,4,0,0,0,4,3,5,3,3,30,0,3,0,0,0,0,0,3,0,16,96,76,54,104,190,179,129,118,22,969,45,27,18,23,47,19,15,9,0,198,0,0,0,0,0,0,0,0,0,0
LGA33830,0,0,0,0,0,0,0,0,0,0,6,9,5,0,4,5,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,7,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,259,170,142,117,81,55,18,6,7,856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA33960,427,338,459,400,393,222,91,22,11,2359,5639,3523,3679,4542,4501,3667,2371,1265,444,29638,0,0,0,0,0,0,0,0,0,0,883,574,592,545,615,452,339,179,64,4239,63,29,27,24,27,24,5,6,4,208,8507,5577,5302,5337,4717,3608,2101,1041,330,36512,136,67,55,101,96,96,68,39,14,663,148,80,113,103,99,77,47,24,9,701,201,126,133,141,140,93,62,43,15,945,914,465,380,272,237,172,51,33,4,2538,752,558,525,607,593,523,379,258,88,4286,25,6,18,4,7,0,0,0,0,65,141,118,74,103,96,86,50,28,13,701,1009,584,519,467,499,348,156,57,17,3649,726,545,552,727,957,942,607,333,113,5506,163,105,140,126,143,133,102,60,42,1017,248,120,122,117,96,74,53,17,3,851,1848,1289,1328,1481,1670,1542,1105,656,262,11173,1470,889,873,717,589,436,172,76,20,5237,191,144,95,118,141,98,72,63,16,925
LGA33980,19,21,27,24,22,13,0,0,0,123,918,423,676,799,707,496,181,106,25,4331,0,0,0,0,0,0,0,0,0,0,46,22,39,43,23,20,5,0,0,199,0,0,0,0,0,0,0,0,0,0,1784,774,1180,1084,757,438,144,46,9,6216,4,0,9,3,0,0,0,0,0,18,4,7,4,9,3,6,0,0,0,33,17,10,8,14,5,4,0,0,0,68,0,0,3,5,0,3,0,0,0,20,74,44,54,60,50,24,16,0,0,326,0,0,0,0,0,0,0,0,0,0,6,4,0,5,5,0,3,0,0,26,89,36,37,52,27,18,6,3,0,260,73,42,71,136,153,117,42,12,5,653,14,7,15,8,15,6,0,5,0,66,20,0,9,13,3,9,0,0,0,62,412,188,321,344,371,238,79,40,13,2010,161,89,84,88,72,33,13,3,0,539,6,4,3,5,9,4,0,0,0,26
LGA34420,0,0,0,0,0,0,0,0,0,4,269,163,116,161,101,77,23,0,8,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,3,4,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
