LGA_CODE_2021,C16_2500_2999_R650more,C16_2500_2999_R_NS,C16_2500_2999_R_Tot,C16_3000_3999_R1_74,C16_3000_3999_R75_99,C16_3000_3999_R100_149,C16_3000_3999_R150_199,C16_3000_3999_R200_224,C16_3000_3999_R225_274,C16_3000_3999_R275_349,C16_3000_3999_R350_449,C16_3000_3999_R450_549,C16_3000_3999_R550_649,C16_3000_3999_R650more,C16_3000_3999_R_NS,C16_3000_3999_R_Tot,C16_4000more_R1_74,C16_4000more_R75_99,C16_4000more_R100_149,C16_4000more_R150_199,C16_4000more_R200_224,C16_4000more_R225_274,C16_4000more_R275_349,C16_4000more_R350_449,C16_4000more_R450_549,C16_4000more_R550_649,C16_4000more_R650more,C16_4000more_R_NS,C16_4000more_R_Tot,C16_PI_S_R1_74,C16_PI_S_R75_99,C16_PI_S_R100_149,C16_PI_S_R150_199,C16_PI_S_R200_224,C16_PI_S_R225_274,C16_PI_S_R275_349,C16_PI_S_R350_449,C16_PI_S_R450_549,C16_PI_S_R550_649,C16_PI_S_R650more,C16_PI_S_R_NS,C16_PI_S_R_Tot,C16_AI_NS_R1_74,C16_AI_NS_R75_99,C16_AI_NS_R100_149,C16_AI_NS_R150_199,C16_AI_NS_R200_224,C16_AI_NS_R225_274,C16_AI_NS_R275_349,C16_AI_NS_R350_449,C16_AI_NS_R450_549,C16_AI_NS_R550_649,C16_AI_NS_R650more,C16_AI_NS_R_NS,C16_AI_NS_R_Tot,C16_Tot_R1_74,C16_Tot_R75_99,C16_Tot_R100_149,C16_Tot_R150_199,C16_Tot_R200_224,C16_Tot_R225_274,C16_Tot_R275_349,C16_Tot_R350_449,C16_Tot_R450_549,C16_Tot_R550_649,C16_Tot_R650more,C16_Tot_R_NS,C16_Tot_R_Tot,C21_Neg_Ni_inc_R1_74,C21_Neg_Ni_inc_R75_99,C21_Neg_Ni_inc_R100_149,C21_Neg_Ni_inc_R150_199,C21_Neg_Ni_inc_R200_224,C21_Neg_Ni_inc_R225_274,C21_Neg_Ni_inc_R275_349,C21_Neg_Ni_inc_R350_449,C21_Neg_Ni_inc_R450_549,C21_Neg_Ni_inc_R550_649,C21_Neg_Ni_inc_R650more,C21_Neg_Ni_inc_R_NS,C21_Neg_Ni_inc_R_Tot,C21_1_149_R1_74,C21_1_149_R75_99,C21_1_149_R100_149,C21_1_149_R150_149,C21_1_149_R200_224,C21_1_149_R225_274,C21_1_149_R275_349,C21_1_149_R350_449,C21_1_149_R450_549,C21_1_149_R550_649,C21_1_149_R650more,C21_1_149_R_NS,C21_1_149_R_Tot,C21_150_299_R1_74,C21_150_299_R75_99,C21_150_299_R100_149,C21_150_299_R150_199,C21_150_299_R150_224,C21_150_299_R225_274,C21_150_299_R275_349,C21_150_299_R350_449,C21_150_299_R450_549,C21_150_299_R550_649,C21_150_299_R650more,C21_150_299_R_NS,C21_150_299_R_Tot,C21_300_399_R1_74,C21_300_399_R75_99,C21_300_399_R100_149,C21_300_399_R150_199,C21_300_399_R200_224,C21_300_399_R225_274,C21_300_399_R275_349,C21_300_399_R350_449,C21_300_399_R450_549,C21_300_399_R550_649,C21_300_399_R650more,C21_300_399_R_NS,C21_300_399_R_Tot,C21_400_499_R1_74,C21_400_499_R75_99,C21_400_499_R100_149,C21_400_499_R150_199,C21_400_499_R200_224,C21_400_499_R225_274,C21_400_499_R275_349,C21_400_499_R350_449,C21_400_499_R450_549,C21_400_499_R550_649,C21_400_499_R650more,C21_400_499_R_NS,C21_400_499_R_Tot,C21_500_649_R1_74,C21_500_649_R75_99,C21_500_649_R100_149,C21_500_649_R150_199,C21_500_649_R200_224,C21_500_649_R225_274,C21_500_649_R275_349,C21_500_649_R350_449,C21_500_649_R450_549,C21_500_649_R550_649,C21_500_649_R650more,C21_500_649_R_NS,C21_500_649_R_Tot,C21_650_799_R1_74,C21_650_799_R75_99,C21_650_799_R100_149,C21_650_799_R150_199,C21_650_799_R200_224,C21_650_799_R225_274,C21_650_799_R275_349,C21_650_799_R350_449,C21_650_799_R450_549,C21_650_799_R550_649,C21_650_799_R650more,C21_650_799_R_NS,C21_650_799_R_Tot,C21_800_999_R1_74,C21_800_999_R75_99,C21_800_999_R100_149,C21_800_999_R150_199,C21_800_999_R200_224,C21_800_999_R225_274,C21_800_999_R275_349,C21_800_999_R350_449,C21_800_999_R450_549,C21_800_999_R550_649,C21_800_999_R650more,C21_800_999_R_NS,C21_800_999_R_Tot,C21_1000_1249_R1_74,C21_1000_1249_R75_99,C21_1000_1249_R100_149,C21_1000_1249_R150_199,C21_1000_1249_R200_224,C21_1000_1249_R225_274,C21_1000_1249_R275_349,C21_1000_1249_R350_449,C21_1000_1249_R450_549,C21_1000_1249_R550_649,C21_1000_1249_R650more,C21_1000_1249_R_NS,C21_1000_1249_R_Tot,C21_1250_1499_R1_74,C21_1250_1499_R75_99,C21_1250_1499_R100_149,C21_1250_1499_R150_199,C21_1250_1499_R200_224,C21_1250_1499_R225_274,C21_1250_1499_R275_349,C21_1250_1499_R350_449,C21_1250_1499_R450_549,C21_1250_1499_R550_649,C21_1250_1499_R650more,C21_1250_1499_R_NS,C21_1250_1499_R_Tot,C21_1500_1999_R1_74,C21_1500_1999_R75_99
LGA15850,0,0,13,0,0,4,0,0,7,0,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,5,4,5,4,0,0,0,4,32,0,0,11,5,0,4,0,0,0,0,0,8,29,20,28,99,111,77,121,76,21,0,0,5,21,578,0,0,0,0,4,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,7,4,0,0,0,0,0,15,0,0,13,4,7,6,0,0,0,0,0,0,31,0,4,16,13,12,12,6,0,0,0,0,0,50,0,0,10,10,7,6,3,0,0,0,0,0,45,0,0,3,5,4,9,9,0,0,0,0,0,26,0,0,3,5,7,8,11,0,0,0,0,0,40,0,0,3,9,3,8,11,0,0,0,0,3,45,0,0,3,7,5,16,16,0,0,0,0,5,58,0,0
LGA15900,35,8,944,0,4,14,16,11,27,77,260,271,112,94,15,890,0,0,7,5,5,3,18,85,138,100,106,9,475,5,4,47,47,40,66,218,483,305,103,100,56,1470,16,17,110,39,26,29,51,46,12,4,12,101,462,326,254,1939,1321,947,1630,3961,6344,2543,708,548,619,21138,9,14,52,35,16,33,46,65,41,15,14,45,388,7,14,24,13,11,7,7,21,11,5,4,8,135,30,75,119,53,23,27,27,46,18,5,5,26,465,25,63,373,133,66,53,89,80,35,17,5,51,979,35,36,598,157,98,136,155,135,47,17,9,61,1470,13,21,123,177,108,199,280,288,92,19,15,46,1388,6,9,72,106,77,148,230,366,132,41,17,21,1229,10,3,93,96,82,174,340,560,187,52,20,45,1678,3,0,46,67,61,150,373,732,311,82,49,38,1909,3,6,35,50,60,102,326,778,454,115,48,43,2019,3,0
LGA15950,337,13,1120,0,0,0,3,4,17,26,147,496,753,1378,28,2852,7,0,3,4,4,9,14,44,183,446,1738,26,2474,0,5,8,11,3,10,20,44,162,190,544,40,1034,0,4,14,3,3,4,7,16,19,30,52,60,213,55,35,309,131,96,159,385,1953,3173,3142,5494,367,15288,0,0,13,4,4,3,13,26,37,32,70,22,239,0,0,0,4,4,0,0,4,4,5,19,4,48,7,0,11,17,8,7,0,5,9,8,10,8,105,7,8,40,48,12,12,10,30,25,19,23,21,246,0,4,38,57,18,9,18,38,35,16,19,11,262,3,0,9,47,22,14,36,80,69,39,33,8,367,0,0,9,15,6,25,38,77,66,31,53,11,334,0,0,5,10,5,7,48,151,101,66,68,15,486,0,4,3,11,9,10,73,275,171,73,114,14,761,3,0,3,3,3,16,58,309,265,135,129,19,940,0,0
LGA15990,794,24,1807,3,0,3,3,13,19,26,81,394,554,1744,29,2872,4,0,3,6,0,20,19,51,129,252,2125,42,2642,4,0,17,14,12,24,35,108,278,299,861,81,1730,4,10,36,16,9,4,14,29,41,33,70,111,372,115,153,702,351,239,381,672,2341,4633,3725,8471,647,22431,0,5,10,13,12,9,23,39,58,41,85,38,324,4,0,4,9,0,0,0,13,13,11,23,12,96,6,0,27,30,4,13,6,12,20,15,26,13,180,10,13,57,120,40,13,25,35,35,24,39,39,454,15,47,103,129,39,32,26,47,64,23,40,20,599,4,5,51,97,63,49,66,117,117,69,79,27,746,5,0,26,30,31,41,48,120,148,107,144,37,735,5,8,19,14,20,32,71,167,216,131,158,34,871,7,0,11,9,21,42,76,237,353,225,287,42,1304,4,0,5,15,14,27,53,213,412,298,357,33,1437,3,3
LGA16100,0,4,6,0,0,0,0,0,3,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,5,5,3,0,0,0,0,0,23,0,0,3,3,0,4,0,0,0,0,0,0,17,13,15,49,49,57,98,74,21,3,0,0,21,398,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,4,10,0,0,5,0,3,0,0,0,0,0,0,0,13,0,5,18,3,3,0,4,4,0,0,0,3,39,0,0,0,7,9,4,9,0,0,0,0,0,34,0,0,5,0,7,7,10,8,0,0,0,0,25,0,0,7,0,0,3,8,9,0,0,0,4,26,0,0,5,9,10,10,16,8,0,0,0,6,46,0,0,3,6,4,6,9,8,0,0,0,0,35,0,0
LGA16150,0,3,163,0,0,0,8,9,16,42,100,15,5,7,3,202,0,0,3,0,0,6,8,37,18,6,4,0,89,4,0,17,23,18,44,67,95,16,5,3,10,307,0,5,25,27,12,15,11,8,0,0,0,23,125,60,59,376,530,460,862,1232,951,127,27,18,159,4867,3,0,3,9,5,9,10,12,5,0,0,25,94,0,4,6,0,0,4,0,4,0,0,0,3,23,4,4,23,16,6,16,11,4,5,5,0,11,100,8,17,35,31,17,24,28,13,3,0,0,11,189,0,4,111,49,34,45,44,13,8,0,8,17,330,0,3,27,80,42,73,82,54,13,4,3,12,390,0,5,17,36,25,69,90,68,11,3,0,13,334,0,0,14,25,30,72,98,92,22,4,0,15,380,5,0,8,24,29,65,150,129,20,3,9,14,445,0,0,9,8,19,60,141,138,40,5,3,7,436,0,0
LGA16200,0,3,35,0,0,0,6,3,4,22,8,0,0,0,0,42,0,0,0,5,3,3,12,0,0,0,0,0,26,3,0,6,11,11,23,21,8,0,0,0,0,88,4,0,21,3,0,4,4,5,0,0,0,13,55,40,42,262,298,198,263,247,56,3,3,4,71,1487,0,0,0,0,0,3,0,0,0,0,0,3,14,0,0,3,4,0,0,0,0,0,0,0,0,12,0,4,13,12,6,0,4,0,0,0,0,0,39,0,0,20,12,8,3,7,0,0,0,0,5,59,4,8,46,32,16,19,3,0,0,0,0,7,141,0,0,17,45,21,25,15,3,0,0,0,7,134,0,6,13,29,15,19,23,5,0,0,0,6,116,3,0,11,28,17,30,26,12,4,0,0,12,140,3,0,4,18,21,22,36,14,0,0,0,3,124,0,4,8,20,22,22,41,11,0,0,4,0,134,0,0
LGA16260,193,27,2307,4,5,20,6,21,49,65,566,1003,591,354,47,2726,0,0,9,7,11,10,29,164,423,392,378,24,1450,7,3,46,32,30,118,106,434,522,329,182,103,1914,17,10,71,27,11,11,25,66,66,23,38,122,484,278,245,1549,961,563,948,1802,8726,8956,4109,2135,905,31176,11,24,87,48,33,46,80,204,218,105,65,96,1024,4,15,14,13,4,3,16,44,39,19,12,13,191,26,80,88,49,14,22,32,60,49,15,19,36,484,37,74,356,88,55,48,84,158,115,34,19,47,1119,28,27,549,137,90,65,108,192,156,42,25,61,1474,8,21,120,110,78,69,161,307,241,89,36,37,1272,6,15,78,128,68,116,191,452,342,127,54,58,1634,5,6,68,64,62,99,288,700,513,159,83,52,2107,7,4,34,50,46,121,378,1069,794,265,112,79,2958,7,0,23,38,38,108,370,1196,955,360,178,73,3333,5,3
LGA16350,17,13,1035,0,0,6,5,12,22,50,360,256,114,45,18,896,3,0,0,4,8,4,24,96,102,83,46,7,385,5,4,28,41,18,62,154,473,241,80,29,60,1173,8,0,51,34,21,21,57,56,14,0,0,122,389,148,129,931,767,527,1208,3199,7668,2782,762,276,582,18976,10,9,27,20,8,27,56,107,40,10,16,80,408,8,6,9,13,6,8,18,21,0,8,0,12,102,21,58,70,28,20,21,25,44,16,0,8,25,334,17,46,188,99,53,59,91,123,24,4,5,35,746,16,24,357,146,68,107,156,191,46,18,8,40,1167,5,6,62,119,70,172,331,359,107,24,15,42,1303,3,11,45,114,55,139,326,555,126,29,8,37,1451,9,5,36,67,62,185,425,685,206,41,30,47,1799,5,4,22,46,46,162,464,1027,322,70,30,48,2245,3,6,16,35,28,99,393,1126,436,92,30,46,2300,4,3
LGA16380,11,0,251,4,0,8,3,7,5,26,66,56,33,14,4,220,0,0,0,5,0,0,6,20,38,27,13,8,118,0,4,18,23,20,41,86,188,68,25,8,24,507,3,9,30,22,20,35,42,33,7,3,4,35,252,80,74,561,563,481,1001,1821,2307,719,195,87,238,8111,0,0,3,19,10,15,21,33,15,0,0,17,133,0,0,6,6,3,3,3,9,0,6,5,6,45,3,0,10,38,15,15,23,23,6,0,6,9,145,0,5,30,88,20,45,51,52,4,0,3,13,328,7,8,45,144,50,89,113,91,18,5,3,26,593,3,8,22,105,53,148,234,194,58,3,3,12,840,4,0,19,38,30,106,194,238,59,19,8,24,746,0,0,19,31,22,75,216,300,105,16,7,29,819,0,0,17,29,33,85,194,376,124,15,9,26,898,0,0,11,14,11,48,143,390,166,40,17,20,873,9,4
LGA16400,6,3,263,0,0,3,4,0,30,41,52,54,21,13,3,214,0,0,0,0,0,6,10,27,27,12,10,0,96,0,3,17,20,22,103,75,157,57,29,7,12,502,5,3,27,20,12,20,19,28,5,0,6,26,163,47,51,418,393,367,1032,1627,1765,543,128,86,187,6645,0,0,3,9,0,10,24,22,16,3,0,17,116,0,0,4,0,0,0,4,5,0,0,0,3,27,0,3,16,7,5,14,18,15,3,0,0,9,95,5,4,21,52,22,24,45,28,7,0,4,12,221,4,0,34,94,37,61,75,49,15,4,8,14,397,0,0,33,58,50,76,180,115,27,8,5,12,564,0,0,10,38,26,80,143,187,35,6,3,18,556,0,0,21,22,12,66,157,204,61,11,6,17,588,0,0,9,21,19,62,162,274,112,15,3,20,704,0,0,4,16,16,48,139,273,135,25,11,15,687,3,3
LGA16490,15,3,304,3,0,0,7,5,29,81,78,80,43,34,9,373,0,0,0,3,0,5,44,45,42,29,31,4,204,0,0,11,18,22,38,46,75,44,29,15,22,312,5,0,11,8,6,8,3,19,3,0,0,22,91,37,39,264,544,491,822,1066,1330,545,228,131,161,5666,0,3,9,6,5,12,14,10,4,3,9,10,76,0,0,0,0,0,0,0,0,0,0,0,5,7,9,10,6,11,0,3,3,9,3,0,0,5,65,6,10,48,23,15,20,16,12,4,0,0,5,163,3,0,73,43,41,40,26,19,9,4,0,8,266,0,5,24,56,45,60,42,38,16,4,0,6,300,0,9,17,32,28,53,48,38,9,0,3,12,250,0,4,14,26,30,89,75,64,28,10,4,14,366,0,0,13,26,40,87,124,134,56,19,7,8,503,3,5,8,14,22,92,107,139,65,10,9,20,481,5,0
LGA16550,566,25,1717,6,0,8,6,7,22,44,100,427,726,1215,27,2597,3,0,4,6,8,18,30,39,165,368,1564,43,2240,5,11,32,32,17,46,63,95,323,385,786,76,1862,9,0,97,24,16,16,17,56,50,53,92,107,548,242,201,1493,693,405,538,803,2219,4462,4824,6922,714,23517,6,8,50,23,12,19,46,61,90,61,61,65,503,0,4,26,3,0,0,11,4,19,18,15,10,123,27,65,92,30,18,13,12,21,32,18,20,24,369,31,69,356,75,30,19,24,53,46,26,19,52,799,13,27,550,124,44,51,36,46,62,29,30,45,1052,10,8,102,93,30,35,64,110,122,57,49,29,707,4,12,54,94,50,39,62,119,153,81,66,25,764,3,6,48,40,55,62,102,192,188,104,85,37,919,5,6,26,25,25,48,104,286,321,200,147,34,1229,0,7,17,19,21,32,71,281,419,234,220,37,1359,0,0
LGA16610,0,0,53,0,0,0,0,4,3,7,6,4,0,0,3,25,0,0,0,0,0,3,3,4,0,0,0,0,6,4,0,5,3,8,34,48,12,9,0,0,5,129,0,0,7,33,14,13,12,7,0,0,0,9,98,39,20,189,401,271,576,642,177,33,8,14,87,2460,0,0,3,7,3,3,4,3,0,0,0,3,26,0,0,0,0,0,3,0,4,0,0,0,0,15,5,0,3,6,9,3,0,0,0,0,0,3,25,0,0,14,25,17,13,19,11,0,0,0,4,102,0,4,33,38,44,41,37,16,5,0,0,9,219,0,0,15,52,32,51,69,37,0,0,0,7,260,0,0,9,20,13,43,69,39,12,4,3,8,220,0,4,10,27,24,36,58,47,7,3,0,6,226,0,0,10,11,13,37,73,57,12,0,0,14,232,4,0,3,6,11,35,65,61,14,0,5,3,208,3,0
LGA16700,215,16,1131,3,0,4,10,10,25,29,206,364,350,386,25,1416,0,4,4,9,0,11,7,78,158,166,428,16,883,6,8,17,17,16,29,40,173,210,152,212,56,917,5,0,21,9,3,7,9,31,25,14,16,51,205,98,93,647,456,272,420,894,3851,3791,2263,2267,518,15573,5,3,18,30,15,32,51,144,139,89,52,55,631,0,6,7,12,7,15,9,29,20,15,7,8,126,3,7,24,23,11,19,32,45,33,20,14,11,248,11,8,60,114,35,42,50,105,43,18,29,22,541,12,8,52,143,41,58,71,126,59,28,20,34,649,0,0,21,113,37,39,101,179,120,57,28,25,728,5,3,14,46,19,74,136,219,138,59,51,20,786,4,8,20,23,17,52,176,350,192,105,55,36,1038,0,0,4,26,22,47,233,561,300,149,84,40,1458,4,0,3,13,21,43,224,583,383,191,123,42,1627,4,0
LGA16900,0,5,235,6,0,5,0,3,3,12,60,61,45,9,8,197,0,0,0,4,4,6,10,19,33,27,14,4,115,0,3,14,25,22,21,74,113,69,31,11,12,392,4,0,34,21,12,14,17,10,3,0,3,45,158,59,54,587,484,308,494,1012,1861,814,274,61,180,6196,0,0,13,10,5,0,7,21,20,11,0,27,118,4,0,6,8,0,4,0,4,5,0,0,0,33,8,18,29,23,14,10,11,8,4,9,0,10,138,9,24,120,34,19,17,27,21,3,0,3,16,297,4,9,217,71,35,31,46,61,21,9,4,21,514,0,9,46,73,39,53,88,91,43,18,4,10,470,8,8,27,70,37,58,80,112,89,20,7,11,516,9,0,31,34,48,45,115,171,107,18,3,15,599,0,3,12,26,23,37,78,219,160,42,6,20,627,4,0,21,6,13,20,74,226,190,59,14,17,636,3,0
LGA16950,3,3,256,0,0,7,7,6,12,36,68,25,3,10,7,196,0,7,0,4,3,10,23,32,17,10,6,5,109,6,3,17,47,31,105,169,152,24,8,3,29,592,6,0,43,47,27,27,47,23,0,0,5,69,294,87,111,578,994,707,1609,2738,1799,274,55,85,331,9377,4,0,17,9,8,11,13,36,19,0,3,30,155,0,0,7,7,4,9,7,12,0,0,0,4,51,4,10,32,42,17,12,27,18,0,0,3,13,176,5,4,53,98,31,42,68,47,8,0,0,18,376,8,4,43,178,78,125,131,87,24,6,0,39,728,0,0,32,140,94,162,262,173,31,5,9,28,948,6,0,25,46,70,131,211,284,69,8,3,23,867,4,8,14,44,41,93,220,326,85,7,4,27,874,5,0,19,26,43,81,260,407,104,13,10,25,993,9,0,9,21,36,64,255,404,143,16,4,32,1008,6,0
LGA17000,0,3,94,0,0,3,3,0,9,39,46,9,3,0,8,128,0,0,0,0,0,0,15,21,17,4,4,0,64,5,4,5,9,3,27,34,42,8,3,3,12,150,0,0,5,5,4,4,3,5,0,0,0,15,45,32,32,153,227,150,332,577,436,103,14,11,87,2146,0,0,0,7,0,4,10,4,0,0,0,13,34,0,0,3,0,3,0,0,0,0,0,0,0,12,0,0,12,4,3,0,10,5,0,0,0,4,42,0,0,12,19,13,10,3,7,0,0,0,3,66,0,0,4,40,12,24,27,9,0,0,0,7,133,0,0,12,28,17,19,32,17,7,0,0,3,139,0,0,0,11,11,26,36,32,10,0,0,4,131,0,0,0,12,16,30,40,33,10,0,0,6,152,0,0,6,13,7,18,27,50,4,0,0,12,139,0,0,0,7,6,18,33,64,14,5,5,7,155,0,0
LGA17040,32,6,97,4,0,0,0,7,8,12,25,0,0,39,9,109,0,0,3,5,0,6,3,6,0,4,64,4,91,0,0,4,9,14,23,25,17,6,6,14,6,121,0,0,4,11,9,11,4,6,0,0,6,13,63,37,42,174,296,231,361,267,206,41,33,276,107,2078,0,0,0,0,6,11,4,5,4,0,0,3,21,0,0,0,0,0,0,0,0,0,0,3,0,7,5,4,8,5,0,4,0,0,0,0,5,7,39,0,0,11,16,15,6,11,9,0,0,5,6,70,4,5,15,23,10,15,8,8,4,5,8,7,114,0,6,9,29,15,30,24,11,3,0,4,8,144,0,0,3,17,16,28,37,11,4,4,14,8,141,0,0,8,21,14,31,45,27,7,0,12,17,182,5,5,5,16,13,46,32,14,10,0,17,8,168,0,6,10,10,6,24,42,38,11,4,14,14,178,0,0
LGA17080,4,0,29,0,0,6,0,0,0,8,3,0,0,0,3,21,0,0,0,5,0,0,3,0,0,0,0,0,11,0,0,3,21,9,20,11,11,0,0,0,3,80,6,0,11,12,4,0,0,0,0,0,0,3,38,59,38,184,346,181,191,165,42,0,3,12,61,1275,0,0,3,5,0,5,0,3,0,0,0,6,20,0,0,0,3,6,5,0,0,0,0,0,0,17,0,3,10,7,0,6,0,0,0,0,0,0,27,0,4,15,11,5,8,4,0,0,0,0,3,56,0,5,33,27,16,21,3,9,0,0,0,12,119,0,0,15,33,20,29,13,0,0,0,0,5,123,3,0,9,26,17,23,20,6,0,0,0,6,115,0,0,12,19,18,35,18,9,0,0,0,3,121,3,0,6,23,16,30,25,11,0,0,0,13,123,0,0,7,19,10,35,29,18,0,0,5,12,131,0,0
LGA17100,47,5,366,0,0,5,4,7,12,9,59,161,94,79,9,432,0,0,6,3,8,0,6,27,78,73,141,4,353,0,0,13,3,12,7,12,77,123,77,60,28,410,0,0,9,6,4,8,0,5,3,3,6,6,55,39,32,250,134,123,116,195,1060,1642,868,651,194,5295,0,0,10,11,3,3,13,37,47,15,14,25,182,0,0,3,4,0,4,0,5,4,4,0,0,30,4,5,17,11,4,3,4,11,7,3,5,8,79,0,18,51,20,4,3,9,27,16,13,4,17,183,4,9,70,20,12,15,11,34,28,11,3,9,226,0,0,17,17,13,6,18,55,63,13,10,14,227,0,0,16,11,14,17,39,80,83,30,14,11,312,0,3,13,11,22,15,25,128,90,35,18,16,362,0,0,14,9,10,11,47,173,132,61,16,19,498,0,6,19,5,9,13,37,216,172,57,40,21,588,4,0
LGA17150,244,15,1224,0,0,10,3,4,30,24,188,378,294,460,16,1419,0,0,0,4,0,20,10,57,119,178,465,18,877,4,5,13,15,15,56,35,191,235,170,277,58,1081,3,0,49,18,8,16,20,38,29,13,16,88,297,114,105,795,438,314,511,1017,4005,3522,2103,2368,518,15818,5,4,28,8,3,13,19,46,39,19,34,44,268,4,6,6,5,0,0,6,14,15,5,9,13,80,7,20,52,18,11,15,17,20,12,7,12,16,201,17,39,201,51,18,18,27,55,39,20,11,22,509,13,13,285,65,29,28,53,84,73,25,20,39,729,6,9,54,68,35,42,98,168,122,48,36,29,709,4,4,33,62,31,38,66,175,132,58,51,37,697,6,0,37,38,18,36,94,315,205,84,71,28,932,3,4,17,22,16,44,120,419,326,141,101,31,1241,0,3,8,14,7,29,96,447,386,205,149,28,1382,3,0
LGA17200,1561,62,3392,11,0,28,19,11,28,82,240,832,1486,3923,101,6759,9,7,8,14,4,31,40,79,271,738,4209,96,5497,16,10,76,81,38,51,94,181,360,577,2077,190,3741,31,24,180,36,30,19,138,158,126,142,373,229,1487,579,464,3240,1295,833,1127,3212,5214,7425,8893,19756,1734,53768,21,28,74,47,34,56,135,258,440,385,527,138,2139,10,23,44,20,11,10,26,30,56,28,55,24,339,61,180,214,76,34,18,51,60,87,62,92,43,966,58,194,685,134,67,103,133,145,123,83,107,94,1909,41,69,1175,239,72,78,116,166,150,88,116,93,2402,15,41,211,222,73,137,236,285,245,146,166,72,1844,18,33,116,222,108,169,271,361,281,188,215,65,2046,13,23,107,117,106,204,348,538,446,244,277,75,2500,12,12,55,45,59,133,461,889,758,419,450,78,3380,9,6,29,50,37,83,298,932,936,631,633,88,3736,15,13
LGA17310,3,6,191,0,3,6,8,7,13,44,58,33,0,3,9,181,0,0,7,4,3,10,22,27,13,0,4,6,98,0,8,16,25,22,71,104,102,28,7,5,21,405,4,4,24,40,13,27,26,10,3,0,0,31,192,87,88,476,835,564,1120,1795,1014,190,26,29,265,6502,0,3,4,5,10,14,28,17,3,0,0,26,111,0,0,7,8,4,5,6,3,0,0,0,3,36,6,5,13,29,16,27,15,11,0,0,0,17,143,4,14,31,72,49,46,48,19,4,0,3,16,297,9,3,34,114,72,104,83,31,5,0,0,17,467,0,6,24,103,84,148,118,59,13,3,3,14,559,0,4,24,55,47,110,187,77,7,6,0,20,529,3,5,21,50,43,138,228,108,18,3,3,22,650,7,0,15,44,57,144,280,164,18,3,0,25,752,0,0,9,24,36,113,245,187,23,0,5,23,672,4,6
LGA17350,0,0,6,0,0,0,0,0,3,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,10,6,0,0,0,0,0,0,20,6,0,5,3,0,0,0,0,0,0,0,4,19,30,15,99,117,67,92,34,5,0,4,3,20,492,0,0,4,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,8,0,3,0,0,0,0,0,0,0,10,5,0,11,3,3,0,0,0,0,0,0,0,20,0,8,14,12,5,14,9,0,0,0,0,0,69,0,3,11,14,11,16,5,0,0,0,0,4,59,0,0,4,9,9,12,9,0,0,0,0,0,47,0,3,4,10,7,11,8,3,0,0,0,0,46,0,0,4,6,6,18,8,0,0,0,0,3,51,0,0,0,3,4,10,14,0,0,0,0,3,39,0,0
LGA17400,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,3,5,4,3,0,0,0,0,0,0,29,0,0,3,6,0,7,0,0,0,0,0,9,26,13,20,102,147,101,101,34,3,0,0,9,24,558,0,0,0,4,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,3,0,0,0,0,0,0,3,16,0,0,6,11,5,14,0,0,0,0,0,5,37,0,5,4,9,9,12,6,0,0,0,0,12,51,0,0,8,20,9,22,6,0,0,0,0,0,75,0,0,0,10,13,14,7,4,0,0,0,9,49,0,0,0,8,8,12,5,6,0,0,0,3,43,0,0,4,3,0,19,13,3,0,0,0,5,47,0,0,0,8,9,8,15,8,0,0,0,0,47,0,0
LGA17420,235,7,761,0,0,0,3,3,6,29,32,209,336,438,11,1080,0,0,5,0,0,4,12,18,104,221,556,13,942,0,0,6,5,0,13,23,51,112,200,265,29,717,0,0,3,6,6,0,0,4,12,19,6,22,83,20,10,89,101,75,165,250,630,1875,2268,2309,235,8013,0,0,0,9,3,3,3,24,38,42,32,31,188,0,0,6,0,0,0,0,9,13,9,9,5,55,0,0,0,4,5,6,3,13,0,7,12,3,61,0,3,7,4,5,8,3,12,19,18,11,10,104,6,3,16,9,15,7,10,35,46,24,15,17,198,0,0,9,14,14,15,20,56,52,42,30,8,261,0,0,12,7,8,10,25,67,77,70,38,13,325,0,0,7,10,8,10,25,96,108,71,54,11,401,5,0,6,9,3,11,29,144,169,138,115,15,638,3,0,3,8,8,15,23,123,198,200,132,31,735,3,0
