Australian Bureau of Statistics

"2021 Census - employment, income and education"
"AGE10P Age in Ten Year Groups and INCP Total Personal Income (weekly) by SA1 (UR) by LTHP Type of Long-term Health Condition"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

" 0-9 years,  Negative income"
"LTHP Type of Long-term Health Condition","Arthritis","Asthma","Cancer (including remission)","Dementia (including Alzheimer's)","Diabetes (excluding gestational diabetes)","Heart disease (including heart attack or angina)","Kidney disease","Lung condition (including COPD or emphysema)","Mental health condition (including depression or anxiety)","Stroke","Any other long-term health condition(s)","No long-term health condition(s)","Total",
"SA1 (UR)",
"Segment 01",1210,361,545,71,464,673,95,246,295,136,642,1679,4462,
"Segment 02",2394,694,1013,153,898,1181,176,452,490,237,1101,2846,8124,
"Segment 03",1554,475,597,79,493,774,126,301,315,148,676,1874,5133,
"Segment 04",1717,483,677,66,672,850,136,377,336,156,693,1622,5150,
"Segment 05",2131,628,852,98,875,1085,173,380,403,212,929,2228,6743,
"Segment 06",774,243,283,43,420,405,92,217,184,85,314,672,2296,
"Segment 07",506,165,172,32,332,279,49,113,117,53,240,429,1543,
"Segment 08",1757,536,790,96,711,945,147,381,509,203,818,2078,6060,
"Segment 09",933,235,354,58,566,512,84,140,213,111,502,1160,3328,
"Segment 10",1059,300,372,58,568,543,100,210,238,91,477,1001,3221,
"Segment 11",1924,562,706,115,999,1029,163,348,396,193,895,2031,6193,
"Segment 12",1586,485,534,83,689,798,128,380,345,157,653,1400,4611,
"Segment 13",2258,635,737,97,976,1064,222,514,573,217,824,1646,5915,
"Segment 14",1501,445,574,97,727,779,170,440,396,175,680,1296,4465,
"Segment 15",345,112,117,20,222,194,50,95,77,44,170,279,1007,
"Segment 16",537,154,205,25,262,329,61,122,135,76,300,728,1965,
"Segment 17",791,244,288,62,531,421,88,168,209,99,428,832,2622,
"Segment 18",549,175,215,33,221,262,45,113,148,69,293,611,1819,
"Segment 19",1694,499,567,99,830,845,157,394,394,167,662,1377,4734,
"Segment 20",3131,924,1178,167,1328,1519,264,665,737,314,1277,2966,9362,
"Segment 21",1021,311,397,55,399,518,85,240,296,89,451,966,3123,
"Segment 22",398,143,177,27,267,240,57,94,102,41,244,506,1510,
"Segment 23",1322,356,440,98,765,630,135,245,327,159,593,1299,4106,
"Segment 24",2462,753,874,122,966,1232,201,607,540,250,967,2137,7055,
"Segment 25",2019,575,741,111,944,942,188,480,585,230,906,1775,5957,
"Segment 26",685,226,215,50,554,386,77,162,177,98,353,700,2276,
"Segment 27",1261,360,395,102,887,674,144,243,302,139,608,1185,3942,
"Segment 28",652,212,230,44,464,355,78,156,170,92,308,640,2126,
"Segment 29",1960,635,641,106,1035,983,240,546,516,229,705,1288,5062,
"Segment 30",2329,715,702,120,1184,1109,241,599,582,274,894,1466,5893,
"Segment 31",2871,959,991,197,1486,1564,356,952,934,337,1170,2303,8196,
"Segment 32",1206,386,356,73,671,554,166,394,357,165,479,734,3053,
"Segment 33",1539,438,559,73,711,782,143,396,347,145,554,1200,4280,
"Segment 34",2206,616,837,95,885,1069,174,480,441,183,794,1974,6379,
"Segment 35",3554,937,1217,155,1431,1664,338,752,765,328,1286,3357,10265,
"Segment 36",4051,1305,1353,209,1821,1897,383,1057,998,431,1333,3065,10887,
"Segment 37",4561,1399,1471,269,2219,2250,471,1299,1201,496,1657,3365,12128,
"Segment 38",7837,2244,2641,390,3134,3699,729,2079,1964,819,2775,5780,20611,
"Segment 39",517,142,171,23,232,270,36,117,101,63,186,523,1546,
"Segment 40",1113,313,359,50,479,530,85,291,263,119,380,996,3156,
"Segment 41",541,137,222,29,246,301,50,138,115,40,167,508,1597,
"Segment 42",276,114,92,10,106,143,16,54,59,32,96,320,899,
"Segment 43",897,248,328,40,404,457,86,238,197,78,324,914,2744,
"Segment 44",2357,711,830,104,935,1157,205,570,528,279,803,2376,7148,
"Segment 45",660,205,264,25,276,354,65,150,152,77,220,845,2279,
"Segment 46",1228,343,443,43,537,568,92,284,259,104,376,1277,3694,
"Segment 47",124,33,50,15,63,55,8,33,30,8,36,149,417,
"Segment 48",112,38,41,12,88,87,14,40,36,14,70,161,457,
"Segment 50",98,25,27,3,41,33,3,19,19,4,29,87,260,
"Total",78218,23262,27821,4170,36023,38957,7405,18760,18883,8260,31347,70633,229792,


" 70-79 years,  $650-$799 ($33,800-$41,599)"
"LTHP Type of Long-term Health Condition","Arthritis","Asthma","Cancer (including remission)","Dementia (including Alzheimer's)","Diabetes (excluding gestational diabetes)","Heart disease (including heart attack or angina)","Kidney disease","Lung condition (including COPD or emphysema)","Mental health condition (including depression or anxiety)","Stroke","Any other long-term health condition(s)","No long-term health condition(s)","Total",
"SA1 (UR)",
"Segment 01",946,304,421,57,350,542,66,188,195,89,438,1472,3671,
"Segment 02",1937,609,887,86,739,1054,145,343,416,184,914,2391,6757,
"Segment 03",1208,346,541,45,376,626,86,206,215,108,537,1586,4202,
"Segment 04",1101,322,458,45,538,610,99,216,225,112,465,1224,3674,
"Segment 05",1621,463,654,75,699,846,135,295,327,145,682,1779,5285,
"Segment 06",466,133,178,30,288,245,55,106,101,43,197,453,1504,
"Segment 07",301,85,109,11,241,189,52,58,63,35,142,298,1016,
"Segment 08",1278,376,564,75,467,674,105,261,287,110,612,1708,4616,
"Segment 09",690,216,273,29,413,417,72,107,132,70,368,948,2631,
"Segment 10",694,192,286,34,354,352,62,135,119,72,281,753,2287,
"Segment 11",1331,387,512,73,737,694,115,215,243,117,626,1574,4508,
"Segment 12",1051,322,406,68,505,577,105,238,251,118,388,936,3156,
"Segment 13",1279,395,426,61,643,695,109,277,310,141,481,1113,3744,
"Segment 14",875,247,330,48,457,505,84,198,229,105,378,832,2722,
"Segment 15",166,65,73,11,126,106,18,46,47,25,77,147,552,
"Segment 16",337,103,141,18,174,199,26,56,84,33,175,509,1319,
"Segment 17",462,124,190,25,330,276,71,92,112,54,218,553,1642,
"Segment 18",352,107,154,15,154,202,34,66,88,30,171,482,1285,
"Segment 19",1027,314,373,54,495,557,92,242,223,108,391,922,3080,
"Segment 20",2122,596,830,127,900,1070,211,370,466,213,848,2024,6424,
"Segment 21",586,179,256,36,248,342,49,164,161,56,273,711,2036,
"Segment 22",216,73,82,14,147,145,30,47,52,31,133,301,860,
"Segment 23",794,198,304,46,484,398,76,130,170,77,356,962,2707,
"Segment 24",1523,456,564,65,665,753,115,324,316,156,585,1430,4570,
"Segment 25",1206,338,456,70,574,612,119,233,281,137,551,1195,3783,
"Segment 26",382,123,119,25,330,206,39,65,86,45,213,459,1386,
"Segment 27",714,216,248,52,552,415,67,141,167,99,357,808,2485,
"Segment 28",361,111,124,22,298,201,39,71,87,47,191,414,1263,
"Segment 29",956,296,338,57,534,538,105,261,235,120,359,794,2718,
"Segment 30",1181,360,398,58,669,588,115,298,282,134,456,875,3253,
"Segment 31",1224,403,469,94,601,637,143,349,387,150,511,1121,3687,
"Segment 32",688,234,217,49,449,384,91,197,176,81,233,555,1964,
"Segment 33",1052,336,405,50,514,552,110,249,262,116,365,889,3057,
"Segment 34",1540,410,629,57,664,822,145,298,340,144,583,1521,4659,
"Segment 35",2378,650,914,100,969,1177,181,487,507,232,820,2340,7157,
"Segment 36",2436,756,870,151,1137,1195,227,591,568,261,797,2044,6829,
"Segment 37",2485,747,900,121,1257,1281,291,618,577,271,857,1963,6934,
"Segment 38",4093,1157,1486,223,1688,1989,374,944,993,396,1401,3532,11527,
"Segment 39",319,94,124,13,148,147,26,67,67,24,117,365,1033,
"Segment 40",708,201,223,36,318,339,60,144,154,68,260,674,2068,
"Segment 41",322,86,130,17,167,200,21,76,85,31,101,361,1061,
"Segment 42",183,44,91,6,80,106,19,34,30,18,53,254,640,
"Segment 43",531,147,224,29,262,308,51,142,148,58,201,663,1870,
"Segment 44",1518,451,547,60,660,776,134,309,352,176,519,1808,4960,
"Segment 45",512,145,196,17,266,301,47,102,82,35,159,700,1796,
"Segment 46",813,239,326,43,409,424,75,161,178,77,263,993,2724,
"Segment 47",89,22,46,0,37,61,15,14,24,11,33,113,307,
"Segment 48",88,34,36,8,82,60,18,22,16,14,42,88,306,
"Segment 50",50,12,21,0,21,9,6,9,8,3,18,54,151,
"Total",48206,14210,18566,2515,23236,25408,4536,10240,10912,4981,19187,49700,151864,


" 70-79 years,  $800-$999 ($41,600-$51,999)"
"LTHP Type of Long-term Health Condition","Arthritis","Asthma","Cancer (including remission)","Dementia (including Alzheimer's)","Diabetes (excluding gestational diabetes)","Heart disease (including heart attack or angina)","Kidney disease","Lung condition (including COPD or emphysema)","Mental health condition (including depression or anxiety)","Stroke","Any other long-term health condition(s)","No long-term health condition(s)","Total",
"SA1 (UR)",
"Segment 01",989,299,458,48,346,574,84,169,210,92,504,1523,3829,
"Segment 02",1612,456,738,70,608,857,131,239,314,149,743,2086,5724,
"Segment 03",1069,317,501,39,353,570,73,178,167,111,482,1597,4007,
"Segment 04",845,248,381,35,371,464,65,171,194,75,376,950,2834,
"Segment 05",1196,325,566,55,530,683,98,200,255,117,575,1395,4084,
"Segment 06",311,83,113,14,173,171,26,81,70,28,128,276,934,
"Segment 07",201,54,77,14,132,113,19,35,34,15,81,216,657,
"Segment 08",1005,320,515,47,370,603,84,193,251,97,514,1480,3890,
"Segment 09",535,155,252,33,319,350,50,103,109,43,291,804,2164,
"Segment 10",494,165,207,28,261,281,34,93,100,43,218,585,1709,
"Segment 11",952,298,392,46,489,570,78,169,211,76,453,1220,3371,
"Segment 12",577,185,257,25,298,360,50,143,146,68,244,695,2058,
"Segment 13",672,211,265,29,330,375,54,126,177,75,287,621,2074,
"Segment 14",573,190,228,20,269,267,53,127,158,45,265,571,1809,
"Segment 15",133,49,51,4,86,64,22,31,29,19,67,120,412,
"Segment 16",256,82,130,15,136,158,27,43,56,26,156,455,1118,
"Segment 17",278,85,117,19,182,179,19,75,70,25,133,416,1090,
"Segment 18",318,94,156,14,94,147,33,64,79,18,168,384,1116,
"Segment 19",598,190,234,34,334,337,54,135,189,65,293,609,1942,
"Segment 20",1514,449,661,76,675,856,143,302,346,160,638,1597,4875,
"Segment 21",458,156,230,14,164,253,53,102,114,40,218,570,1627,
"Segment 22",144,60,72,10,112,94,17,32,31,21,87,254,650,
"Segment 23",527,157,225,26,294,279,41,78,101,63,234,678,1879,
"Segment 24",885,285,384,38,377,483,81,221,226,92,379,936,2844,
"Segment 25",799,250,343,29,381,450,79,166,222,86,357,857,2612,
"Segment 26",194,69,75,16,190,132,30,49,56,19,126,294,822,
"Segment 27",456,127,144,25,317,260,51,98,98,57,240,503,1569,
"Segment 28",205,69,73,11,162,123,30,45,63,23,99,261,758,
"Segment 29",548,177,195,34,279,303,53,129,131,51,242,443,1539,
"Segment 30",655,220,207,36,369,336,60,171,170,74,254,584,1915,
"Segment 31",702,269,274,40,393,419,88,179,226,92,314,762,2411,
"Segment 32",427,148,126,19,233,220,50,120,128,53,167,326,1163,
"Segment 33",623,154,251,16,264,314,57,125,141,53,218,574,1813,
"Segment 34",968,263,439,46,424,511,79,212,233,83,356,1071,3153,
"Segment 35",1633,471,635,62,655,851,122,333,388,146,658,1661,5052,
"Segment 36",1388,407,575,59,661,709,125,326,368,118,520,1329,4243,
"Segment 37",1389,439,541,103,729,741,133,349,426,177,568,1326,4314,
"Segment 38",2467,670,955,146,1035,1229,218,520,681,283,933,2209,7191,
"Segment 39",221,73,89,12,91,101,18,46,41,19,66,291,732,
"Segment 40",425,130,165,15,182,236,39,91,83,33,160,464,1356,
"Segment 41",229,59,88,3,104,115,16,48,53,19,53,266,722,
"Segment 42",106,36,61,5,64,62,12,34,28,10,58,205,482,
"Segment 43",366,98,151,34,151,202,31,79,93,51,140,446,1231,
"Segment 44",1064,296,401,48,499,561,92,230,254,81,395,1338,3603,
"Segment 45",332,116,145,10,143,201,27,66,69,34,126,465,1236,
"Segment 46",525,148,203,26,238,291,40,114,114,52,155,732,1860,
"Segment 47",64,21,26,0,42,40,9,18,16,14,15,80,221,
"Segment 48",63,24,25,6,45,34,22,16,16,10,25,73,208,
"Segment 50",40,11,11,0,20,15,7,12,9,8,14,37,108,
"Total",32029,9659,13400,1564,14953,17561,2877,6691,7750,3176,13794,36628,107021,


" 70-79 years,  $1,000-$1,249 ($52,000-$64,999)"
"LTHP Type of Long-term Health Condition","Arthritis","Asthma","Cancer (including remission)","Dementia (including Alzheimer's)","Diabetes (excluding gestational diabetes)","Heart disease (including heart attack or angina)","Kidney disease","Lung condition (including COPD or emphysema)","Mental health condition (including depression or anxiety)","Stroke","Any other long-term health condition(s)","No long-term health condition(s)","Total",
"SA1 (UR)",
"Segment 01",1031,308,479,56,402,614,75,172,225,82,511,1592,4099,
"Segment 02",1543,429,725,69,583,948,105,227,319,136,750,2092,5669,
"Segment 03",1045,318,509,47,370,630,61,168,222,105,459,1725,4146,
"Segment 04",678,190,325,27,338,446,69,141,208,69,348,867,2504,
"Segment 05",1018,278,476,38,443,615,111,152,285,94,444,1326,3679,
"Segment 06",243,57,104,8,141,159,23,53,92,25,96,204,748,
"Segment 07",134,37,56,0,86,89,12,23,24,11,58,152,471,
"Segment 08",946,285,478,49,327,504,76,164,225,80,503,1441,3696,
"Segment 09",443,138,208,17,274,280,47,88,96,32,244,704,1846,
"Segment 10",352,119,183,23,188,252,46,66,96,35,186,517,1468,
"Segment 11",722,222,325,39,396,484,80,160,177,83,369,984,2748,
"Segment 12",464,137,201,21,231,293,43,119,208,47,215,510,1606,
"Segment 13",530,144,248,28,278,329,53,117,232,79,224,508,1698,
"Segment 14",450,140,192,20,264,246,50,125,154,49,226,480,1518,
"Segment 15",90,39,30,3,57,49,4,19,29,11,41,92,297,
"Segment 16",247,82,132,4,130,164,28,58,71,27,160,428,1102,
"Segment 17",219,53,98,9,165,142,22,45,62,30,108,340,874,
"Segment 18",272,81,152,11,109,151,14,47,57,28,137,382,1042,
"Segment 19",439,126,200,21,283,289,61,89,187,56,193,480,1528,
"Segment 20",1126,377,531,52,562,678,94,220,327,117,540,1326,3968,
"Segment 21",410,137,240,14,138,227,28,78,121,40,200,571,1537,
"Segment 22",142,50,46,9,80,79,15,26,27,12,64,214,545,
"Segment 23",391,113,155,25,202,218,31,62,79,36,198,575,1505,
"Segment 24",736,200,366,33,327,461,76,172,275,64,291,735,2355,
"Segment 25",541,161,278,31,299,356,52,122,163,65,272,709,2064,
"Segment 26",144,47,53,5,120,111,22,29,40,8,65,260,631,
"Segment 27",291,85,128,26,206,175,32,56,65,26,111,365,1041,
"Segment 28",147,53,67,7,113,94,24,39,49,16,68,176,549,
"Segment 29",371,75,129,18,225,212,41,93,135,34,124,314,1082,
"Segment 30",419,129,171,12,252,276,44,118,188,63,166,358,1300,
"Segment 31",521,157,232,27,266,310,50,148,193,48,221,560,1730,
"Segment 32",207,61,89,10,141,127,31,60,86,32,93,223,697,
"Segment 33",503,135,225,21,216,283,47,122,194,49,206,501,1567,
"Segment 34",830,225,367,24,332,512,75,187,306,92,340,949,2795,
"Segment 35",1248,328,563,41,498,671,98,267,386,100,477,1367,4068,
"Segment 36",1033,275,416,49,504,599,113,246,404,105,384,975,3185,
"Segment 37",1028,307,436,24,503,604,113,280,426,108,403,1025,3248,
"Segment 38",1731,525,743,94,785,1021,177,435,695,220,708,1728,5543,
"Segment 39",192,42,66,7,84,88,17,29,58,21,56,224,603,
"Segment 40",297,100,136,14,158,205,38,90,109,49,129,411,1155,
"Segment 41",182,35,69,3,81,93,16,40,62,17,57,231,594,
"Segment 42",90,30,43,4,50,57,6,26,38,6,27,123,337,
"Segment 43",290,74,126,17,128,180,35,60,106,29,118,423,1060,
"Segment 44",882,238,390,34,380,456,74,193,289,71,355,1238,3158,
"Segment 45",257,77,104,11,119,166,38,62,89,17,91,397,986,
"Segment 46",444,124,223,13,207,260,33,91,149,57,127,592,1604,
"Segment 47",52,13,9,3,22,31,9,17,14,4,11,86,199,
"Segment 48",33,14,7,7,22,20,6,11,11,3,11,44,129,
"Segment 50",20,4,14,0,12,21,0,7,5,0,6,31,88,
"Total",25432,7381,11574,1120,12112,15266,2394,5414,8053,2597,11194,31565,90023,


" 70-79 years,  $1,250-$1,499 ($65,000-$77,999)"
"LTHP Type of Long-term Health Condition","Arthritis","Asthma","Cancer (including remission)","Dementia (including Alzheimer's)","Diabetes (excluding gestational diabetes)","Heart disease (including heart attack or angina)","Kidney disease","Lung condition (including COPD or emphysema)","Mental health condition (including depression or anxiety)","Stroke","Any other long-term health condition(s)","No long-term health condition(s)","Total",
"SA1 (UR)",
"Segment 01",635,205,373,29,227,409,52,113,132,58,360,1212,2858,
"Segment 02",942,277,460,30,380,600,79,137,153,91,477,1444,3740,
"Segment 03",726,219,325,32,244,439,55,116,124,60,350,1165,2878,
"Segment 04",352,119,175,12,176,253,41,63,80,33,189,475,1381,
"Segment 05",591,170,281,24,266,397,63,117,128,41,262,822,2227,
"Segment 06",107,47,62,8,63,67,11,24,36,12,50,121,385,
"Segment 07",76,27,30,6,75,47,14,9,23,4,29,100,293,
"Segment 08",590,169,278,31,214,353,31,84,143,62,305,954,2404,
"Segment 09",238,80,121,8,144,191,29,41,47,28,153,522,1201,
"Segment 10",223,64,87,12,117,135,19,44,35,15,117,336,879,
"Segment 11",365,102,165,17,237,257,39,69,86,38,196,588,1546,
"Segment 12",225,72,123,12,140,141,23,54,86,29,102,275,821,
"Segment 13",229,71,96,8,116,155,18,45,75,28,112,242,770,
"Segment 14",215,75,94,4,105,140,19,45,68,17,102,269,775,
"Segment 15",44,5,23,3,16,22,3,4,13,4,15,52,151,
"Segment 16",182,72,107,4,86,102,14,28,30,18,101,272,717,
"Segment 17",91,27,40,7,88,85,13,18,26,13,57,188,483,
"Segment 18",174,57,82,5,66,103,16,34,42,9,100,300,713,
"Segment 19",215,62,104,7,130,142,21,43,64,20,128,263,814,
"Segment 20",578,184,306,25,297,351,60,94,145,56,297,731,2122,
"Segment 21",258,76,111,9,90,142,24,56,73,29,122,373,959,
"Segment 22",66,22,36,6,38,50,12,16,9,10,33,132,309,
"Segment 23",225,66,113,17,111,133,25,42,53,23,117,340,908,
"Segment 24",337,107,145,15,156,194,25,64,103,40,162,418,1198,
"Segment 25",295,100,116,13,169,194,27,59,69,34,177,394,1138,
"Segment 26",74,25,41,0,52,53,14,10,14,9,50,127,325,
"Segment 27",138,39,45,10,102,106,21,32,28,8,80,202,567,
"Segment 28",41,15,28,4,35,43,13,10,19,8,30,88,238,
"Segment 29",182,44,70,13,107,114,24,45,66,21,81,168,554,
"Segment 30",167,45,75,6,113,127,18,42,70,23,65,159,556,
"Segment 31",216,69,98,9,104,136,27,62,78,36,94,299,794,
"Segment 32",105,32,43,4,49,49,11,25,36,8,49,123,340,
"Segment 33",254,66,118,8,144,165,25,52,88,21,117,237,795,
"Segment 34",385,104,198,15,169,246,38,78,108,34,178,478,1385,
"Segment 35",608,175,288,29,251,352,54,110,166,65,252,767,2121,
"Segment 36",473,125,212,22,204,260,45,95,137,53,197,489,1496,
"Segment 37",478,134,205,13,237,270,30,102,159,54,206,452,1514,
"Segment 38",832,229,389,50,332,501,80,167,261,94,369,900,2719,
"Segment 39",89,21,53,0,40,58,7,11,29,8,39,120,324,
"Segment 40",155,29,68,6,85,93,15,24,49,21,62,194,548,
"Segment 41",80,16,42,3,50,57,17,15,21,6,27,88,275,
"Segment 42",49,13,33,0,24,29,3,16,15,5,18,85,216,
"Segment 43",156,30,65,8,61,90,9,31,40,12,43,202,527,
"Segment 44",436,127,210,11,196,244,27,70,127,50,153,599,1582,
"Segment 45",149,54,63,0,44,79,7,23,34,11,44,230,547,
"Segment 46",220,70,111,16,105,142,23,36,55,21,66,375,871,
"Segment 47",23,6,10,3,11,11,0,0,9,6,14,41,105,
"Segment 48",12,3,5,0,19,13,0,5,3,3,18,26,72,
"Segment 50",13,0,10,0,0,3,0,3,4,4,4,15,40,
"Total",13297,3972,6331,550,6300,8343,1253,2481,3472,1326,6363,18471,50195,


" 70-79 years,  $1,500-$1,749 ($78,000-$90,999)"
"LTHP Type of Long-term Health Condition","Arthritis","Asthma","Cancer (including remission)","Dementia (including Alzheimer's)","Diabetes (excluding gestational diabetes)","Heart disease (including heart attack or angina)","Kidney disease","Lung condition (including COPD or emphysema)","Mental health condition (including depression or anxiety)","Stroke","Any other long-term health condition(s)","No long-term health condition(s)","Total",
"SA1 (UR)",
"Segment 01",591,189,339,37,245,393,45,90,107,79,311,1059,2577,
"Segment 02",721,217,395,23,283,448,49,95,123,77,420,1229,3036,
"Segment 03",619,199,308,33,219,359,39,93,130,64,254,1065,2535,
"Segment 04",264,67,131,9,130,149,31,43,71,33,137,374,1007,
"Segment 05",406,114,227,16,214,265,40,63,94,28,214,580,1580,
"Segment 06",77,22,22,0,45,44,4,10,27,12,29,99,276,
"Segment 07",57,19,30,0,43,43,8,9,11,0,28,67,211,
"Segment 08",461,156,261,22,188,310,33,78,106,51,268,793,1998,
"Segment 09",175,63,96,8,133,164,23,19,31,12,134,368,923,
"Segment 10",152,40,74,10,74,104,17,26,44,14,73,237,614,
"Segment 11",279,89,138,4,163,169,28,45,65,29,131,412,1109,
"Segment 12",147,40,58,11,75,95,14,27,45,20,64,173,502,
"Segment 13",180,47,73,9,103,101,20,45,65,17,72,185,569,
"Segment 14",130,47,61,8,98,98,14,39,39,14,56,186,527,
"Segment 15",30,9,14,0,14,15,4,3,9,0,7,39,107,
"Segment 16",133,46,96,11,75,98,20,27,31,14,66,282,675,
"Segment 17",80,19,31,8,54,58,9,19,20,11,45,141,350,
"Segment 18",109,36,69,11,62,66,11,16,38,7,82,203,524,
"Segment 19",139,46,60,8,102,96,11,35,52,11,75,211,578,
"Segment 20",397,126,208,10,208,236,28,67,104,39,235,541,1555,
"Segment 21",165,63,97,13,64,110,11,34,53,22,93,284,748,
"Segment 22",56,20,27,0,38,32,3,4,15,4,36,90,228,
"Segment 23",156,49,68,19,92,111,17,26,39,17,88,270,687,
"Segment 24",212,79,109,10,124,150,24,48,68,27,98,272,788,
"Segment 25",200,76,110,12,135,139,16,41,51,22,99,295,823,
"Segment 26",67,11,23,9,63,45,8,8,17,3,33,94,266,
"Segment 27",96,23,31,8,81,62,14,21,28,8,60,165,417,
"Segment 28",48,19,11,3,34,31,3,6,15,8,22,65,177,
"Segment 29",120,42,35,0,73,70,26,32,38,8,33,111,366,
"Segment 30",122,52,48,6,82,76,14,27,39,17,37,126,408,
"Segment 31",199,72,78,6,116,129,29,49,68,21,79,272,715,
"Segment 32",121,57,30,3,94,65,21,40,30,16,44,117,368,
"Segment 33",149,41,66,4,79,83,17,28,49,9,66,161,497,
"Segment 34",293,85,141,13,123,170,27,54,71,30,113,351,1013,
"Segment 35",406,130,209,22,186,251,34,82,123,36,161,564,1518,
"Segment 36",344,103,138,20,170,192,34,74,107,34,116,373,1099,
"Segment 37",352,87,137,17,190,207,36,77,114,29,94,397,1141,
"Segment 38",604,187,277,46,327,349,68,156,192,59,236,688,2064,
"Segment 39",61,21,40,4,33,50,11,12,8,4,22,103,271,
"Segment 40",105,30,48,8,71,83,12,24,33,17,48,162,424,
"Segment 41",59,17,29,3,36,43,11,25,19,6,21,102,258,
"Segment 42",54,16,19,0,19,25,5,4,0,0,13,67,172,
"Segment 43",101,40,42,7,54,57,9,18,32,12,38,164,407,
"Segment 44",368,110,160,13,153,190,34,66,80,39,103,513,1316,
"Segment 45",130,36,56,0,50,72,5,12,15,9,39,173,441,
"Segment 46",187,59,98,11,84,93,18,31,37,14,45,301,733,
"Segment 47",29,5,7,0,14,10,3,3,4,3,5,41,87,
"Segment 48",16,6,3,0,13,18,4,6,8,0,5,32,79,
"Segment 50",13,6,5,0,5,8,0,3,0,0,4,15,37,
"Total",9969,3123,4858,500,5125,6236,950,1884,2566,1010,4549,14585,38797,


" 70-79 years,  $1,750-$1,999 ($91,000-$103,999)"
"LTHP Type of Long-term Health Condition","Arthritis","Asthma","Cancer (including remission)","Dementia (including Alzheimer's)","Diabetes (excluding gestational diabetes)","Heart disease (including heart attack or angina)","Kidney disease","Lung condition (including COPD or emphysema)","Mental health condition (including depression or anxiety)","Stroke","Any other long-term health condition(s)","No long-term health condition(s)","Total",
"SA1 (UR)",
"Segment 01",435,147,282,17,165,307,37,79,71,39,268,842,2034,
"Segment 02",445,156,243,25,173,324,37,57,79,31,239,724,1854,
"Segment 03",479,129,235,29,195,299,30,65,81,48,204,777,1936,
"Segment 04",128,48,65,6,68,88,7,28,33,20,70,228,580,
"Segment 05",251,79,126,8,121,159,11,39,45,28,107,347,959,
"Segment 06",19,3,11,0,25,18,3,6,7,0,9,66,135,
"Segment 07",30,4,5,0,18,10,0,0,10,0,7,40,102,
"Segment 08",348,100,205,26,111,198,29,67,66,28,199,623,1491,
"Segment 09",138,49,64,4,74,99,9,21,12,17,76,255,621,
"Segment 10",90,31,57,3,54,67,3,17,24,12,48,178,434,
"Segment 11",152,46,62,13,111,96,13,20,42,18,85,263,639,
"Segment 12",102,36,27,5,42,40,3,20,28,10,37,93,286,
"Segment 13",71,22,28,9,36,32,8,14,18,8,31,93,264,
"Segment 14",63,16,43,4,44,43,10,14,13,6,37,119,289,
"Segment 15",11,6,7,0,7,12,0,6,0,0,7,24,57,
"Segment 16",104,23,66,0,49,80,14,18,19,12,62,218,501,
"Segment 17",42,14,22,0,37,41,7,13,10,6,32,88,211,
"Segment 18",93,36,55,0,41,64,3,15,18,8,47,153,393,
"Segment 19",62,22,22,0,37,33,7,9,24,5,27,114,261,
"Segment 20",205,61,95,12,114,128,32,37,39,18,92,311,811,
"Segment 21",122,48,67,5,40,87,6,18,21,14,61,233,554,
"Segment 22",35,11,10,0,22,19,4,4,3,3,20,58,139,
"Segment 23",90,35,37,3,63,57,7,8,12,12,46,187,418,
"Segment 24",95,44,58,9,51,66,8,18,25,17,47,159,416,
"Segment 25",106,37,47,0,56,81,10,17,24,10,56,199,483,
"Segment 26",28,4,11,0,20,17,0,3,0,0,15,53,136,
"Segment 27",39,24,32,3,43,36,3,12,14,6,28,90,222,
"Segment 28",22,6,13,0,20,15,3,6,7,0,18,38,108,
"Segment 29",46,15,17,0,31,21,3,3,13,3,20,73,167,
"Segment 30",36,17,29,0,37,41,9,9,16,5,23,69,200,
"Segment 31",96,41,50,5,45,54,7,21,23,5,43,154,389,
"Segment 32",21,9,13,3,19,30,4,8,9,10,16,47,123,
"Segment 33",72,24,42,4,33,48,5,20,22,4,39,94,285,
"Segment 34",141,38,68,8,62,84,13,26,30,18,67,195,542,
"Segment 35",195,47,87,8,101,140,23,32,48,18,83,333,816,
"Segment 36",138,53,51,7,62,85,16,28,28,19,56,183,493,
"Segment 37",133,49,63,3,74,89,15,27,41,15,64,180,506,
"Segment 38",271,71,141,17,136,174,33,52,92,36,119,353,1000,
"Segment 39",37,10,10,0,14,19,8,8,8,5,15,61,150,
"Segment 40",55,21,26,4,22,20,10,7,18,8,20,132,262,
"Segment 41",38,6,14,0,24,26,3,8,5,0,11,62,152,
"Segment 42",25,4,17,6,10,16,0,4,3,3,10,42,95,
"Segment 43",50,28,32,0,28,43,9,11,10,4,23,111,250,
"Segment 44",170,41,98,7,81,95,11,23,34,15,71,357,765,
"Segment 45",71,15,27,5,22,29,3,8,21,4,18,103,251,
"Segment 46",116,26,31,3,52,65,13,17,18,7,45,210,468,
"Segment 47",10,5,8,0,8,7,0,6,0,0,7,30,61,
"Segment 48",12,6,0,0,5,4,0,3,0,0,5,14,38,
"Segment 50",6,0,3,0,9,0,0,0,0,0,0,3,19,
"Total",5545,1767,2820,266,2691,3612,491,971,1183,572,2723,9352,23376,


" 70-79 years,  $2,000-$2,999 ($104,000-$155,999)"
